time,interval,temperature_2m,apparent_temperature,relative_humidity_2m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,precipitation,rain,showers,snowfall,weather_code,cloud_cover,pressure_msl,surface_pressure,city
2025-06-25T11:30,900,31.6,36.6,53,9.0,293,22.3,0.0,0.0,0.0,0.0,0,13,1014.1,1010.2,Algiers
2025-06-25T13:30,900,21.3,19.4,46,13.6,102,34.9,0.0,0.0,0.0,0.0,3,82,1017.2,841.1,Nairobi
2025-06-25T13:30,900,19.2,16.6,58,19.5,109,30.2,0.0,0.0,0.0,0.0,3,84,1019.9,882.9,Antananarivo
2025-06-25T12:30,900,23.1,22.1,60,18.6,279,42.5,0.0,0.0,0.0,0.0,3,94,1010.2,1005.9,Berlin
2025-06-25T10:30,900,26.7,31.9,88,8.6,202,16.9,0.3,0.0,0.3,0.0,95,100,1014.6,1008.8,Abidjan
2025-06-25T18:15,900,31.6,35.9,60,7.4,157,15.1,0.0,0.0,0.0,0.0,1,39,1006.4,1004.0,Hong Kong
2025-06-25T13:30,900,26.0,28.0,77,22.5,168,28.8,0.0,0.0,0.0,0.0,1,38,1015.5,1015.5,Comores
2025-06-25T20:30,900,6.8,4.2,85,8.9,238,27.4,0.0,0.0,0.0,0.0,2,60,1019.9,1017.5,Melbourne
2025-06-25T17:15,900,30.0,35.2,73,8.6,202,27.4,0.1,0.0,0.1,0.0,80,100,1005.3,1004.8,Bangkok
2025-06-25T06:15,900,27.5,30.6,67,8.2,319,19.1,0.0,0.0,0.0,0.0,0,0,1016.7,1013.0,New York
2025-06-25T12:30,900,28.1,26.3,37,16.9,259,35.3,0.0,0.0,0.0,0.0,3,96,1012.3,984.0,Prague
2025-06-25T06:30,900,21.2,23.8,84,3.1,234,7.9,0.0,0.0,0.0,0.0,0,18,1020.0,1008.4,Toronto
2025-06-25T07:30,900,7.2,5.1,84,5.2,106,18.0,0.0,0.0,0.0,0.0,0,0,1024.5,938.4,Sao Paulo
2025-06-25T13:30,900,15.1,12.8,80,19.8,317,34.9,0.0,0.0,0.0,0.0,3,100,990.9,990.0,Helsinki
2025-06-25T06:30,900,24.7,27.9,80,7.9,16,17.6,0.0,0.0,0.0,0.0,0,12,1019.1,1018.5,Miami
2025-06-25T13:15,900,41.3,40.5,7,7.2,153,18.4,0.0,0.0,0.0,0.0,1,9,1000.4,934.2,Riyadh
2025-06-25T03:30,900,10.4,8.8,99,11.3,261,23.8,0.0,0.0,0.0,0.0,45,100,1016.8,1014.6,San Francisco
2025-06-25T13:30,900,13.6,12.0,92,15.8,271,29.2,0.1,0.1,0.0,0.0,51,100,986.6,984.6,Petersburg
2025-06-25T12:30,900,24.0,24.6,48,12.0,231,33.5,0.0,0.0,0.0,0.0,1,43,1016.7,942.3,Madrid
2025-06-25T11:30,900,38.5,33.3,12,29.7,97,47.9,0.0,0.0,0.0,0.0,2,73,1011.6,952.9,Algerie
