time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-01,3.0,20.6,33.0,27.3,43.2,,0.0,,27.8,1.9,7.0,0.0,86.0,5.6,-1.1,33.0,13.0,20.0,,,,17.2,Algerie
2023-06-02,0.0,22.8,36.7,42.1,63.7,,0.0,,30.2,1.1,0.0,0.0,0.0,3.5,-1.1,27.0,9.0,17.0,,,,25.8,Algerie
2023-06-03,0.0,24.2,36.7,30.3,48.2,,0.0,,30.7,-1.3,0.0,0.0,0.0,1.0,-3.6,21.0,8.0,13.0,,,,20.2,Algerie
2023-06-04,1.0,22.3,37.3,24.0,38.2,,0.0,,30.6,-1.8,2.0,0.0,42.0,0.6,-3.6,19.0,7.0,13.0,,,,16.3,Algerie
2023-06-05,0.0,23.1,37.1,23.9,38.9,,0.0,,31.2,3.4,0.0,0.0,6.0,8.9,-1.4,29.0,12.0,18.0,,,,13.6,Algerie
2023-06-06,3.0,25.8,37.6,34.8,53.6,,0.0,,32.2,6.8,40.0,0.0,100.0,9.9,2.8,37.0,12.0,22.0,,,,24.0,Algerie
2023-06-07,1.0,26.2,38.3,38.6,59.0,,0.0,,32.6,5.9,2.0,0.0,32.0,7.0,4.8,28.0,13.0,20.0,,,,26.9,Algerie
2023-06-08,3.0,26.1,39.9,32.7,51.1,,0.0,,33.7,3.6,18.0,0.0,100.0,5.3,2.4,22.0,11.0,16.0,,,,17.8,Algerie
2023-06-09,3.0,27.3,41.9,20.3,30.6,,0.0,,35.6,4.5,33.0,0.0,100.0,6.3,2.7,24.0,9.0,15.0,,,,14.4,Algerie
2023-06-10,0.0,26.9,41.8,22.7,37.1,,0.0,,35.1,-5.3,0.0,0.0,0.0,5.0,-12.6,18.0,4.0,8.0,,,,16.3,Algerie
2023-06-11,0.0,25.9,42.1,22.8,37.8,,0.0,,34.7,-4.0,0.0,0.0,0.0,-1.3,-6.4,16.0,5.0,9.0,,,,12.4,Algerie
2023-06-12,0.0,26.0,42.9,25.4,41.8,,0.0,,35.7,-3.4,0.0,0.0,0.0,-1.3,-6.4,16.0,4.0,9.0,,,,13.4,Algerie
2023-06-13,1.0,26.0,42.3,31.0,47.5,,0.0,,35.1,-2.6,4.0,0.0,26.0,-0.8,-4.3,17.0,5.0,10.0,,,,19.3,Algerie
2023-06-14,2.0,27.9,41.1,29.9,46.4,,0.0,,35.1,-1.7,12.0,0.0,73.0,1.4,-4.5,14.0,6.0,10.0,,,,19.7,Algerie
2023-06-15,0.0,25.9,40.4,35.7,49.7,,0.0,,34.2,3.1,1.0,0.0,16.0,10.3,-1.9,36.0,7.0,16.0,,,,18.2,Algerie
2023-06-16,1.0,27.1,40.2,32.6,50.8,,0.0,,34.4,4.5,2.0,0.0,24.0,7.5,1.7,26.0,9.0,17.0,,,,21.5,Algerie
2023-06-17,1.0,27.8,40.3,32.4,49.7,,0.0,,34.8,4.0,4.0,0.0,30.0,5.4,2.7,22.0,10.0,15.0,,,,22.0,Algerie
2023-06-18,3.0,29.4,41.0,34.2,52.9,,0.0,,35.9,2.0,18.0,0.0,82.0,3.8,0.8,16.0,9.0,12.0,,,,20.8,Algerie
2023-06-19,2.0,30.2,43.5,30.0,46.8,,0.0,,37.1,-1.0,7.0,0.0,68.0,3.2,-5.5,15.0,6.0,9.0,,,,23.5,Algerie
2023-06-20,0.0,28.3,43.4,29.3,47.5,,0.0,,36.1,-3.0,0.0,0.0,0.0,0.5,-5.6,14.0,5.0,9.0,,,,16.2,Algerie
2023-06-21,2.0,29.0,43.6,22.9,32.8,,0.0,,36.5,0.3,9.0,0.0,70.0,2.4,-2.4,18.0,6.0,11.0,,,,11.9,Algerie
2023-06-22,0.0,27.3,43.7,24.3,36.4,,0.0,,36.9,-2.6,0.0,0.0,2.0,1.6,-5.4,18.0,5.0,9.0,,,,12.1,Algerie
2023-06-23,0.0,28.7,42.1,31.7,44.6,,0.0,,35.9,-2.3,0.0,0.0,0.0,-0.3,-4.8,14.0,6.0,9.0,,,,22.2,Algerie
2023-06-24,0.0,27.6,41.3,33.1,52.6,,0.0,,34.9,-0.7,0.0,0.0,0.0,2.5,-2.9,19.0,6.0,11.0,,,,30.0,Algerie
2023-06-25,0.0,29.1,41.7,37.8,57.6,,0.0,,35.9,0.4,1.0,0.0,8.0,2.1,-2.0,17.0,7.0,11.0,,,,25.5,Algerie
2023-06-26,3.0,27.4,41.0,23.2,32.8,,0.0,,35.9,3.9,21.0,0.0,100.0,6.9,0.7,27.0,8.0,15.0,,,,12.3,Algerie
2023-06-27,3.0,29.7,41.8,27.8,39.6,,0.0,,36.5,-0.6,67.0,2.0,100.0,2.3,-2.3,14.0,7.0,10.0,,,,16.4,Algerie
2023-06-28,3.0,29.0,43.0,37.0,56.5,,0.0,,36.1,0.1,29.0,0.0,100.0,3.2,-4.6,19.0,5.0,11.0,,,,25.0,Algerie
2023-06-29,1.0,28.4,42.4,33.0,51.1,,0.0,,36.1,1.4,2.0,0.0,27.0,2.9,0.2,19.0,8.0,12.0,,,,24.6,Algerie
2023-06-30,3.0,29.5,42.6,27.3,43.9,,0.0,,37.2,0.1,67.0,0.0,100.0,7.4,-2.3,25.0,6.0,10.0,,,,18.0,Algerie
2023-07-01,3.0,30.3,43.6,33.5,51.8,,0.0,,37.5,0.4,11.0,0.0,86.0,2.8,-1.7,16.0,6.0,10.0,,,,19.2,Algerie
2023-07-02,1.0,31.6,44.9,31.2,49.0,,0.0,,38.5,0.5,7.0,0.0,35.0,1.6,-0.3,14.0,7.0,10.0,,,,17.4,Algerie
2023-07-03,3.0,31.1,45.4,26.6,38.5,,0.0,,39.3,-0.1,19.0,0.0,100.0,1.6,-1.3,13.0,6.0,9.0,,,,15.9,Algerie
2023-07-04,3.0,33.6,45.8,26.0,41.8,,0.0,,39.8,1.2,43.0,0.0,100.0,2.9,-0.6,13.0,6.0,10.0,,,,16.1,Algerie
2023-07-05,3.0,33.9,46.0,39.9,59.8,,0.0,,39.9,0.8,31.0,0.0,99.0,3.3,-1.6,14.0,5.0,9.0,,,,22.4,Algerie
2023-07-06,3.0,33.2,45.6,40.4,57.2,,0.0,,39.8,0.1,37.0,0.0,100.0,1.9,-2.1,12.0,5.0,9.0,,,,23.2,Algerie
2023-07-07,3.0,32.6,44.6,41.3,61.6,,0.0,,38.9,-0.2,22.0,0.0,97.0,3.9,-4.9,14.0,5.0,9.0,,,,30.2,Algerie
2023-07-08,0.0,32.1,44.2,40.7,61.9,,0.0,,38.3,-3.0,0.0,0.0,0.0,0.0,-6.5,12.0,5.0,8.0,,,,32.0,Algerie
2023-07-09,0.0,31.7,42.7,42.7,64.4,,0.0,,37.4,-2.0,1.0,0.0,15.0,0.6,-6.4,13.0,5.0,9.0,,,,33.0,Algerie
2023-07-10,0.0,32.3,43.6,40.4,61.9,,0.0,,38.3,2.6,1.0,0.0,18.0,4.5,0.4,17.0,8.0,11.0,,,,30.4,Algerie
2023-07-11,3.0,32.9,44.4,36.9,57.2,,0.0,,38.9,2.2,15.0,0.0,100.0,5.1,-1.6,16.0,6.0,11.0,,,,25.0,Algerie
2023-07-12,3.0,32.3,45.5,42.9,68.8,,0.0,,38.7,0.8,6.0,0.0,87.0,4.3,-3.2,15.0,5.0,10.0,,,,26.3,Algerie
2023-07-13,0.0,31.2,43.2,35.7,55.1,,0.0,,37.3,1.9,0.0,0.0,0.0,4.2,-0.4,17.0,7.0,12.0,,,,25.0,Algerie
2023-07-14,0.0,27.8,42.1,29.3,43.9,,0.0,,35.7,-2.0,0.0,0.0,0.0,2.3,-5.6,16.0,5.0,10.0,,,,22.2,Algerie
2023-07-15,0.0,28.8,42.4,26.9,43.6,,0.0,,36.1,-5.4,0.0,0.0,0.0,-0.4,-14.6,15.0,3.0,8.0,,,,19.3,Algerie
2023-07-16,3.0,30.0,43.3,35.8,55.4,,0.0,,37.2,-5.0,8.0,0.0,85.0,-3.8,-6.8,10.0,4.0,7.0,,,,25.1,Algerie
2023-07-17,0.0,30.0,43.1,32.6,50.8,,0.0,,37.0,-3.3,1.0,0.0,7.0,-0.8,-6.8,11.0,5.0,8.0,,,,26.1,Algerie
2023-07-18,1.0,29.5,42.8,40.9,62.3,,0.0,,36.8,-1.6,3.0,0.0,33.0,2.8,-5.2,18.0,6.0,9.0,,,,28.9,Algerie
2023-07-19,0.0,29.4,42.8,42.7,65.2,,0.0,,36.5,0.2,0.0,0.0,0.0,4.5,-4.7,19.0,6.0,11.0,,,,31.7,Algerie
2023-07-20,3.0,30.3,43.4,43.0,64.4,,0.0,,37.4,0.0,4.0,0.0,94.0,2.2,-3.5,15.0,6.0,10.0,,,,29.1,Algerie
2023-07-21,0.0,29.5,42.7,36.7,56.2,,0.0,,36.9,-0.3,0.0,0.0,0.0,0.5,-2.5,15.0,6.0,10.0,,,,25.9,Algerie
2023-07-22,2.0,31.4,43.5,39.1,58.7,,0.0,,37.9,1.6,3.0,0.0,59.0,3.7,0.3,15.0,8.0,11.0,,,,25.5,Algerie
2023-07-23,3.0,31.9,44.6,26.8,42.8,,0.0,,38.6,3.8,49.0,0.0,100.0,6.7,-0.3,18.0,8.0,12.0,,,,14.3,Algerie
