time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-01,3.0,11.9,21.5,13.8,29.9,,0.0,,16.2,11.6,42.0,0.0,100.0,13.3,9.6,96.0,48.0,77.0,,,,10.2,Antananarivo
2023-06-02,3.0,11.8,21.6,15.5,33.5,,0.0,,16.0,11.2,62.0,8.0,100.0,12.8,8.6,94.0,43.0,76.0,,,,11.4,Antananarivo
2023-06-03,51.0,11.9,19.9,18.9,38.9,,0.5,,15.7,12.8,85.0,18.0,100.0,14.1,11.3,96.0,65.0,84.0,,,,11.8,Antananarivo
2023-06-04,51.0,12.8,21.1,17.5,36.0,,0.9,,16.1,11.5,52.0,0.0,100.0,14.2,8.0,96.0,43.0,77.0,,,,11.4,Antananarivo
2023-06-05,51.0,12.0,21.5,16.9,34.6,,0.7,,16.0,12.3,61.0,0.0,100.0,13.4,11.6,97.0,54.0,80.0,,,,11.5,Antananarivo
2023-06-06,51.0,10.3,22.3,14.2,31.3,,0.2,,16.2,12.6,48.0,0.0,100.0,15.0,9.5,100.0,56.0,81.0,,,,10.3,Antananarivo
2023-06-07,3.0,13.1,22.5,14.2,30.2,,0.0,,17.4,13.6,72.0,4.0,100.0,15.0,12.6,99.0,54.0,81.0,,,,10.1,Antananarivo
2023-06-08,51.0,15.1,22.7,12.7,27.4,,0.1,,18.0,14.0,84.0,8.0,100.0,14.8,12.3,97.0,52.0,79.0,,,,9.4,Antananarivo
2023-06-09,3.0,14.1,23.4,10.8,21.6,,0.0,,17.8,13.2,46.0,0.0,100.0,14.8,10.6,99.0,46.0,77.0,,,,6.7,Antananarivo
2023-06-10,3.0,12.5,22.5,9.0,14.4,,0.0,,16.5,11.7,58.0,1.0,100.0,14.1,5.2,100.0,33.0,77.0,,,,4.2,Antananarivo
