time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-01,3.0,14.5,32.6,28.2,51.1,,0.0,,24.2,8.5,18.0,0.0,100.0,17.8,-3.1,99.0,11.0,49.0,,,,13.2,Beijing
2023-06-02,1.0,19.1,31.0,24.9,39.6,,0.0,,24.9,5.2,9.0,0.0,45.0,7.9,2.3,44.0,16.0,30.0,,,,16.6,Beijing
2023-06-03,3.0,17.1,32.0,15.4,24.8,,0.0,,25.3,7.7,42.0,0.0,97.0,11.2,5.1,60.0,19.0,35.0,,,,7.7,Beijing
2023-06-04,3.0,19.4,33.8,26.5,43.9,,0.0,,26.5,5.6,89.0,36.0,100.0,9.9,-2.5,51.0,10.0,30.0,,,,11.2,Beijing
2023-06-05,3.0,18.8,36.2,20.9,33.5,,0.0,,27.8,6.9,14.0,0.0,82.0,10.5,0.5,56.0,11.0,30.0,,,,8.6,Beijing
2023-06-06,0.0,21.2,36.1,27.8,43.6,,0.0,,29.1,2.3,0.0,0.0,0.0,6.9,-2.6,30.0,8.0,20.0,,,,16.3,Beijing
2023-06-07,3.0,21.8,38.0,28.3,50.8,,0.0,,30.3,5.1,51.0,0.0,100.0,9.4,-3.7,44.0,12.0,23.0,,,,15.6,Beijing
2023-06-08,3.0,20.2,34.8,28.3,50.8,,0.0,,28.1,-3.6,46.0,0.0,99.0,2.1,-6.1,20.0,7.0,13.0,,,,15.0,Beijing
2023-06-09,3.0,19.4,33.0,25.9,45.4,,0.0,,27.2,-0.5,32.0,0.0,100.0,3.9,-2.8,27.0,11.0,17.0,,,,15.3,Beijing
2023-06-10,3.0,18.6,30.0,20.0,34.6,,0.0,,25.1,4.6,25.0,0.0,82.0,9.2,3.1,44.0,18.0,27.0,,,,12.8,Beijing
2023-06-11,51.0,18.4,30.1,14.9,26.6,,0.2,,24.5,8.3,33.0,1.0,100.0,11.0,5.7,62.0,22.0,38.0,,,,8.3,Beijing
2023-06-12,3.0,17.7,31.5,23.3,58.3,,0.0,,24.3,9.8,51.0,0.0,100.0,14.1,5.3,78.0,19.0,44.0,,,,10.3,Beijing
2023-06-13,3.0,19.7,33.0,11.7,24.8,,0.0,,26.6,10.1,19.0,0.0,99.0,12.7,8.0,61.0,21.0,38.0,,,,7.9,Beijing
2023-06-14,3.0,18.8,36.0,20.6,35.3,,0.0,,27.8,11.8,36.0,0.0,100.0,14.2,9.9,70.0,21.0,40.0,,,,10.2,Beijing
2023-06-15,3.0,21.2,38.1,17.1,29.9,,0.0,,29.4,14.0,20.0,0.0,95.0,15.6,11.3,65.0,20.0,42.0,,,,10.2,Beijing
2023-06-16,3.0,23.0,39.3,23.7,41.8,,0.0,,31.4,13.1,40.0,0.0,100.0,16.6,8.3,65.0,15.0,38.0,,,,12.8,Beijing
2023-06-17,3.0,25.4,38.1,23.4,41.4,,0.0,,31.3,13.8,63.0,0.0,100.0,16.0,11.7,53.0,23.0,36.0,,,,11.5,Beijing
2023-06-18,3.0,21.8,35.4,17.7,29.9,,0.0,,28.8,16.3,63.0,0.0,100.0,17.9,15.1,69.0,30.0,49.0,,,,10.8,Beijing
2023-06-19,61.0,20.8,27.5,19.9,35.3,,4.9,,24.3,18.3,79.0,11.0,100.0,20.6,16.2,91.0,50.0,70.0,,,,9.2,Beijing
2023-06-20,51.0,18.7,34.4,15.1,32.8,,0.1,,26.1,15.3,17.0,1.0,64.0,19.4,7.6,99.0,21.0,59.0,,,,6.2,Beijing
2023-06-21,0.0,20.0,39.1,27.2,46.1,,0.0,,30.0,7.9,0.0,0.0,1.0,10.4,3.9,51.0,12.0,28.0,,,,11.4,Beijing
2023-06-22,3.0,22.0,40.6,20.4,35.6,,0.0,,32.0,8.2,23.0,0.0,100.0,11.1,5.0,50.0,12.0,26.0,,,,11.8,Beijing
2023-06-23,3.0,25.3,40.6,20.8,36.7,,0.0,,33.5,11.2,24.0,0.0,98.0,14.6,8.9,43.0,16.0,27.0,,,,12.8,Beijing
2023-06-24,0.0,25.9,40.4,29.3,50.4,,0.0,,33.2,8.6,3.0,0.0,13.0,12.9,3.7,45.0,11.0,25.0,,,,14.6,Beijing
2023-06-25,3.0,24.8,35.9,21.9,38.5,,0.0,,30.0,15.9,72.0,0.0,100.0,18.7,12.9,65.0,28.0,44.0,,,,12.9,Beijing
2023-06-26,63.0,22.8,34.7,26.4,49.3,,4.4,,26.4,18.9,91.0,11.0,100.0,20.0,15.3,84.0,31.0,66.0,,,,8.1,Beijing
2023-06-27,3.0,22.5,38.1,20.7,36.4,,0.0,,30.3,16.1,50.0,0.0,100.0,19.2,12.1,79.0,22.0,48.0,,,,10.6,Beijing
2023-06-28,55.0,24.0,30.4,15.3,30.2,,1.6,,27.8,18.3,73.0,4.0,100.0,20.2,16.5,74.0,46.0,56.0,,,,8.7,Beijing
2023-06-29,3.0,19.9,36.9,21.0,33.1,,0.0,,28.5,14.1,8.0,0.0,81.0,19.5,6.8,91.0,16.0,49.0,,,,7.7,Beijing
2023-06-30,3.0,23.0,39.9,21.3,34.9,,0.0,,31.2,14.8,9.0,0.0,91.0,19.4,11.4,60.0,19.0,40.0,,,,12.5,Beijing
2023-07-01,3.0,24.7,41.1,28.2,48.6,,0.0,,32.9,13.5,72.0,0.0,100.0,18.0,7.2,57.0,13.0,35.0,,,,16.3,Beijing
2023-07-02,3.0,24.6,39.2,20.1,35.3,,0.0,,32.6,15.2,41.0,0.0,100.0,19.4,10.4,58.0,19.0,37.0,,,,12.6,Beijing
2023-07-03,61.0,25.1,35.4,18.6,29.9,,2.3,,29.6,20.2,100.0,97.0,100.0,24.0,18.2,90.0,38.0,59.0,,,,9.3,Beijing
2023-07-04,63.0,22.7,30.8,20.3,32.0,,19.4,,26.1,19.6,52.0,0.0,100.0,23.5,15.8,94.0,41.0,70.0,,,,12.6,Beijing
2023-07-05,0.0,19.7,39.9,24.5,42.5,,0.0,,30.1,11.7,0.0,0.0,5.0,19.5,3.2,78.0,11.0,40.0,,,,9.1,Beijing
2023-07-06,3.0,22.4,41.5,27.7,46.1,,0.0,,32.3,10.3,28.0,0.0,98.0,18.6,4.8,62.0,12.0,29.0,,,,14.3,Beijing
2023-07-07,3.0,24.0,38.0,17.1,32.0,,0.0,,31.1,14.2,42.0,0.0,96.0,19.4,10.5,70.0,20.0,40.0,,,,12.0,Beijing
2023-07-08,2.0,23.3,37.2,23.3,42.8,,0.0,,31.7,11.8,18.0,0.0,56.0,14.2,9.8,56.0,20.0,32.0,,,,14.0,Beijing
2023-07-09,2.0,24.6,37.6,18.0,35.3,,0.0,,31.9,12.1,17.0,0.0,50.0,13.9,10.1,50.0,20.0,32.0,,,,12.0,Beijing
2023-07-10,51.0,25.6,40.2,29.9,54.7,,0.3,,32.3,16.2,28.0,0.0,92.0,22.2,10.6,81.0,17.0,40.0,,,,12.5,Beijing
2023-07-11,63.0,25.0,36.4,23.4,43.9,,10.3,,29.9,20.8,60.0,9.0,100.0,23.2,18.5,88.0,35.0,62.0,,,,11.3,Beijing
2023-07-12,63.0,23.7,24.8,16.3,26.6,,27.9,,24.3,22.3,100.0,97.0,100.0,22.8,21.7,94.0,84.0,89.0,,,,9.9,Beijing
2023-07-13,55.0,23.2,26.6,10.7,20.9,,5.4,,24.5,22.4,100.0,95.0,100.0,22.9,21.9,95.0,76.0,88.0,,,,7.5,Beijing
2023-07-14,3.0,21.4,34.2,28.8,46.4,,0.0,,27.5,18.7,29.0,1.0,100.0,22.8,14.3,98.0,30.0,64.0,,,,12.1,Beijing
2023-07-15,3.0,25.0,31.9,29.7,49.7,,0.0,,27.7,14.3,32.0,1.0,100.0,18.8,12.3,61.0,33.0,44.0,,,,18.6,Beijing
2023-07-16,2.0,21.2,34.4,14.5,28.4,,0.0,,27.9,14.8,15.0,0.0,77.0,17.4,12.6,60.0,29.0,46.0,,,,9.6,Beijing
2023-07-17,1.0,22.0,34.9,18.5,29.9,,0.0,,28.2,17.7,5.0,0.0,48.0,18.8,15.5,78.0,32.0,55.0,,,,9.5,Beijing
2023-07-18,2.0,23.3,35.8,18.9,33.8,,0.0,,29.3,17.9,6.0,0.0,52.0,19.4,15.8,77.0,32.0,53.0,,,,9.8,Beijing
2023-07-19,2.0,23.6,37.0,19.9,35.6,,0.0,,30.1,16.9,6.0,0.0,63.0,18.6,14.9,68.0,27.0,47.0,,,,10.7,Beijing
2023-07-20,51.0,23.9,35.7,17.6,31.7,,0.4,,29.2,18.5,63.0,10.0,100.0,22.7,16.1,85.0,34.0,55.0,,,,8.6,Beijing
2023-07-21,65.0,22.0,27.6,22.0,38.2,,59.9,,24.3,22.3,97.0,63.0,100.0,23.6,20.7,95.0,76.0,89.0,,,,11.7,Beijing
2023-07-22,63.0,21.5,26.1,15.3,28.8,,14.6,,23.2,20.2,61.0,1.0,100.0,21.6,19.4,96.0,67.0,84.0,,,,10.4,Beijing
2023-07-23,3.0,21.0,31.8,10.5,20.2,,0.0,,26.5,21.5,20.0,0.0,100.0,25.4,20.0,94.0,54.0,75.0,,,,5.3,Beijing
2023-07-24,3.0,22.5,33.5,18.1,32.0,,0.0,,27.9,22.9,26.0,0.0,100.0,24.9,20.1,91.0,54.0,76.0,,,,8.4,Beijing
2023-07-25,3.0,23.5,32.0,15.6,28.4,,0.0,,27.7,22.8,25.0,0.0,100.0,25.3,21.6,91.0,60.0,76.0,,,,8.7,Beijing
2023-07-26,55.0,24.2,32.8,11.9,24.8,,1.6,,28.2,24.2,28.0,0.0,97.0,25.9,22.9,93.0,62.0,80.0,,,,6.3,Beijing
