time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-01,51.0,25.6,27.5,22.0,29.9,,0.5,,26.7,22.3,16.0,0.0,72.0,23.1,21.5,82.0,73.0,77.0,,,,13.2,Comores
2023-06-02,0.0,26.8,27.1,17.9,24.1,,0.0,,26.9,21.4,6.0,0.0,18.0,22.8,20.5,78.0,68.0,72.0,,,,11.1,Comores
2023-06-03,1.0,24.8,26.9,18.7,33.8,,0.0,,26.3,21.0,6.0,0.0,32.0,21.7,20.5,81.0,69.0,73.0,,,,6.9,Comores
2023-06-04,51.0,25.6,27.1,18.0,31.0,,0.7,,26.7,21.6,17.0,5.0,69.0,22.0,20.6,79.0,68.0,74.0,,,,11.9,Comores
2023-06-05,51.0,26.1,27.4,16.9,23.0,,0.4,,26.9,21.6,9.0,0.0,62.0,22.1,20.8,78.0,67.0,73.0,,,,10.2,Comores
2023-06-06,63.0,24.1,27.8,31.2,40.0,,7.9,,26.6,22.4,33.0,0.0,100.0,23.0,21.6,89.0,72.0,78.0,,,,19.5,Comores
2023-06-07,53.0,24.5,27.0,23.5,33.1,,4.1,,26.1,22.5,26.0,0.0,100.0,23.2,21.9,88.0,75.0,80.0,,,,11.2,Comores
2023-06-08,53.0,25.0,27.2,13.9,21.2,,1.9,,26.3,22.0,23.0,6.0,75.0,22.5,21.5,82.0,74.0,77.0,,,,6.7,Comores
2023-06-09,0.0,26.0,27.3,17.8,23.4,,0.0,,26.4,21.9,5.0,0.0,15.0,22.4,21.5,77.0,74.0,76.0,,,,6.7,Comores
2023-06-10,0.0,26.5,27.1,18.4,24.8,,0.0,,26.7,21.8,4.0,0.0,15.0,22.3,21.3,78.0,71.0,74.0,,,,10.1,Comores
2023-06-11,1.0,26.4,27.2,27.4,36.0,,0.0,,26.8,22.1,4.0,0.0,21.0,22.6,21.5,80.0,72.0,76.0,,,,19.8,Comores
2023-06-12,0.0,26.4,27.0,20.3,27.0,,0.0,,26.7,20.7,7.0,0.0,17.0,22.0,20.0,76.0,66.0,70.0,,,,17.0,Comores
2023-06-13,1.0,26.0,26.6,12.7,18.0,,0.0,,26.2,19.9,4.0,0.0,21.0,20.7,19.4,71.0,66.0,68.0,,,,6.5,Comores
2023-06-14,51.0,24.6,26.3,17.9,24.8,,1.1,,25.7,19.8,26.0,0.0,100.0,20.9,19.4,80.0,67.0,70.0,,,,10.1,Comores
2023-06-15,51.0,24.1,25.5,16.0,24.5,,1.1,,24.8,21.1,64.0,24.0,100.0,21.4,20.5,84.0,76.0,80.0,,,,8.5,Comores
2023-06-16,3.0,25.5,27.1,24.2,31.3,,0.0,,26.3,21.3,74.0,14.0,99.0,22.1,20.6,77.0,71.0,74.0,,,,10.8,Comores
2023-06-17,0.0,26.5,27.2,24.9,32.4,,0.0,,26.9,21.9,3.0,0.0,19.0,22.4,21.2,78.0,70.0,74.0,,,,21.5,Comores
2023-06-18,51.0,26.5,27.1,25.7,32.8,,0.2,,26.9,21.8,7.0,0.0,38.0,22.5,21.1,78.0,70.0,74.0,,,,20.3,Comores
2023-06-19,1.0,25.5,26.9,20.1,27.0,,0.0,,26.3,21.5,12.0,2.0,28.0,22.5,20.4,81.0,68.0,75.0,,,,13.0,Comores
2023-06-20,53.0,25.5,27.1,23.7,31.3,,2.0,,26.2,20.7,42.0,0.0,91.0,21.9,19.4,78.0,63.0,72.0,,,,11.7,Comores
2023-06-21,51.0,26.1,26.8,24.6,33.8,,0.2,,26.5,19.9,68.0,1.0,100.0,20.6,19.4,71.0,64.0,67.0,,,,17.0,Comores
2023-06-22,3.0,26.1,26.9,30.4,40.3,,0.0,,26.4,19.7,40.0,0.0,95.0,20.6,18.8,71.0,63.0,67.0,,,,24.8,Comores
2023-06-23,51.0,26.2,27.0,31.3,41.0,,0.1,,26.5,19.7,11.0,1.0,24.0,20.4,19.3,70.0,63.0,66.0,,,,28.7,Comores
2023-06-24,1.0,25.6,26.4,30.0,39.2,,0.0,,26.1,19.1,11.0,1.0,31.0,19.7,18.5,70.0,62.0,65.0,,,,25.6,Comores
