time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-01,51.0,21.4,31.0,17.0,33.5,,0.4,,26.5,19.8,46.0,0.0,100.0,21.2,17.8,91.0,47.0,68.0,,,,11.5,Dallas
2023-06-02,55.0,21.8,31.9,18.0,32.4,,1.6,,26.8,20.3,37.0,0.0,100.0,21.2,17.5,96.0,44.0,70.0,,,,9.7,Dallas
2023-06-03,65.0,21.3,29.0,23.0,37.4,,22.4,,24.1,20.3,97.0,83.0,100.0,21.1,19.1,96.0,58.0,80.0,,,,9.9,Dallas
2023-06-04,63.0,17.9,29.3,21.2,33.5,,6.1,,23.0,18.3,71.0,1.0,100.0,19.6,17.0,95.0,50.0,77.0,,,,9.1,Dallas
2023-06-05,55.0,19.6,28.6,17.0,33.8,,3.0,,23.7,18.8,90.0,27.0,100.0,20.2,17.8,95.0,54.0,76.0,,,,8.1,Dallas
2023-06-06,63.0,19.8,29.7,15.8,33.8,,10.8,,24.5,19.5,61.0,0.0,100.0,20.7,17.6,96.0,51.0,76.0,,,,6.3,Dallas
2023-06-07,55.0,19.2,30.0,14.3,27.0,,1.5,,24.4,19.7,57.0,0.0,100.0,21.1,17.9,99.0,49.0,77.0,,,,6.4,Dallas
2023-06-08,63.0,19.5,30.5,17.6,27.7,,5.1,,24.8,20.1,64.0,0.0,100.0,22.6,18.5,99.0,49.0,78.0,,,,6.9,Dallas
2023-06-09,51.0,20.8,33.0,20.6,32.4,,0.1,,27.2,20.0,59.0,2.0,100.0,21.9,16.9,95.0,44.0,68.0,,,,6.9,Dallas
2023-06-10,53.0,23.7,32.1,24.8,46.8,,0.8,,27.6,20.5,49.0,0.0,100.0,24.0,16.9,89.0,52.0,66.0,,,,13.9,Dallas
2023-06-11,3.0,22.7,35.1,28.7,46.4,,0.0,,27.4,21.6,46.0,1.0,100.0,22.8,19.7,93.0,45.0,73.0,,,,12.6,Dallas
2023-06-12,63.0,22.9,30.9,24.2,48.2,,4.8,,25.6,20.7,74.0,4.0,100.0,21.9,18.7,92.0,54.0,76.0,,,,15.0,Dallas
2023-06-13,53.0,20.5,27.6,18.3,37.8,,4.1,,23.6,21.0,81.0,0.0,100.0,23.9,17.6,98.0,79.0,86.0,,,,10.1,Dallas
2023-06-14,65.0,21.2,30.1,19.9,35.3,,18.8,,24.2,21.8,58.0,2.0,100.0,24.1,20.4,98.0,69.0,87.0,,,,12.4,Dallas
2023-06-15,65.0,19.5,32.9,29.4,50.0,,15.4,,26.6,22.9,35.0,0.0,100.0,28.9,18.7,98.0,62.0,81.0,,,,12.6,Dallas
2023-06-16,51.0,22.1,35.2,27.7,57.2,,0.6,,28.7,23.2,33.0,0.0,100.0,25.6,18.8,88.0,51.0,73.0,,,,18.0,Dallas
2023-06-17,63.0,23.1,30.8,24.5,37.1,,7.7,,27.2,22.9,74.0,2.0,100.0,25.4,20.0,90.0,62.0,78.0,,,,11.7,Dallas
2023-06-18,65.0,21.3,32.5,26.2,56.2,,47.7,,27.3,22.4,34.0,0.0,100.0,24.3,20.3,97.0,53.0,76.0,,,,13.1,Dallas
2023-06-19,63.0,21.8,34.2,28.1,43.6,,5.3,,27.2,23.6,33.0,0.0,100.0,28.8,20.1,94.0,66.0,81.0,,,,14.0,Dallas
2023-06-20,63.0,24.3,35.3,24.7,47.2,,4.5,,29.7,24.7,32.0,0.0,100.0,27.4,22.4,92.0,56.0,76.0,,,,14.9,Dallas
2023-06-21,51.0,25.8,34.9,24.9,42.1,,0.9,,30.1,25.2,56.0,0.0,100.0,26.3,23.5,92.0,53.0,77.0,,,,16.1,Dallas
2023-06-22,55.0,24.6,31.9,19.8,36.4,,1.1,,28.0,22.2,59.0,0.0,100.0,24.1,19.5,86.0,58.0,71.0,,,,12.5,Dallas
2023-06-23,63.0,24.2,32.4,21.7,40.0,,5.9,,27.4,23.1,58.0,0.0,100.0,24.2,20.6,95.0,60.0,78.0,,,,14.1,Dallas
2023-06-24,1.0,24.4,36.0,29.9,48.2,,0.0,,30.1,23.5,4.0,0.0,27.0,24.3,22.2,96.0,45.0,71.0,,,,20.3,Dallas
2023-06-25,2.0,26.1,37.6,25.0,40.0,,0.0,,31.6,23.7,10.0,0.0,57.0,25.5,22.0,79.0,41.0,64.0,,,,17.7,Dallas
2023-06-26,3.0,27.3,37.8,21.7,37.4,,0.0,,32.3,24.2,19.0,0.0,100.0,25.6,23.4,81.0,44.0,64.0,,,,15.8,Dallas
2023-06-27,2.0,25.5,38.0,23.8,39.2,,0.0,,31.9,23.3,5.0,0.0,61.0,24.7,21.3,89.0,39.0,63.0,,,,16.7,Dallas
2023-06-28,0.0,26.0,37.8,22.1,37.1,,0.0,,31.5,21.4,0.0,0.0,0.0,23.1,18.8,80.0,33.0,57.0,,,,16.9,Dallas
2023-06-29,0.0,27.0,37.8,21.0,34.6,,0.0,,31.7,21.5,1.0,0.0,2.0,23.6,18.5,76.0,33.0,57.0,,,,15.7,Dallas
2023-06-30,3.0,26.3,36.1,20.7,35.3,,0.0,,31.1,20.9,34.0,0.0,100.0,22.1,18.2,71.0,35.0,56.0,,,,15.0,Dallas
