time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-01,51.0,12.2,20.0,14.3,32.4,,0.4,,15.6,12.8,99.0,94.0,100.0,14.2,11.1,100.0,57.0,85.0,,,,10.5,Fianarantsoa
2023-06-02,51.0,13.0,20.1,17.1,37.1,,0.9,,15.7,12.6,89.0,28.0,100.0,14.0,10.2,100.0,53.0,84.0,,,,12.4,Fianarantsoa
2023-06-03,51.0,10.3,20.6,16.7,37.1,,0.3,,15.9,13.4,70.0,0.0,100.0,15.1,10.3,100.0,59.0,87.0,,,,9.4,Fianarantsoa
2023-06-04,51.0,14.5,19.3,13.6,29.5,,1.3,,16.2,14.8,84.0,16.0,100.0,15.3,13.9,100.0,72.0,92.0,,,,9.4,Fianarantsoa
2023-06-05,51.0,11.1,21.8,17.1,37.1,,0.1,,16.2,13.5,74.0,1.0,100.0,15.2,11.1,100.0,55.0,86.0,,,,8.3,Fianarantsoa
2023-06-06,51.0,13.3,21.7,13.8,29.2,,0.2,,16.3,13.0,57.0,0.0,100.0,14.8,10.5,100.0,50.0,83.0,,,,6.2,Fianarantsoa
2023-06-07,51.0,12.5,21.7,14.4,32.8,,0.5,,16.5,14.3,78.0,11.0,100.0,15.5,12.5,100.0,60.0,89.0,,,,8.8,Fianarantsoa
2023-06-08,51.0,15.0,23.3,13.0,29.5,,0.5,,17.8,14.6,66.0,5.0,100.0,16.1,11.1,100.0,47.0,84.0,,,,7.6,Fianarantsoa
2023-06-09,3.0,13.8,23.2,9.0,19.1,,0.0,,17.5,14.5,56.0,4.0,100.0,15.9,11.1,100.0,46.0,85.0,,,,4.7,Fianarantsoa
2023-06-10,3.0,14.0,23.1,8.9,18.4,,0.0,,17.3,13.0,61.0,0.0,100.0,15.6,8.5,100.0,43.0,80.0,,,,4.6,Fianarantsoa
