time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-01,51.0,20.3,30.5,17.5,32.8,,0.1,,25.7,19.7,8.0,0.0,38.0,21.5,18.2,96.0,49.0,72.0,,,,10.4,Houston
2023-06-02,51.0,21.4,30.9,14.0,26.3,,0.6,,26.1,20.2,50.0,0.0,100.0,21.4,19.1,93.0,50.0,72.0,,,,7.1,Houston
2023-06-03,61.0,21.6,31.8,12.2,35.6,,1.7,,26.2,20.2,65.0,7.0,100.0,21.4,18.6,94.0,46.0,72.0,,,,7.6,Houston
2023-06-04,61.0,21.6,29.8,16.7,30.2,,1.8,,24.7,18.8,97.0,71.0,100.0,20.0,17.4,87.0,49.0,71.0,,,,9.7,Houston
2023-06-05,65.0,20.9,27.1,17.4,33.5,,18.3,,23.2,20.7,93.0,23.0,100.0,21.7,19.6,97.0,71.0,86.0,,,,5.2,Houston
2023-06-06,51.0,20.2,29.0,7.3,16.9,,0.5,,24.2,20.4,53.0,2.0,100.0,21.6,18.1,98.0,53.0,81.0,,,,4.6,Houston
2023-06-07,51.0,19.6,30.6,9.3,24.5,,0.1,,24.7,20.8,69.0,0.0,100.0,22.2,19.5,100.0,52.0,81.0,,,,4.1,Houston
2023-06-08,63.0,20.7,29.7,17.0,35.3,,9.2,,24.8,21.5,88.0,8.0,100.0,23.3,20.2,97.0,64.0,83.0,,,,6.4,Houston
2023-06-09,51.0,20.6,32.8,14.8,31.3,,0.2,,26.6,21.3,25.0,0.0,95.0,23.5,19.8,97.0,47.0,76.0,,,,7.0,Houston
2023-06-10,65.0,23.3,32.9,19.8,32.4,,22.9,,26.9,22.8,47.0,0.0,100.0,24.3,21.9,96.0,53.0,80.0,,,,10.6,Houston
2023-06-11,3.0,23.0,34.7,24.0,39.2,,0.0,,28.4,22.5,31.0,0.0,100.0,24.2,20.8,95.0,44.0,73.0,,,,14.2,Houston
2023-06-12,3.0,22.8,34.3,20.5,36.4,,0.0,,28.5,23.7,40.0,0.0,100.0,24.6,22.5,99.0,54.0,77.0,,,,12.4,Houston
2023-06-13,3.0,23.7,34.2,23.7,40.3,,0.0,,28.5,23.2,55.0,2.0,100.0,24.7,21.4,98.0,47.0,76.0,,,,14.4,Houston
2023-06-14,3.0,26.4,34.4,24.5,42.8,,0.0,,29.7,23.5,85.0,33.0,100.0,24.9,22.4,90.0,51.0,71.0,,,,15.6,Houston
2023-06-15,3.0,26.6,36.9,24.2,41.8,,0.0,,30.6,24.5,41.0,1.0,100.0,25.9,22.5,95.0,44.0,73.0,,,,16.6,Houston
2023-06-16,51.0,25.9,36.6,22.1,39.2,,0.5,,30.5,24.9,40.0,0.0,100.0,26.0,23.3,98.0,47.0,75.0,,,,15.1,Houston
2023-06-17,63.0,24.6,37.2,32.9,54.7,,2.7,,30.1,24.8,66.0,2.0,100.0,26.5,23.1,100.0,44.0,76.0,,,,13.2,Houston
2023-06-18,3.0,25.8,36.6,28.2,48.2,,0.0,,30.5,24.5,39.0,4.0,94.0,26.7,21.2,99.0,41.0,74.0,,,,17.5,Houston
2023-06-19,3.0,25.9,37.7,24.0,41.0,,0.0,,31.1,24.8,46.0,0.0,100.0,26.1,22.4,97.0,42.0,72.0,,,,15.1,Houston
2023-06-20,51.0,26.5,38.2,23.6,39.2,,0.1,,31.4,24.6,41.0,0.0,100.0,26.7,21.7,96.0,39.0,70.0,,,,16.0,Houston
2023-06-21,63.0,25.4,32.8,24.2,43.2,,8.5,,29.2,24.4,45.0,0.0,100.0,26.6,20.0,100.0,47.0,78.0,,,,13.2,Houston
2023-06-22,65.0,25.0,35.7,18.5,34.2,,11.5,,28.9,24.8,70.0,9.0,100.0,25.9,23.0,97.0,48.0,80.0,,,,11.1,Houston
2023-06-23,61.0,24.9,30.8,20.4,37.8,,4.5,,28.0,24.9,65.0,0.0,100.0,26.1,23.3,97.0,68.0,84.0,,,,10.9,Houston
2023-06-24,3.0,25.8,36.3,21.3,36.0,,0.0,,30.7,24.4,28.0,0.0,96.0,26.4,22.4,96.0,45.0,72.0,,,,14.0,Houston
2023-06-25,51.0,26.8,37.2,24.5,41.4,,0.4,,31.2,24.6,11.0,0.0,56.0,25.7,23.2,92.0,45.0,70.0,,,,16.7,Houston
2023-06-26,2.0,25.8,37.3,20.1,38.5,,0.0,,30.8,23.8,8.0,0.0,52.0,25.5,21.9,95.0,41.0,69.0,,,,13.4,Houston
2023-06-27,1.0,25.6,37.4,19.2,34.9,,0.0,,31.0,23.9,7.0,0.0,41.0,25.6,21.8,96.0,41.0,69.0,,,,12.1,Houston
2023-06-28,0.0,25.4,37.0,18.8,36.7,,0.0,,30.7,23.7,5.0,0.0,19.0,24.8,21.6,96.0,41.0,69.0,,,,12.8,Houston
2023-06-29,1.0,26.3,36.1,19.5,34.2,,0.0,,30.7,23.5,6.0,0.0,28.0,25.2,21.4,92.0,44.0,68.0,,,,11.5,Houston
2023-06-30,51.0,26.3,36.7,23.2,39.6,,0.1,,30.5,23.3,14.0,0.0,73.0,25.3,20.7,92.0,40.0,68.0,,,,11.6,Houston
2023-07-01,3.0,25.8,36.4,15.5,28.1,,0.0,,30.6,23.7,45.0,2.0,100.0,25.9,21.1,91.0,41.0,69.0,,,,9.0,Houston
2023-07-02,55.0,25.4,34.1,10.8,18.4,,3.2,,29.0,24.0,83.0,12.0,100.0,25.4,22.0,98.0,50.0,76.0,,,,5.4,Houston
2023-07-03,53.0,24.7,33.7,16.6,31.7,,1.2,,29.0,23.3,63.0,3.0,100.0,25.2,21.1,96.0,48.0,73.0,,,,8.0,Houston
2023-07-04,51.0,25.6,33.7,18.4,43.9,,1.1,,28.9,23.8,63.0,15.0,100.0,25.1,22.3,91.0,52.0,75.0,,,,10.3,Houston
