time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-01,3.0,10.1,24.5,25.8,45.7,,0.0,,16.2,7.8,51.0,0.0,100.0,9.5,2.8,92.0,24.0,62.0,,,,9.5,Kabul
2023-06-02,2.0,8.4,27.6,25.9,49.3,,0.0,,18.6,2.6,16.0,0.0,74.0,8.3,-10.6,94.0,7.0,46.0,,,,10.3,Kabul
2023-06-03,3.0,10.5,27.6,23.3,42.5,,0.0,,19.7,0.2,23.0,0.0,97.0,5.9,-9.6,62.0,8.0,33.0,,,,12.1,Kabul
2023-06-04,3.0,11.7,27.1,25.1,47.9,,0.0,,20.6,0.9,25.0,0.0,100.0,6.3,-7.7,61.0,10.0,32.0,,,,10.5,Kabul
2023-06-05,1.0,12.3,27.8,18.0,37.4,,0.0,,21.1,-2.7,2.0,0.0,20.0,5.3,-8.8,58.0,10.0,26.0,,,,11.0,Kabul
2023-06-06,1.0,13.2,28.7,27.4,48.2,,0.0,,21.8,-5.3,4.0,0.0,24.0,-1.2,-8.2,33.0,9.0,18.0,,,,14.2,Kabul
2023-06-07,1.0,14.0,30.2,25.4,48.2,,0.0,,22.6,-4.9,2.0,0.0,34.0,-1.5,-8.2,29.0,8.0,17.0,,,,14.5,Kabul
2023-06-08,0.0,13.0,32.0,21.0,42.8,,0.0,,23.3,-3.1,0.0,0.0,2.0,0.7,-7.7,40.0,8.0,20.0,,,,10.7,Kabul
2023-06-09,1.0,13.7,33.1,24.9,45.0,,0.0,,24.6,-1.7,5.0,0.0,36.0,1.2,-5.4,36.0,8.0,20.0,,,,13.2,Kabul
2023-06-10,3.0,15.0,32.3,16.3,32.4,,0.0,,24.4,1.2,30.0,0.0,92.0,6.1,-2.4,42.0,11.0,25.0,,,,8.3,Kabul
2023-06-11,53.0,16.4,30.4,32.0,58.3,,0.8,,22.6,7.2,40.0,0.0,100.0,11.1,4.5,66.0,21.0,40.0,,,,8.5,Kabul
2023-06-12,3.0,15.1,30.1,25.6,58.3,,0.0,,22.5,7.3,34.0,0.0,100.0,10.1,3.1,72.0,18.0,41.0,,,,8.9,Kabul
