time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-01,1.0,22.1,32.3,14.5,32.4,,0.0,,26.6,16.3,3.0,0.0,26.0,19.3,13.2,75.0,32.0,55.0,,,,9.4,Mahajanga
2023-06-02,3.0,21.1,31.5,16.7,33.1,,0.0,,26.1,15.4,18.0,0.0,100.0,17.3,13.5,72.0,35.0,53.0,,,,12.5,Mahajanga
2023-06-03,3.0,22.5,32.6,20.9,42.5,,0.0,,27.1,16.7,26.0,0.0,94.0,17.3,15.9,68.0,37.0,54.0,,,,15.4,Mahajanga
2023-06-04,0.0,22.6,32.6,20.6,38.5,,0.0,,26.9,14.0,0.0,0.0,1.0,17.2,9.6,70.0,25.0,48.0,,,,15.9,Mahajanga
2023-06-05,3.0,21.0,33.0,19.8,41.0,,0.0,,26.7,17.1,19.0,0.0,100.0,23.6,14.9,82.0,36.0,57.0,,,,12.6,Mahajanga
2023-06-06,3.0,22.0,33.7,15.6,33.1,,0.0,,27.7,16.3,16.0,0.0,97.0,18.9,14.9,67.0,35.0,51.0,,,,10.6,Mahajanga
2023-06-07,1.0,23.1,33.5,18.4,33.1,,0.0,,28.3,17.5,11.0,0.0,38.0,18.3,16.4,72.0,38.0,53.0,,,,12.2,Mahajanga
2023-06-08,2.0,23.1,32.6,15.8,32.0,,0.0,,27.7,16.9,19.0,0.0,72.0,17.7,16.2,67.0,38.0,53.0,,,,10.0,Mahajanga
2023-06-09,1.0,22.3,32.8,14.6,32.0,,0.0,,26.9,18.2,6.0,0.0,30.0,23.0,15.2,89.0,36.0,61.0,,,,8.5,Mahajanga
2023-06-10,1.0,21.4,32.2,12.6,26.3,,0.0,,26.6,18.3,7.0,0.0,30.0,21.3,15.0,89.0,36.0,63.0,,,,9.1,Mahajanga
2023-06-11,1.0,22.0,31.9,17.4,34.2,,0.0,,26.4,17.4,6.0,0.0,49.0,22.3,13.4,88.0,36.0,60.0,,,,9.8,Mahajanga
2023-06-12,51.0,21.7,31.6,17.9,40.7,,0.1,,25.5,19.5,9.0,0.0,61.0,22.2,15.1,92.0,37.0,72.0,,,,10.7,Mahajanga
2023-06-13,53.0,21.3,29.9,12.4,28.1,,1.6,,25.1,20.2,14.0,0.0,63.0,22.6,16.0,96.0,43.0,76.0,,,,8.3,Mahajanga
2023-06-14,51.0,21.4,31.3,20.1,41.8,,0.3,,25.6,20.3,25.0,0.0,93.0,22.7,14.6,93.0,36.0,75.0,,,,8.5,Mahajanga
2023-06-15,3.0,22.6,32.5,16.5,34.9,,0.0,,26.2,19.5,16.0,0.0,100.0,22.4,13.9,93.0,33.0,71.0,,,,10.1,Mahajanga
2023-06-16,3.0,21.8,31.8,14.8,30.6,,0.0,,26.4,18.1,49.0,0.0,100.0,22.1,13.1,92.0,32.0,64.0,,,,10.0,Mahajanga
2023-06-17,0.0,21.0,33.1,11.4,23.8,,0.0,,26.5,18.3,0.0,0.0,9.0,22.4,14.4,87.0,33.0,64.0,,,,7.6,Mahajanga
2023-06-18,3.0,21.4,32.9,15.4,33.1,,0.0,,26.8,12.5,11.0,0.0,100.0,16.1,9.6,61.0,24.0,43.0,,,,10.3,Mahajanga
2023-06-19,1.0,21.4,31.7,14.4,30.2,,0.0,,26.0,14.4,4.0,0.0,40.0,16.9,11.7,74.0,30.0,51.0,,,,9.6,Mahajanga
2023-06-20,1.0,20.1,30.9,16.3,34.2,,0.0,,25.2,12.6,3.0,0.0,34.0,16.8,9.7,71.0,27.0,48.0,,,,11.1,Mahajanga
2023-06-21,3.0,19.7,31.0,11.4,26.6,,0.0,,25.1,13.9,27.0,0.0,100.0,17.2,11.0,75.0,29.0,52.0,,,,8.0,Mahajanga
2023-06-22,2.0,20.1,30.8,14.2,28.8,,0.0,,25.6,15.1,5.0,0.0,64.0,20.4,12.3,76.0,34.0,55.0,,,,9.3,Mahajanga
2023-06-23,2.0,20.5,31.0,17.9,32.8,,0.0,,25.8,16.4,19.0,0.0,75.0,20.7,12.4,78.0,33.0,59.0,,,,11.6,Mahajanga
2023-06-24,1.0,21.0,31.1,15.8,30.6,,0.0,,25.3,16.5,6.0,0.0,43.0,20.8,11.8,80.0,31.0,61.0,,,,11.1,Mahajanga
2023-06-25,3.0,20.4,30.7,15.3,28.8,,0.0,,25.2,16.7,7.0,0.0,89.0,20.0,12.9,88.0,34.0,63.0,,,,10.0,Mahajanga
2023-06-26,1.0,20.4,30.7,13.1,28.8,,0.0,,24.7,14.7,13.0,0.0,49.0,19.9,10.7,90.0,29.0,58.0,,,,9.2,Mahajanga
2023-06-27,3.0,18.4,30.5,13.4,29.5,,0.0,,24.1,13.2,41.0,0.0,96.0,18.6,8.1,79.0,25.0,55.0,,,,8.4,Mahajanga
2023-06-28,2.0,17.8,30.6,16.4,34.9,,0.0,,23.6,10.2,16.0,0.0,55.0,12.8,7.2,67.0,24.0,45.0,,,,11.0,Mahajanga
2023-06-29,3.0,19.1,31.9,15.3,33.1,,0.0,,25.4,11.0,82.0,9.0,100.0,15.2,4.4,68.0,18.0,43.0,,,,11.5,Mahajanga
2023-06-30,3.0,21.0,31.0,17.2,35.3,,0.0,,25.5,15.5,24.0,0.0,100.0,19.8,12.0,74.0,31.0,56.0,,,,12.5,Mahajanga
2023-07-01,3.0,20.2,31.2,14.3,31.3,,0.0,,25.6,14.2,31.0,0.0,100.0,17.9,11.8,75.0,31.0,51.0,,,,9.7,Mahajanga
2023-07-02,2.0,20.8,31.2,22.9,47.9,,0.0,,25.8,13.1,13.0,0.0,75.0,15.7,9.3,71.0,29.0,48.0,,,,16.9,Mahajanga
2023-07-03,2.0,19.9,31.3,26.1,51.5,,0.0,,25.7,12.9,10.0,0.0,55.0,15.0,9.5,71.0,29.0,48.0,,,,18.8,Mahajanga
2023-07-04,2.0,21.0,30.2,25.3,51.8,,0.0,,25.2,12.9,16.0,0.0,74.0,14.3,11.7,61.0,32.0,47.0,,,,16.2,Mahajanga
2023-07-05,3.0,19.9,31.8,16.6,33.1,,0.0,,25.4,14.1,13.0,0.0,90.0,15.3,12.5,72.0,32.0,52.0,,,,11.6,Mahajanga
2023-07-06,3.0,19.8,31.4,18.8,38.5,,0.0,,26.0,14.8,32.0,0.0,97.0,20.9,13.3,79.0,34.0,52.0,,,,10.2,Mahajanga
2023-07-07,0.0,20.2,31.5,21.2,43.6,,0.0,,25.6,11.4,1.0,0.0,15.0,16.7,9.7,65.0,30.0,42.0,,,,14.7,Mahajanga
2023-07-08,3.0,20.5,31.6,22.8,42.8,,0.0,,25.7,13.3,78.0,0.0,100.0,15.1,10.9,70.0,31.0,48.0,,,,16.5,Mahajanga
2023-07-09,3.0,19.8,31.0,22.8,47.2,,0.0,,25.3,14.3,30.0,0.0,88.0,18.3,12.1,76.0,33.0,53.0,,,,13.4,Mahajanga
2023-07-10,3.0,20.5,32.0,15.3,33.5,,0.0,,25.4,17.6,61.0,5.0,100.0,21.7,14.9,89.0,36.0,65.0,,,,9.9,Mahajanga
2023-07-11,2.0,19.7,30.5,18.7,38.9,,0.0,,25.2,19.1,12.0,0.0,60.0,22.0,15.7,97.0,42.0,72.0,,,,9.8,Mahajanga
2023-07-12,2.0,21.2,31.0,18.3,37.8,,0.0,,25.7,18.3,10.0,0.0,50.0,22.4,16.4,89.0,43.0,65.0,,,,10.0,Mahajanga
2023-07-13,51.0,22.0,32.1,16.5,32.4,,0.1,,26.0,17.1,18.0,0.0,63.0,20.9,13.7,81.0,33.0,61.0,,,,10.4,Mahajanga
2023-07-14,3.0,20.3,32.4,17.4,37.4,,0.0,,26.0,16.1,34.0,0.0,100.0,20.1,12.9,89.0,31.0,58.0,,,,10.3,Mahajanga
2023-07-15,3.0,20.7,31.5,18.6,36.7,,0.0,,25.9,11.9,17.0,0.0,99.0,14.6,7.4,68.0,24.0,44.0,,,,13.3,Mahajanga
2023-07-16,2.0,21.1,32.2,17.1,36.7,,0.0,,26.4,13.0,15.0,0.0,78.0,15.2,11.2,54.0,32.0,44.0,,,,13.1,Mahajanga
2023-07-17,3.0,21.7,33.2,16.6,35.6,,0.0,,27.0,15.8,33.0,0.0,100.0,20.4,13.9,73.0,32.0,53.0,,,,9.4,Mahajanga
2023-07-18,3.0,21.8,33.0,18.3,36.7,,0.0,,27.4,15.6,24.0,0.0,100.0,21.2,12.2,73.0,30.0,51.0,,,,10.4,Mahajanga
2023-07-19,0.0,21.1,33.1,20.5,43.9,,0.0,,27.1,13.8,2.0,0.0,14.0,15.2,11.7,64.0,28.0,46.0,,,,14.5,Mahajanga
2023-07-20,51.0,22.5,31.1,13.2,28.1,,0.5,,26.2,15.4,74.0,28.0,100.0,18.5,14.0,65.0,36.0,52.0,,,,9.5,Mahajanga
