time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-01,53.0,16.3,23.4,15.5,29.9,,1.5,,20.1,15.8,63.0,9.0,100.0,17.3,14.3,98.0,58.0,78.0,,,,6.4,Marseille
2023-06-02,51.0,17.2,22.9,10.5,24.8,,0.6,,19.9,17.5,60.0,2.0,100.0,19.0,15.5,96.0,70.0,86.0,,,,5.9,Marseille
2023-06-03,55.0,15.7,22.4,13.3,32.8,,1.5,,19.8,17.3,33.0,0.0,100.0,18.7,15.7,100.0,74.0,86.0,,,,6.4,Marseille
2023-06-04,53.0,16.0,22.2,11.2,26.6,,1.7,,19.5,16.4,67.0,1.0,100.0,17.7,15.3,99.0,66.0,83.0,,,,6.1,Marseille
2023-06-05,51.0,17.0,23.0,13.7,28.8,,0.2,,20.1,16.8,46.0,0.0,100.0,18.1,15.9,95.0,67.0,82.0,,,,6.5,Marseille
2023-06-06,3.0,16.1,23.0,13.8,28.8,,0.0,,20.2,17.5,54.0,1.0,100.0,18.8,15.8,99.0,71.0,85.0,,,,6.4,Marseille
2023-06-07,3.0,18.1,22.9,12.4,28.8,,0.0,,20.7,17.6,72.0,8.0,100.0,18.9,16.6,98.0,69.0,83.0,,,,6.5,Marseille
2023-06-08,3.0,16.7,23.1,14.4,31.3,,0.0,,20.6,17.2,66.0,1.0,100.0,18.2,16.3,97.0,68.0,82.0,,,,7.7,Marseille
2023-06-09,53.0,18.6,23.6,24.1,45.4,,0.9,,21.1,17.1,85.0,19.0,100.0,18.3,15.2,92.0,61.0,79.0,,,,15.3,Marseille
2023-06-10,63.0,18.9,24.2,16.0,28.4,,3.6,,21.5,19.0,46.0,4.0,100.0,20.1,17.5,92.0,77.0,86.0,,,,9.1,Marseille
2023-06-11,3.0,19.6,26.5,12.5,27.4,,0.0,,23.0,19.0,52.0,0.0,100.0,20.4,17.1,95.0,61.0,79.0,,,,8.4,Marseille
2023-06-12,53.0,19.5,25.0,15.5,32.8,,0.8,,22.6,20.0,66.0,3.0,100.0,20.8,19.3,99.0,71.0,86.0,,,,6.8,Marseille
2023-06-13,63.0,19.4,24.6,22.2,41.8,,14.3,,21.3,18.9,82.0,0.0,100.0,19.9,17.7,98.0,74.0,86.0,,,,8.8,Marseille
2023-06-14,61.0,18.4,24.1,13.3,27.7,,3.5,,21.3,18.4,54.0,0.0,100.0,19.5,17.5,95.0,70.0,84.0,,,,6.8,Marseille
2023-06-15,3.0,17.9,28.3,24.5,44.3,,0.0,,23.3,15.4,17.0,0.0,100.0,19.7,12.3,98.0,38.0,65.0,,,,14.0,Marseille
2023-06-16,2.0,18.6,28.7,19.2,35.3,,0.0,,24.1,13.7,9.0,0.0,60.0,15.5,12.1,71.0,38.0,53.0,,,,13.2,Marseille
2023-06-17,3.0,18.9,25.4,13.8,27.7,,0.0,,22.9,17.7,51.0,0.0,100.0,21.1,13.9,96.0,59.0,73.0,,,,9.1,Marseille
2023-06-18,3.0,20.5,25.5,24.2,45.7,,0.0,,23.0,19.5,77.0,1.0,100.0,21.0,18.3,97.0,66.0,81.0,,,,16.5,Marseille
2023-06-19,3.0,18.7,28.2,23.7,46.8,,0.0,,24.0,16.6,69.0,0.0,100.0,20.3,14.3,78.0,49.0,64.0,,,,13.9,Marseille
