time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-01,53.0,15.2,24.0,9.6,23.4,,3.1,,18.8,13.4,72.0,10.0,100.0,14.8,12.0,96.0,48.0,73.0,,,,5.5,Nairobi
2023-06-02,53.0,15.5,23.5,12.8,31.3,,3.2,,18.8,13.6,76.0,16.0,100.0,14.6,12.1,90.0,51.0,73.0,,,,7.7,Nairobi
2023-06-03,53.0,15.3,23.8,11.6,29.9,,3.0,,18.6,13.8,77.0,29.0,100.0,14.9,12.2,93.0,50.0,76.0,,,,7.9,Nairobi
2023-06-04,53.0,15.1,23.2,8.5,21.2,,3.2,,18.3,13.1,81.0,26.0,100.0,14.9,11.5,94.0,49.0,74.0,,,,5.3,Nairobi
2023-06-05,3.0,13.4,24.8,10.0,27.4,,0.0,,18.7,12.2,85.0,23.0,100.0,13.2,9.9,95.0,40.0,69.0,,,,6.1,Nairobi
2023-06-06,53.0,15.4,23.8,12.4,27.7,,2.2,,18.8,13.6,90.0,15.0,100.0,15.0,11.6,96.0,47.0,74.0,,,,6.5,Nairobi
2023-06-07,3.0,12.2,25.5,12.2,24.5,,0.0,,18.3,11.4,37.0,0.0,100.0,14.4,8.4,96.0,36.0,68.0,,,,6.3,Nairobi
2023-06-08,3.0,11.2,26.2,15.5,28.8,,0.0,,18.3,9.4,69.0,0.0,100.0,12.2,6.6,83.0,29.0,60.0,,,,5.8,Nairobi
2023-06-09,51.0,14.8,25.1,11.3,22.3,,0.4,,19.2,12.2,97.0,59.0,100.0,14.1,9.4,90.0,39.0,67.0,,,,6.1,Nairobi
2023-06-10,51.0,12.2,26.2,9.5,26.3,,0.1,,19.1,11.9,76.0,28.0,100.0,13.7,9.3,96.0,37.0,67.0,,,,5.7,Nairobi
2023-06-11,3.0,12.9,26.7,12.1,27.4,,0.0,,18.9,11.0,79.0,9.0,100.0,13.8,6.3,92.0,28.0,65.0,,,,5.8,Nairobi
2023-06-12,3.0,14.6,24.7,8.3,23.0,,0.0,,18.6,11.2,98.0,75.0,100.0,12.7,10.4,85.0,41.0,64.0,,,,5.3,Nairobi
2023-06-13,3.0,12.1,24.9,9.5,27.4,,0.0,,18.2,12.1,46.0,3.0,100.0,13.9,10.8,92.0,43.0,70.0,,,,6.2,Nairobi
2023-06-14,51.0,15.0,26.7,9.0,23.8,,0.2,,19.6,12.8,85.0,7.0,100.0,14.5,11.3,87.0,39.0,67.0,,,,4.3,Nairobi
2023-06-15,53.0,14.5,24.2,8.3,25.2,,1.2,,18.5,13.7,94.0,29.0,100.0,15.4,12.9,96.0,49.0,76.0,,,,4.8,Nairobi
2023-06-16,51.0,13.1,26.3,9.5,25.2,,0.1,,18.9,13.1,89.0,31.0,100.0,14.7,10.7,95.0,38.0,72.0,,,,4.5,Nairobi
2023-06-17,51.0,14.3,23.4,9.5,25.2,,1.4,,18.4,13.2,88.0,30.0,100.0,15.0,11.8,91.0,51.0,73.0,,,,5.9,Nairobi
2023-06-18,51.0,14.6,23.8,11.6,26.6,,0.2,,18.3,12.0,68.0,5.0,100.0,14.5,9.7,92.0,42.0,69.0,,,,6.3,Nairobi
2023-06-19,3.0,12.3,25.5,8.2,25.6,,0.0,,17.5,11.2,47.0,7.0,100.0,12.3,10.2,91.0,38.0,69.0,,,,5.9,Nairobi
2023-06-20,51.0,13.6,26.1,12.9,24.8,,0.2,,18.8,12.3,50.0,6.0,100.0,14.2,11.2,90.0,39.0,69.0,,,,5.3,Nairobi
2023-06-21,51.0,12.6,24.2,11.4,25.2,,1.4,,18.0,13.5,88.0,30.0,100.0,15.1,11.9,96.0,50.0,77.0,,,,5.7,Nairobi
2023-06-22,51.0,13.9,24.4,9.8,25.6,,0.5,,18.5,12.9,97.0,61.0,100.0,14.8,11.2,96.0,47.0,72.0,,,,6.2,Nairobi
2023-06-23,51.0,13.1,23.9,10.4,23.8,,0.8,,18.5,12.5,100.0,97.0,100.0,15.0,10.5,95.0,44.0,71.0,,,,5.4,Nairobi
2023-06-24,51.0,12.1,23.0,9.0,23.8,,1.1,,18.3,12.0,94.0,40.0,100.0,13.0,10.5,96.0,48.0,69.0,,,,5.8,Nairobi
2023-06-25,3.0,12.2,25.6,9.8,25.2,,0.0,,18.8,10.8,99.0,87.0,100.0,12.5,8.4,91.0,35.0,63.0,,,,5.4,Nairobi
2023-06-26,51.0,11.9,24.8,10.5,24.5,,0.2,,18.1,11.6,87.0,23.0,100.0,12.8,10.7,93.0,42.0,68.0,,,,6.2,Nairobi
2023-06-27,51.0,12.4,24.0,8.7,24.1,,0.3,,17.9,12.4,80.0,24.0,100.0,13.2,11.6,97.0,46.0,72.0,,,,5.0,Nairobi
2023-06-28,51.0,12.2,24.3,9.5,23.0,,0.3,,18.0,12.6,41.0,8.0,100.0,13.4,11.6,96.0,48.0,74.0,,,,5.8,Nairobi
2023-06-29,3.0,13.4,24.2,9.5,24.5,,0.0,,18.1,12.3,82.0,9.0,100.0,13.3,11.1,92.0,46.0,71.0,,,,4.8,Nairobi
2023-06-30,51.0,14.7,22.1,9.7,25.9,,1.1,,17.6,12.2,99.0,77.0,100.0,13.8,10.2,91.0,50.0,72.0,,,,5.6,Nairobi
2023-07-01,51.0,13.4,21.7,12.6,25.6,,0.6,,17.2,12.2,99.0,93.0,100.0,13.2,10.9,91.0,51.0,74.0,,,,6.1,Nairobi
2023-07-02,51.0,14.5,21.0,9.9,24.5,,0.3,,17.0,11.2,98.0,80.0,100.0,13.3,9.5,89.0,50.0,70.0,,,,7.2,Nairobi
2023-07-03,51.0,12.9,21.0,8.3,21.2,,0.6,,16.6,11.0,92.0,28.0,100.0,11.9,9.8,93.0,49.0,71.0,,,,5.4,Nairobi
2023-07-04,51.0,13.8,20.3,10.9,26.6,,2.0,,16.3,11.4,84.0,0.0,100.0,12.9,9.8,90.0,55.0,74.0,,,,7.7,Nairobi
2023-07-05,3.0,11.3,23.0,8.9,24.8,,0.0,,16.0,10.8,61.0,3.0,100.0,11.4,10.0,95.0,44.0,74.0,,,,5.3,Nairobi
2023-07-06,51.0,11.2,21.4,12.4,25.6,,0.1,,16.2,10.9,76.0,0.0,100.0,11.6,10.2,96.0,51.0,73.0,,,,7.5,Nairobi
