time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-01,63.0,13.6,26.3,26.2,41.8,,5.6,,20.3,16.9,75.0,0.0,100.0,20.4,12.5,93.0,59.0,82.0,,,,8.1,Osaka
2023-06-02,65.0,19.9,21.4,18.1,50.4,,157.4,,20.8,19.8,100.0,98.0,100.0,20.1,19.3,99.0,90.0,94.0,,,,8.0,Osaka
2023-06-03,53.0,16.3,24.4,25.6,40.0,,1.1,,20.8,14.7,40.0,0.0,100.0,19.9,11.4,97.0,48.0,70.0,,,,15.3,Osaka
2023-06-04,3.0,12.4,23.1,17.3,29.2,,0.0,,18.6,14.1,57.0,0.0,100.0,16.6,11.7,96.0,52.0,76.0,,,,9.3,Osaka
2023-06-05,3.0,14.8,24.5,16.3,28.4,,0.0,,20.5,15.9,92.0,37.0,100.0,18.1,13.6,94.0,51.0,76.0,,,,8.6,Osaka
2023-06-06,55.0,17.0,22.2,30.6,48.2,,6.7,,18.9,15.4,99.0,80.0,100.0,17.1,13.2,93.0,58.0,81.0,,,,9.8,Osaka
2023-06-07,51.0,15.4,22.5,23.2,37.4,,0.5,,19.7,16.0,73.0,0.0,100.0,17.7,14.3,93.0,66.0,80.0,,,,10.5,Osaka
2023-06-08,63.0,15.6,23.7,18.7,43.2,,21.7,,20.1,16.5,100.0,96.0,100.0,18.3,14.5,94.0,63.0,81.0,,,,8.4,Osaka
2023-06-09,65.0,19.7,23.4,39.3,57.6,,24.0,,21.3,18.0,100.0,99.0,100.0,20.6,16.9,93.0,69.0,81.0,,,,14.8,Osaka
2023-06-10,51.0,17.0,25.4,18.3,29.5,,0.3,,21.4,18.2,99.0,87.0,100.0,19.2,16.5,97.0,68.0,82.0,,,,8.4,Osaka
2023-06-11,63.0,19.5,23.6,18.4,27.7,,19.8,,21.6,19.1,100.0,100.0,100.0,20.6,17.6,94.0,75.0,86.0,,,,9.4,Osaka
2023-06-12,61.0,20.4,25.3,13.1,20.5,,9.9,,22.5,20.4,100.0,90.0,100.0,22.0,19.2,95.0,76.0,88.0,,,,6.8,Osaka
2023-06-13,51.0,19.7,25.1,17.2,29.2,,0.3,,22.1,19.8,92.0,22.0,100.0,20.5,19.0,97.0,72.0,87.0,,,,11.6,Osaka
2023-06-14,61.0,20.4,26.4,11.3,21.2,,7.8,,23.1,20.4,96.0,77.0,100.0,21.3,19.6,95.0,72.0,85.0,,,,6.8,Osaka
2023-06-15,53.0,20.3,23.9,25.0,37.1,,1.8,,22.3,20.4,81.0,15.0,100.0,21.3,18.0,95.0,84.0,89.0,,,,7.5,Osaka
2023-06-16,51.0,17.3,24.5,26.8,41.4,,0.3,,21.6,18.0,30.0,0.0,100.0,19.4,16.8,97.0,65.0,80.0,,,,12.8,Osaka
2023-06-17,3.0,17.2,27.3,17.4,29.9,,0.0,,22.4,18.3,14.0,0.0,100.0,19.9,16.1,94.0,59.0,79.0,,,,10.3,Osaka
2023-06-18,3.0,17.3,24.7,14.7,25.6,,0.0,,21.8,18.3,86.0,0.0,100.0,20.4,16.4,94.0,67.0,81.0,,,,6.5,Osaka
2023-06-19,3.0,18.8,29.2,27.0,40.7,,0.0,,23.4,17.0,15.0,0.0,100.0,19.3,15.6,92.0,49.0,69.0,,,,11.0,Osaka
2023-06-20,51.0,16.0,28.4,20.4,33.8,,0.3,,22.5,17.9,76.0,31.0,100.0,20.8,14.5,91.0,56.0,76.0,,,,9.4,Osaka
2023-06-21,51.0,19.8,29.0,22.2,35.3,,0.4,,23.7,17.8,82.0,22.0,100.0,20.3,16.3,86.0,46.0,71.0,,,,13.6,Osaka
