time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-01,53.0,19.3,23.5,24.5,49.7,,3.0,,21.4,18.4,51.0,13.0,100.0,18.9,18.0,97.0,72.0,83.0,,,,16.0,Rio de Janeiro
2023-06-02,55.0,18.0,23.0,11.4,24.1,,5.9,,20.6,18.3,57.0,14.0,100.0,18.8,17.3,96.0,72.0,87.0,,,,7.7,Rio de Janeiro
2023-06-03,51.0,17.5,24.5,16.1,31.0,,0.2,,20.4,17.6,23.0,0.0,100.0,18.3,16.7,97.0,65.0,85.0,,,,8.1,Rio de Janeiro
2023-06-04,0.0,15.5,25.0,9.8,22.7,,0.0,,19.7,16.5,0.0,0.0,5.0,18.0,14.8,95.0,60.0,83.0,,,,7.4,Rio de Janeiro
2023-06-05,51.0,15.9,25.5,11.9,27.7,,0.1,,20.2,17.4,18.0,0.0,97.0,19.7,15.4,97.0,60.0,85.0,,,,7.1,Rio de Janeiro
2023-06-06,51.0,16.7,24.3,13.0,29.2,,0.9,,20.0,17.5,21.0,0.0,85.0,19.4,16.1,98.0,60.0,86.0,,,,8.2,Rio de Janeiro
2023-06-07,3.0,15.8,25.0,13.8,27.0,,0.0,,19.7,16.7,20.0,0.0,100.0,18.5,14.9,100.0,56.0,85.0,,,,7.3,Rio de Janeiro
2023-06-08,0.0,15.5,26.1,11.3,23.0,,0.0,,20.2,15.5,0.0,0.0,3.0,17.5,13.5,94.0,50.0,76.0,,,,7.4,Rio de Janeiro
2023-06-09,0.0,15.7,27.4,10.0,20.2,,0.0,,20.7,14.9,0.0,0.0,2.0,16.3,12.6,93.0,43.0,72.0,,,,6.6,Rio de Janeiro
2023-06-10,0.0,15.8,29.3,11.1,25.2,,0.0,,21.8,14.4,0.0,0.0,0.0,16.9,12.4,91.0,36.0,66.0,,,,7.8,Rio de Janeiro
