time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-01,63.0,13.8,26.0,9.8,43.2,,4.3,,20.0,14.5,45.0,0.0,100.0,18.2,12.7,98.0,44.0,73.0,,,,4.6,Rome
2023-06-02,51.0,13.2,25.0,8.1,23.4,,0.2,,19.6,15.2,47.0,0.0,100.0,18.1,12.5,99.0,58.0,78.0,,,,4.7,Rome
2023-06-03,55.0,16.3,24.9,9.4,20.5,,2.0,,19.8,16.5,69.0,0.0,100.0,17.6,15.5,98.0,61.0,83.0,,,,4.6,Rome
2023-06-04,53.0,14.2,25.5,13.3,32.4,,2.3,,19.3,15.9,92.0,0.0,100.0,18.1,13.5,97.0,55.0,82.0,,,,5.1,Rome
2023-06-05,63.0,16.1,23.6,14.5,38.9,,23.0,,19.3,16.5,85.0,14.0,100.0,17.5,15.8,98.0,62.0,85.0,,,,6.5,Rome
2023-06-06,63.0,16.0,24.4,10.2,25.6,,11.3,,19.8,16.1,47.0,1.0,100.0,17.1,15.0,98.0,58.0,81.0,,,,5.4,Rome
2023-06-07,2.0,14.8,26.1,14.6,33.1,,0.0,,20.3,15.9,20.0,0.0,62.0,17.8,13.8,96.0,49.0,78.0,,,,6.0,Rome
2023-06-08,3.0,15.7,26.1,13.7,29.2,,0.0,,20.8,16.3,44.0,0.0,100.0,17.6,15.0,99.0,52.0,78.0,,,,6.7,Rome
2023-06-09,3.0,16.0,26.1,13.5,27.7,,0.0,,21.3,16.4,79.0,0.0,100.0,17.6,15.1,94.0,52.0,76.0,,,,6.0,Rome
2023-06-10,63.0,17.7,26.4,16.1,33.5,,8.8,,21.5,16.9,56.0,4.0,100.0,18.8,15.2,95.0,51.0,77.0,,,,6.8,Rome
2023-06-11,61.0,17.2,27.5,15.8,33.5,,2.6,,21.9,17.6,44.0,2.0,100.0,18.9,16.7,98.0,55.0,78.0,,,,6.7,Rome
2023-06-12,61.0,17.1,27.8,12.7,30.6,,1.8,,21.9,17.4,50.0,0.0,100.0,19.2,15.6,96.0,47.0,78.0,,,,5.3,Rome
2023-06-13,63.0,17.0,24.8,14.6,30.6,,30.0,,20.0,17.6,96.0,23.0,100.0,18.6,16.0,97.0,68.0,87.0,,,,5.5,Rome
2023-06-14,63.0,16.4,24.5,14.0,30.6,,18.0,,19.8,17.5,81.0,26.0,100.0,19.1,16.0,97.0,70.0,88.0,,,,5.9,Rome
