time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-01,3.0,10.5,16.1,31.7,49.7,,0.0,,13.4,9.9,12.0,0.0,100.0,10.4,9.2,91.0,68.0,80.0,,,,18.0,San Francisco
2023-06-02,0.0,11.3,17.1,29.6,46.8,,0.0,,13.8,10.2,2.0,0.0,13.0,10.7,9.6,90.0,66.0,80.0,,,,17.4,San Francisco
2023-06-03,3.0,11.7,17.1,25.0,42.8,,0.0,,14.1,10.6,40.0,0.0,100.0,11.4,9.8,91.0,68.0,80.0,,,,19.2,San Francisco
2023-06-04,3.0,12.6,15.7,28.0,47.2,,0.0,,13.9,10.9,32.0,0.0,100.0,11.5,10.6,90.0,74.0,82.0,,,,21.2,San Francisco
2023-06-05,3.0,11.3,16.0,35.9,58.0,,0.0,,13.7,10.7,89.0,41.0,100.0,11.2,10.1,96.0,72.0,83.0,,,,28.0,San Francisco
2023-06-06,51.0,13.4,19.6,35.7,56.5,,0.3,,15.2,11.4,92.0,41.0,100.0,12.1,10.9,87.0,60.0,79.0,,,,24.0,San Francisco
2023-06-07,3.0,13.7,17.6,29.9,47.9,,0.0,,15.2,11.7,84.0,19.0,100.0,12.9,11.1,89.0,69.0,80.0,,,,20.5,San Francisco
2023-06-08,3.0,13.0,16.3,28.1,46.8,,0.0,,14.6,12.0,59.0,19.0,100.0,12.4,11.7,93.0,76.0,85.0,,,,18.1,San Francisco
2023-06-09,3.0,12.3,14.8,30.5,50.4,,0.0,,13.5,10.6,100.0,99.0,100.0,12.0,9.4,95.0,71.0,83.0,,,,22.3,San Francisco
2023-06-10,3.0,11.7,14.8,29.5,49.7,,0.0,,12.8,10.2,93.0,45.0,100.0,10.9,9.5,89.0,77.0,84.0,,,,23.6,San Francisco
2023-06-11,3.0,12.3,16.6,34.7,56.2,,0.0,,13.9,10.9,91.0,39.0,100.0,11.1,10.5,92.0,69.0,82.0,,,,24.2,San Francisco
2023-06-12,3.0,13.5,18.0,32.4,52.9,,0.0,,15.0,10.8,78.0,26.0,100.0,11.4,10.4,86.0,62.0,77.0,,,,24.8,San Francisco
2023-06-13,3.0,13.5,15.9,28.5,47.2,,0.0,,14.5,11.2,76.0,45.0,100.0,11.9,10.6,90.0,71.0,81.0,,,,21.3,San Francisco
2023-06-14,3.0,12.6,15.7,30.2,50.4,,0.0,,13.9,11.2,88.0,18.0,100.0,11.8,10.6,92.0,75.0,84.0,,,,22.9,San Francisco
2023-06-15,3.0,12.3,17.3,33.6,54.7,,0.0,,14.3,10.9,52.0,0.0,96.0,11.5,10.5,92.0,66.0,81.0,,,,23.2,San Francisco
2023-06-16,3.0,13.0,17.3,32.9,54.0,,0.0,,14.9,11.9,63.0,3.0,100.0,12.3,11.5,92.0,71.0,83.0,,,,24.5,San Francisco
2023-06-17,3.0,12.8,16.5,32.5,53.3,,0.0,,14.6,11.9,83.0,28.0,100.0,12.3,11.3,95.0,75.0,84.0,,,,23.7,San Francisco
2023-06-18,3.0,12.9,20.2,40.7,66.2,,0.0,,15.4,10.3,58.0,0.0,100.0,11.3,7.4,86.0,46.0,73.0,,,,32.1,San Francisco
2023-06-19,1.0,11.7,17.4,38.4,61.6,,0.0,,14.5,8.6,4.0,0.0,30.0,9.7,7.4,84.0,56.0,68.0,,,,30.8,San Francisco
2023-06-20,0.0,11.5,18.2,35.9,57.6,,0.0,,14.6,8.5,0.0,0.0,0.0,10.3,7.1,81.0,50.0,68.0,,,,16.4,San Francisco
2023-06-21,1.0,11.4,16.1,34.3,55.1,,0.0,,13.6,10.1,5.0,0.0,32.0,10.8,9.6,89.0,69.0,80.0,,,,19.5,San Francisco
2023-06-22,51.0,12.5,16.4,32.1,52.6,,0.2,,14.2,10.4,88.0,37.0,100.0,11.9,9.1,88.0,63.0,78.0,,,,24.0,San Francisco
2023-06-23,51.0,13.2,16.3,28.8,47.5,,0.8,,14.5,10.8,69.0,13.0,100.0,11.9,9.5,89.0,68.0,79.0,,,,21.2,San Francisco
2023-06-24,3.0,12.2,15.5,34.4,56.2,,0.0,,13.6,10.7,64.0,0.0,100.0,11.2,10.3,90.0,72.0,83.0,,,,26.5,San Francisco
2023-06-25,51.0,12.4,15.3,32.3,52.6,,0.1,,13.5,10.6,94.0,49.0,100.0,11.0,10.1,88.0,75.0,83.0,,,,27.0,San Francisco
2023-06-26,3.0,12.3,15.6,35.1,56.9,,0.0,,13.6,10.7,56.0,2.0,100.0,11.3,10.1,90.0,75.0,83.0,,,,26.2,San Francisco
2023-06-27,3.0,12.0,16.2,29.9,53.3,,0.0,,13.8,10.5,72.0,2.0,100.0,11.4,10.1,94.0,69.0,81.0,,,,21.9,San Francisco
2023-06-28,3.0,11.4,15.7,32.1,55.8,,0.0,,13.1,10.3,68.0,28.0,100.0,10.9,9.7,94.0,70.0,83.0,,,,23.3,San Francisco
2023-06-29,3.0,10.9,16.4,26.6,48.2,,0.0,,13.8,10.6,60.0,1.0,100.0,10.9,10.1,95.0,69.0,82.0,,,,18.8,San Francisco
2023-06-30,2.0,12.1,17.9,25.0,45.0,,0.0,,14.7,10.8,19.0,0.0,70.0,11.1,10.4,91.0,64.0,78.0,,,,16.1,San Francisco
2023-07-01,3.0,11.9,19.8,23.7,43.6,,0.0,,15.4,11.2,28.0,1.0,96.0,12.0,10.6,94.0,58.0,77.0,,,,13.1,San Francisco
2023-07-02,3.0,12.9,20.4,26.3,46.8,,0.0,,16.5,12.2,59.0,17.0,99.0,13.0,11.0,96.0,60.0,77.0,,,,15.7,San Francisco
2023-07-03,3.0,12.9,17.1,28.0,50.0,,0.0,,14.8,12.1,77.0,12.0,100.0,13.0,11.8,95.0,71.0,85.0,,,,21.1,San Francisco
2023-07-04,3.0,12.9,17.3,29.3,51.8,,0.0,,14.5,10.9,72.0,1.0,100.0,11.9,10.2,92.0,63.0,80.0,,,,21.2,San Francisco
2023-07-05,3.0,12.9,17.1,27.9,49.7,,0.0,,14.8,11.2,87.0,42.0,100.0,12.7,10.1,91.0,65.0,80.0,,,,21.0,San Francisco
2023-07-06,3.0,12.7,16.8,27.4,48.6,,0.0,,14.4,11.2,96.0,68.0,100.0,12.9,10.5,91.0,67.0,82.0,,,,20.8,San Francisco
2023-07-07,3.0,12.0,16.7,36.9,63.0,,0.0,,13.9,10.4,46.0,0.0,100.0,11.1,9.9,92.0,64.0,80.0,,,,28.4,San Francisco
2023-07-08,3.0,11.8,17.8,36.0,62.6,,0.0,,13.8,10.0,37.0,0.0,100.0,10.4,9.6,89.0,60.0,78.0,,,,29.0,San Francisco
2023-07-09,3.0,11.9,17.0,36.4,61.9,,0.0,,14.1,10.5,68.0,0.0,100.0,12.1,9.3,90.0,65.0,80.0,,,,28.3,San Francisco
2023-07-10,3.0,11.6,19.8,23.9,44.3,,0.0,,14.7,10.9,38.0,0.0,100.0,11.7,10.5,95.0,57.0,79.0,,,,18.1,San Francisco
2023-07-11,3.0,12.0,18.1,24.3,45.0,,0.0,,14.5,11.0,32.0,0.0,93.0,11.3,10.6,93.0,63.0,80.0,,,,16.8,San Francisco
2023-07-12,3.0,11.9,18.2,28.2,50.0,,0.0,,14.2,11.4,38.0,0.0,100.0,11.9,11.0,95.0,66.0,83.0,,,,20.4,San Francisco
2023-07-13,1.0,12.9,20.1,30.4,53.3,,0.0,,15.8,11.5,4.0,0.0,25.0,11.9,11.2,91.0,58.0,77.0,,,,18.6,San Francisco
2023-07-14,3.0,12.0,19.4,25.2,45.4,,0.0,,14.9,11.5,42.0,0.0,100.0,12.5,11.0,94.0,64.0,81.0,,,,17.8,San Francisco
2023-07-15,3.0,11.6,17.9,21.2,40.0,,0.0,,15.0,11.5,40.0,0.0,100.0,12.1,11.2,98.0,66.0,80.0,,,,16.5,San Francisco
2023-07-16,3.0,13.0,21.6,29.1,51.1,,0.0,,16.2,11.3,91.0,46.0,100.0,12.0,10.8,88.0,54.0,74.0,,,,15.8,San Francisco
2023-07-17,3.0,13.4,20.1,27.1,50.0,,0.0,,16.3,11.2,24.0,1.0,97.0,11.8,10.6,90.0,56.0,72.0,,,,20.3,San Francisco
2023-07-18,2.0,12.8,17.0,29.6,51.8,,0.0,,14.7,11.3,39.0,5.0,69.0,11.6,11.0,91.0,70.0,81.0,,,,23.9,San Francisco
2023-07-19,3.0,12.5,16.4,25.9,46.8,,0.0,,14.1,11.4,80.0,3.0,100.0,11.6,11.2,93.0,73.0,84.0,,,,19.5,San Francisco
2023-07-20,3.0,12.6,19.9,24.5,44.6,,0.0,,15.7,11.5,19.0,0.0,97.0,12.0,11.2,93.0,59.0,77.0,,,,16.4,San Francisco
2023-07-21,3.0,12.9,23.5,21.9,41.4,,0.0,,17.2,11.2,5.0,0.0,82.0,11.6,10.6,92.0,45.0,70.0,,,,14.6,San Francisco
2023-07-22,3.0,13.2,23.4,22.9,42.1,,0.0,,17.5,11.1,60.0,11.0,100.0,11.6,10.4,90.0,47.0,68.0,,,,14.5,San Francisco
2023-07-23,3.0,14.4,21.7,34.2,56.9,,0.0,,16.8,11.3,72.0,0.0,100.0,11.7,10.7,82.0,52.0,71.0,,,,20.4,San Francisco
2023-07-24,3.0,13.1,21.3,30.2,53.3,,0.0,,15.8,11.8,36.0,0.0,100.0,12.6,10.9,93.0,54.0,78.0,,,,21.2,San Francisco
2023-07-25,1.0,13.6,22.4,22.7,43.9,,0.0,,16.9,12.4,6.0,0.0,35.0,12.6,12.0,93.0,54.0,76.0,,,,15.0,San Francisco
2023-07-26,3.0,13.4,17.8,28.9,51.1,,0.0,,15.4,11.9,18.0,0.0,89.0,12.1,11.5,91.0,68.0,80.0,,,,21.0,San Francisco
2023-07-27,0.0,13.3,19.2,34.3,58.0,,0.0,,15.5,11.3,0.0,0.0,2.0,11.6,10.8,87.0,61.0,76.0,,,,24.0,San Francisco
2023-07-28,1.0,13.0,21.7,28.7,51.1,,0.0,,16.0,11.3,3.0,0.0,34.0,11.6,10.8,90.0,51.0,75.0,,,,20.2,San Francisco
2023-07-29,2.0,12.9,21.0,28.6,50.0,,0.0,,15.5,11.1,15.0,0.0,73.0,11.4,10.5,90.0,51.0,76.0,,,,19.9,San Francisco
2023-07-30,3.0,12.5,21.3,28.4,49.7,,0.0,,15.7,10.9,10.0,0.0,97.0,11.5,10.5,93.0,51.0,74.0,,,,18.5,San Francisco
2023-07-31,3.0,12.9,20.8,30.4,53.6,,0.0,,15.8,11.6,68.0,0.0,100.0,11.9,11.2,92.0,56.0,77.0,,,,19.6,San Francisco
2023-08-01,3.0,13.2,16.7,28.9,50.4,,0.0,,14.5,12.0,98.0,82.0,100.0,12.7,11.5,92.0,75.0,85.0,,,,22.8,San Francisco
2023-08-02,3.0,13.4,18.6,31.8,53.3,,0.0,,14.9,12.2,83.0,11.0,100.0,12.7,11.6,93.0,65.0,84.0,,,,22.3,San Francisco
2023-08-03,3.0,12.8,16.4,34.5,58.3,,0.0,,14.3,12.3,91.0,60.0,100.0,13.0,11.6,97.0,75.0,88.0,,,,26.3,San Francisco
2023-08-04,3.0,12.7,19.7,26.8,49.3,,0.0,,15.2,12.1,51.0,0.0,100.0,12.6,11.9,96.0,63.0,83.0,,,,17.8,San Francisco
2023-08-05,3.0,13.3,22.1,26.2,47.5,,0.0,,17.2,12.4,13.0,0.0,96.0,12.9,11.9,92.0,56.0,75.0,,,,13.5,San Francisco
2023-08-06,0.0,14.2,26.1,26.9,47.2,,0.0,,19.4,12.5,0.0,0.0,0.0,13.1,11.9,92.0,43.0,67.0,,,,12.0,San Francisco
2023-08-07,2.0,14.1,24.0,30.4,52.2,,0.0,,17.5,12.6,5.0,0.0,65.0,13.1,12.0,93.0,49.0,75.0,,,,17.3,San Francisco
2023-08-08,3.0,13.8,18.4,30.2,52.2,,0.0,,15.9,13.4,92.0,65.0,100.0,13.8,12.8,95.0,74.0,86.0,,,,24.6,San Francisco
2023-08-09,3.0,13.7,18.8,25.6,45.7,,0.0,,15.5,12.9,95.0,60.0,100.0,13.3,12.7,95.0,69.0,85.0,,,,19.3,San Francisco
2023-08-10,3.0,13.9,17.9,28.7,49.7,,0.0,,15.7,13.4,98.0,82.0,100.0,14.0,12.6,94.0,73.0,87.0,,,,19.9,San Francisco
2023-08-11,3.0,13.7,18.6,25.9,47.2,,0.0,,15.7,13.3,95.0,60.0,100.0,13.9,12.5,94.0,72.0,86.0,,,,19.4,San Francisco
2023-08-12,3.0,13.3,18.2,24.9,45.0,,0.0,,15.6,13.0,80.0,30.0,100.0,13.4,12.3,98.0,71.0,85.0,,,,16.5,San Francisco
2023-08-13,3.0,13.0,18.5,24.8,45.0,,0.0,,15.3,13.0,87.0,47.0,100.0,13.7,12.3,99.0,70.0,87.0,,,,16.6,San Francisco
2023-08-14,3.0,12.9,19.3,24.3,43.9,,0.0,,15.4,12.5,86.0,41.0,100.0,13.2,11.8,98.0,65.0,84.0,,,,15.9,San Francisco
2023-08-15,3.0,12.8,19.1,28.2,49.7,,0.0,,15.5,13.1,87.0,54.0,100.0,14.3,12.0,98.0,69.0,86.0,,,,17.5,San Francisco
2023-08-16,3.0,14.4,19.6,27.7,48.6,,0.0,,16.6,14.4,97.0,78.0,100.0,15.2,13.7,98.0,73.0,88.0,,,,18.0,San Francisco
2023-08-17,3.0,15.3,19.5,29.1,51.8,,0.0,,16.9,14.6,92.0,35.0,100.0,15.2,14.1,98.0,74.0,87.0,,,,19.5,San Francisco
2023-08-18,3.0,15.6,20.6,26.8,47.9,,0.0,,17.6,14.5,91.0,56.0,100.0,15.2,14.0,93.0,67.0,83.0,,,,19.6,San Francisco
2023-08-19,3.0,14.9,19.2,26.6,48.6,,0.0,,16.5,13.9,81.0,16.0,100.0,14.8,13.2,95.0,70.0,85.0,,,,17.4,San Francisco
2023-08-20,3.0,14.5,24.9,24.3,43.2,,0.0,,18.3,13.8,74.0,1.0,100.0,14.4,13.3,95.0,51.0,77.0,,,,15.0,San Francisco
2023-08-21,51.0,15.8,24.5,33.4,58.0,,0.2,,19.7,15.1,52.0,0.0,100.0,16.7,13.3,87.0,59.0,75.0,,,,20.9,San Francisco
2023-08-22,3.0,16.4,22.6,23.9,43.6,,0.0,,19.3,15.7,37.0,1.0,80.0,16.5,14.9,94.0,65.0,80.0,,,,12.4,San Francisco
2023-08-23,1.0,15.9,28.5,27.0,47.5,,0.0,,21.7,14.6,7.0,0.0,24.0,15.0,14.0,91.0,44.0,67.0,,,,11.6,San Francisco
2023-08-24,3.0,16.5,23.4,29.9,53.3,,0.0,,18.9,14.7,16.0,0.0,83.0,15.2,14.1,90.0,58.0,77.0,,,,19.5,San Francisco
2023-08-25,3.0,15.0,19.1,28.1,49.3,,0.0,,17.0,13.8,57.0,0.0,100.0,15.0,13.0,91.0,70.0,82.0,,,,18.7,San Francisco
2023-08-26,3.0,14.8,19.0,30.5,52.6,,0.0,,16.6,12.9,27.0,0.0,94.0,13.7,12.4,92.0,66.0,79.0,,,,19.6,San Francisco
2023-08-27,0.0,13.7,23.2,28.1,49.7,,0.0,,18.0,12.7,0.0,0.0,2.0,13.8,12.0,91.0,52.0,73.0,,,,14.4,San Francisco
2023-08-28,0.0,14.0,24.6,29.2,51.5,,0.0,,18.5,12.8,0.0,0.0,0.0,14.0,11.8,90.0,46.0,71.0,,,,13.5,San Francisco
2023-08-29,0.0,14.4,27.7,21.7,40.7,,0.0,,20.1,12.0,0.0,0.0,0.0,13.1,10.6,84.0,38.0,63.0,,,,11.4,San Francisco
2023-08-30,1.0,14.0,28.8,26.7,47.5,,0.0,,20.1,12.2,3.0,0.0,25.0,14.2,9.7,95.0,30.0,65.0,,,,11.9,San Francisco
2023-08-31,3.0,14.6,19.6,27.8,47.2,,0.0,,16.8,13.5,44.0,0.0,100.0,14.1,13.1,93.0,67.0,81.0,,,,20.3,San Francisco
2023-09-01,51.0,14.6,19.1,27.3,47.2,,0.1,,16.6,14.0,81.0,6.0,100.0,14.7,13.4,95.0,70.0,85.0,,,,22.9,San Francisco
2023-09-02,51.0,15.7,22.1,19.3,36.7,,0.4,,18.3,13.7,55.0,12.0,100.0,15.0,12.0,91.0,53.0,76.0,,,,12.6,San Francisco
2023-09-03,3.0,14.6,19.2,23.2,42.5,,0.0,,16.7,14.5,85.0,49.0,100.0,15.2,14.0,97.0,72.0,87.0,,,,15.1,San Francisco
2023-09-04,3.0,14.2,18.4,25.6,45.4,,0.0,,15.9,13.5,61.0,1.0,100.0,14.4,12.8,97.0,73.0,86.0,,,,17.4,San Francisco
2023-09-05,1.0,14.1,20.0,21.2,40.0,,0.0,,16.7,12.9,8.0,0.0,28.0,13.5,12.3,91.0,62.0,79.0,,,,14.9,San Francisco
2023-09-06,3.0,14.4,20.0,23.6,42.8,,0.0,,16.6,12.8,42.0,0.0,100.0,13.7,12.2,91.0,61.0,79.0,,,,18.0,San Francisco
2023-09-07,3.0,14.5,18.3,23.5,42.1,,0.0,,15.8,12.5,27.0,2.0,91.0,13.2,11.5,92.0,65.0,81.0,,,,15.8,San Francisco
2023-09-08,2.0,13.5,21.2,20.4,38.9,,0.0,,16.2,12.5,16.0,0.0,65.0,13.0,11.8,93.0,58.0,80.0,,,,12.5,San Francisco
2023-09-09,2.0,14.1,20.0,24.7,43.9,,0.0,,16.5,12.3,7.0,0.0,61.0,12.6,11.7,90.0,61.0,77.0,,,,14.3,San Francisco
2023-09-10,1.0,14.1,20.2,21.1,39.6,,0.0,,16.6,12.0,7.0,0.0,45.0,12.7,10.9,89.0,59.0,75.0,,,,12.1,San Francisco
2023-09-11,0.0,13.0,24.5,29.0,50.4,,0.0,,17.5,12.6,1.0,0.0,7.0,14.2,11.6,91.0,50.0,75.0,,,,13.8,San Francisco
2023-09-12,2.0,14.4,19.6,20.9,38.9,,0.0,,16.4,12.8,12.0,0.0,58.0,13.5,12.3,91.0,63.0,80.0,,,,16.9,San Francisco
2023-09-13,3.0,14.8,20.2,24.5,43.6,,0.0,,16.6,13.5,35.0,0.0,100.0,13.7,13.1,92.0,66.0,82.0,,,,15.4,San Francisco
2023-09-14,3.0,13.6,19.6,25.6,45.0,,0.0,,16.2,13.6,88.0,55.0,100.0,14.3,13.0,97.0,70.0,85.0,,,,18.7,San Francisco
2023-09-15,3.0,15.4,19.1,23.1,41.0,,0.0,,16.7,13.9,83.0,23.0,100.0,14.4,13.4,93.0,70.0,84.0,,,,17.7,San Francisco
2023-09-16,3.0,15.9,19.8,23.4,42.8,,0.0,,17.4,14.2,89.0,28.0,100.0,14.5,13.6,91.0,68.0,82.0,,,,17.4,San Francisco
2023-09-17,3.0,14.9,19.6,24.4,43.6,,0.0,,17.0,14.0,85.0,40.0,100.0,15.1,12.8,97.0,67.0,83.0,,,,15.9,San Francisco
2023-09-18,51.0,13.4,19.6,24.6,43.9,,0.2,,17.0,14.0,66.0,0.0,100.0,15.1,12.7,95.0,67.0,83.0,,,,16.4,San Francisco
2023-09-19,3.0,13.1,18.7,24.6,43.9,,0.0,,15.4,12.7,68.0,1.0,100.0,14.1,12.0,99.0,67.0,85.0,,,,17.3,San Francisco
2023-09-20,3.0,13.4,19.5,25.9,46.4,,0.0,,15.9,12.1,20.0,0.0,90.0,13.1,11.5,92.0,61.0,79.0,,,,19.0,San Francisco
2023-09-21,1.0,12.9,20.6,26.6,47.2,,0.0,,16.0,11.8,5.0,0.0,28.0,12.8,10.2,93.0,52.0,78.0,,,,15.1,San Francisco
2023-09-22,3.0,13.9,19.0,18.9,37.1,,0.0,,16.1,11.9,17.0,0.0,93.0,12.9,10.5,88.0,59.0,77.0,,,,12.5,San Francisco
2023-09-23,2.0,13.7,17.7,20.7,38.9,,0.0,,15.3,11.5,22.0,0.0,63.0,12.7,10.0,91.0,62.0,79.0,,,,13.9,San Francisco
2023-09-24,3.0,13.9,19.0,21.8,40.3,,0.0,,16.2,12.3,42.0,0.0,100.0,13.6,11.6,90.0,62.0,79.0,,,,12.9,San Francisco
2023-09-25,3.0,14.2,23.2,25.1,45.4,,0.0,,18.3,12.1,77.0,3.0,100.0,13.8,10.0,92.0,43.0,70.0,,,,14.8,San Francisco
2023-09-26,51.0,15.5,21.2,26.6,46.1,,0.7,,18.3,14.6,56.0,1.0,100.0,15.9,12.4,91.0,67.0,79.0,,,,15.6,San Francisco
2023-09-27,1.0,13.7,23.7,30.7,53.3,,0.0,,17.5,12.2,2.0,0.0,20.0,15.2,10.2,87.0,46.0,73.0,,,,14.4,San Francisco
2023-09-28,0.0,12.8,23.0,23.1,42.1,,0.0,,17.2,12.3,3.0,0.0,17.0,13.3,11.0,94.0,47.0,75.0,,,,10.5,San Francisco
2023-09-29,51.0,14.4,20.1,32.9,56.5,,0.2,,16.7,13.1,44.0,0.0,100.0,15.4,10.6,88.0,68.0,80.0,,,,19.5,San Francisco
2023-09-30,51.0,14.2,17.8,23.1,37.1,,0.1,,16.0,12.2,62.0,2.0,100.0,14.2,10.7,88.0,64.0,79.0,,,,15.3,San Francisco
2023-10-01,1.0,12.6,19.4,22.0,40.3,,0.0,,15.8,11.5,5.0,0.0,20.0,12.9,9.7,96.0,53.0,77.0,,,,10.9,San Francisco
2023-10-02,3.0,12.7,20.0,23.8,43.2,,0.0,,15.7,11.3,31.0,0.0,93.0,12.2,10.3,93.0,56.0,76.0,,,,11.9,San Francisco
2023-10-03,1.0,12.3,20.5,16.9,32.4,,0.0,,15.8,11.6,14.0,0.0,36.0,13.7,9.9,95.0,51.0,78.0,,,,9.6,San Francisco
2023-10-04,1.0,14.0,31.4,15.9,31.3,,0.0,,22.1,11.3,3.0,0.0,34.0,13.9,8.1,95.0,24.0,58.0,,,,7.1,San Francisco
2023-10-05,0.0,16.5,34.0,11.8,25.9,,0.0,,23.9,10.6,0.0,0.0,0.0,13.1,7.3,72.0,19.0,48.0,,,,7.6,San Francisco
2023-10-06,0.0,16.9,34.6,19.4,34.6,,0.0,,23.8,11.5,0.0,0.0,0.0,13.8,7.4,80.0,19.0,50.0,,,,9.2,San Francisco
2023-10-07,0.0,16.6,28.8,21.5,37.4,,0.0,,21.3,12.9,0.0,0.0,5.0,14.5,11.0,82.0,33.0,61.0,,,,9.3,San Francisco
2023-10-08,3.0,14.4,19.1,27.8,48.2,,0.0,,16.4,12.8,10.0,0.0,100.0,13.6,12.1,90.0,66.0,80.0,,,,16.4,San Francisco
2023-10-09,53.0,14.2,20.1,18.6,32.4,,3.7,,17.0,13.1,99.0,87.0,100.0,15.4,11.4,89.0,60.0,78.0,,,,15.4,San Francisco
2023-10-10,51.0,15.1,18.6,27.2,43.6,,0.3,,16.8,13.7,56.0,0.0,100.0,15.6,11.9,95.0,66.0,82.0,,,,18.3,San Francisco
2023-10-11,2.0,14.0,20.9,27.2,47.2,,0.0,,16.3,10.2,3.0,0.0,50.0,12.8,5.5,85.0,37.0,69.0,,,,16.4,San Francisco
2023-10-12,3.0,11.9,21.9,26.1,45.4,,0.0,,16.2,9.4,57.0,0.0,100.0,11.1,6.5,89.0,37.0,67.0,,,,8.0,San Francisco
2023-10-13,3.0,12.1,18.9,18.9,33.5,,0.0,,15.2,11.1,87.0,9.0,100.0,12.9,8.3,90.0,51.0,78.0,,,,10.9,San Francisco
2023-10-14,51.0,14.3,20.8,22.0,41.0,,0.6,,16.7,12.9,81.0,27.0,100.0,14.6,10.7,91.0,63.0,79.0,,,,8.7,San Francisco
2023-10-15,3.0,14.6,20.1,22.7,41.8,,0.0,,16.4,14.4,85.0,37.0,100.0,14.7,13.5,97.0,69.0,88.0,,,,10.4,San Francisco
2023-10-16,3.0,14.8,19.5,20.4,36.4,,0.0,,17.0,13.7,75.0,4.0,100.0,15.7,11.1,96.0,59.0,82.0,,,,12.4,San Francisco
2023-10-17,3.0,14.7,20.0,23.4,41.8,,0.0,,17.2,14.7,49.0,1.0,100.0,15.9,12.9,99.0,68.0,86.0,,,,9.6,San Francisco
2023-10-18,3.0,13.8,30.2,14.2,28.1,,0.0,,18.9,13.2,32.0,0.0,100.0,14.7,10.0,99.0,29.0,75.0,,,,7.8,San Francisco
