time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-01,51.0,14.6,20.3,11.4,20.9,,1.1,,16.6,14.8,87.0,21.0,100.0,15.3,14.3,100.0,68.0,90.0,,,,7.9,Sao Paulo
2023-06-02,3.0,13.7,20.3,13.0,25.2,,0.0,,15.8,13.9,66.0,0.0,100.0,15.3,12.8,99.0,64.0,89.0,,,,9.7,Sao Paulo
2023-06-03,3.0,13.2,22.9,13.8,23.0,,0.0,,16.7,13.5,38.0,0.0,100.0,14.9,12.2,99.0,54.0,83.0,,,,9.5,Sao Paulo
2023-06-04,3.0,8.3,23.0,10.7,21.6,,0.0,,15.9,11.9,20.0,0.0,100.0,15.5,8.3,100.0,51.0,79.0,,,,5.6,Sao Paulo
2023-06-05,3.0,11.9,21.9,14.7,23.0,,0.0,,15.9,11.9,9.0,0.0,93.0,15.5,9.5,98.0,45.0,79.0,,,,5.6,Sao Paulo
2023-06-06,3.0,11.6,20.7,11.8,23.4,,0.0,,15.0,12.3,55.0,0.0,100.0,14.0,8.4,100.0,45.0,86.0,,,,8.1,Sao Paulo
2023-06-07,3.0,11.2,22.7,11.2,22.0,,0.0,,15.8,11.1,39.0,0.0,100.0,13.7,8.4,100.0,40.0,78.0,,,,6.3,Sao Paulo
2023-06-08,3.0,9.8,22.9,7.1,13.7,,0.0,,15.7,11.0,18.0,0.0,100.0,14.7,9.0,98.0,45.0,76.0,,,,3.9,Sao Paulo
2023-06-09,0.0,9.8,24.0,17.7,30.6,,0.0,,16.6,10.5,0.0,0.0,0.0,12.5,8.6,93.0,43.0,70.0,,,,10.2,Sao Paulo
2023-06-10,0.0,12.1,24.3,20.4,35.3,,0.0,,17.6,10.9,0.0,0.0,0.0,12.7,8.8,81.0,43.0,67.0,,,,12.4,Sao Paulo
2023-06-11,0.0,14.7,25.8,26.6,43.9,,0.0,,19.2,11.3,0.0,0.0,3.0,13.7,9.9,77.0,39.0,62.0,,,,14.9,Sao Paulo
2023-06-12,3.0,13.3,26.4,21.2,33.8,,0.0,,18.7,13.6,46.0,0.0,100.0,17.6,10.3,98.0,38.0,76.0,,,,8.3,Sao Paulo
2023-06-13,53.0,15.6,17.2,20.5,33.1,,1.9,,16.3,14.8,100.0,100.0,100.0,15.9,14.3,95.0,86.0,91.0,,,,17.2,Sao Paulo
2023-06-14,61.0,15.3,18.0,13.7,23.8,,15.0,,16.1,15.1,100.0,100.0,100.0,15.6,14.8,98.0,84.0,94.0,,,,9.2,Sao Paulo
2023-06-15,61.0,14.2,17.4,17.3,28.8,,11.0,,16.0,15.1,100.0,97.0,100.0,16.1,14.2,100.0,90.0,95.0,,,,10.1,Sao Paulo
2023-06-16,3.0,10.4,16.2,25.0,41.4,,0.0,,13.7,11.8,63.0,0.0,100.0,14.6,8.1,96.0,73.0,88.0,,,,17.5,Sao Paulo
2023-06-17,51.0,7.8,17.4,14.9,22.7,,0.1,,12.1,9.2,82.0,0.0,100.0,11.8,6.9,98.0,55.0,84.0,,,,8.8,Sao Paulo
2023-06-18,3.0,9.8,17.8,14.0,22.3,,0.0,,12.7,10.7,69.0,2.0,100.0,12.3,9.6,100.0,63.0,89.0,,,,6.0,Sao Paulo
2023-06-19,3.0,10.4,18.4,16.0,28.4,,0.0,,13.6,11.5,66.0,1.0,100.0,12.6,10.4,100.0,62.0,88.0,,,,11.9,Sao Paulo
2023-06-20,3.0,11.5,21.0,15.9,26.3,,0.0,,15.0,12.0,41.0,0.0,100.0,14.0,10.6,99.0,54.0,84.0,,,,10.2,Sao Paulo
2023-06-21,3.0,8.9,22.5,13.0,19.1,,0.0,,15.3,10.3,12.0,0.0,100.0,14.7,7.9,96.0,43.0,75.0,,,,7.8,Sao Paulo
2023-06-22,3.0,10.7,23.3,15.6,28.1,,0.0,,16.3,10.8,61.0,0.0,100.0,13.9,8.7,89.0,46.0,72.0,,,,8.5,Sao Paulo
2023-06-23,3.0,10.7,23.8,15.8,27.4,,0.0,,16.9,11.2,69.0,0.0,100.0,13.3,8.7,88.0,46.0,71.0,,,,8.4,Sao Paulo
2023-06-24,1.0,12.9,24.1,13.2,24.8,,0.0,,17.5,12.0,2.0,0.0,26.0,14.6,10.0,87.0,47.0,72.0,,,,9.9,Sao Paulo
2023-06-25,0.0,11.9,24.7,11.2,22.7,,0.0,,17.7,12.0,0.0,0.0,0.0,14.4,10.1,90.0,45.0,71.0,,,,7.2,Sao Paulo
