time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-01,3.0,13.7,24.1,38.0,58.0,,0.0,,19.2,14.7,95.0,43.0,100.0,18.4,11.2,98.0,48.0,78.0,,,,18.3,Tokyo
2023-06-02,65.0,19.1,23.3,76.0,112.3,,99.5,,21.3,19.8,100.0,100.0,100.0,21.6,17.7,95.0,86.0,91.0,,,,33.7,Tokyo
2023-06-03,65.0,16.2,23.2,34.5,64.4,,80.9,,19.7,15.8,66.0,1.0,100.0,21.4,8.2,95.0,55.0,79.0,,,,16.4,Tokyo
2023-06-04,3.0,15.4,25.0,28.3,43.9,,0.0,,20.1,14.9,92.0,48.0,100.0,18.0,9.4,93.0,54.0,73.0,,,,17.7,Tokyo
2023-06-05,3.0,16.2,27.3,18.0,29.2,,0.0,,21.5,15.8,88.0,27.0,100.0,18.1,14.1,96.0,44.0,73.0,,,,11.0,Tokyo
2023-06-06,55.0,15.7,23.8,32.7,47.9,,3.9,,19.8,16.1,95.0,10.0,100.0,17.5,14.2,97.0,63.0,80.0,,,,16.5,Tokyo
2023-06-07,55.0,16.5,27.2,17.9,26.3,,4.0,,21.4,16.2,74.0,0.0,100.0,18.2,14.8,92.0,48.0,74.0,,,,9.6,Tokyo
2023-06-08,61.0,18.2,26.9,20.5,31.0,,3.7,,22.1,17.9,99.0,85.0,100.0,19.2,15.0,95.0,49.0,79.0,,,,12.8,Tokyo
2023-06-09,65.0,19.5,24.7,34.7,61.2,,31.1,,21.5,19.3,100.0,100.0,100.0,21.2,17.8,95.0,74.0,87.0,,,,15.4,Tokyo
2023-06-10,51.0,19.5,25.9,23.5,34.9,,0.2,,21.6,19.0,100.0,100.0,100.0,20.7,17.6,99.0,66.0,86.0,,,,13.5,Tokyo
2023-06-11,63.0,19.1,24.2,15.5,23.4,,10.2,,21.1,18.8,100.0,100.0,100.0,20.0,17.9,97.0,70.0,87.0,,,,8.6,Tokyo
2023-06-12,61.0,19.7,23.6,17.6,27.0,,14.8,,21.4,20.1,100.0,100.0,100.0,21.3,19.0,98.0,84.0,92.0,,,,10.9,Tokyo
2023-06-13,61.0,19.1,27.2,21.4,33.8,,3.2,,22.9,20.2,86.0,35.0,100.0,21.7,18.5,97.0,70.0,85.0,,,,13.9,Tokyo
2023-06-14,51.0,20.7,26.6,22.0,34.6,,1.4,,22.5,20.1,96.0,30.0,100.0,21.8,17.6,98.0,70.0,87.0,,,,10.5,Tokyo
2023-06-15,55.0,20.0,24.7,13.4,22.3,,7.9,,21.9,19.4,100.0,96.0,100.0,20.0,18.6,96.0,73.0,87.0,,,,10.1,Tokyo
2023-06-16,63.0,19.0,28.8,36.4,55.8,,5.2,,23.3,17.9,33.0,0.0,100.0,20.0,15.0,96.0,45.0,74.0,,,,14.7,Tokyo
2023-06-17,0.0,18.5,28.7,25.0,38.2,,0.0,,23.3,16.9,1.0,0.0,8.0,18.9,14.6,83.0,52.0,68.0,,,,16.2,Tokyo
2023-06-18,3.0,18.5,28.7,23.1,37.1,,0.0,,23.5,19.5,87.0,0.0,100.0,21.0,17.3,95.0,59.0,79.0,,,,11.5,Tokyo
2023-06-19,51.0,19.4,26.6,25.8,41.0,,0.6,,22.5,17.6,57.0,9.0,100.0,20.0,15.4,98.0,57.0,75.0,,,,15.8,Tokyo
2023-06-20,55.0,18.6,25.6,19.0,29.2,,2.7,,21.4,15.6,83.0,9.0,100.0,17.2,14.6,86.0,51.0,71.0,,,,11.3,Tokyo
2023-06-21,3.0,17.8,25.3,20.7,32.8,,0.0,,21.5,16.0,87.0,0.0,100.0,18.2,13.0,96.0,47.0,73.0,,,,11.6,Tokyo
2023-06-22,63.0,14.4,23.6,22.7,33.8,,10.5,,20.4,16.3,100.0,98.0,100.0,18.3,11.9,90.0,57.0,78.0,,,,12.2,Tokyo
2023-06-23,55.0,14.5,24.7,20.2,30.6,,1.6,,20.5,16.6,100.0,100.0,100.0,20.2,12.1,91.0,69.0,79.0,,,,8.4,Tokyo
2023-06-24,51.0,19.0,27.6,17.0,28.1,,0.2,,23.4,19.6,97.0,55.0,100.0,21.4,18.5,98.0,59.0,81.0,,,,9.2,Tokyo
2023-06-25,51.0,19.4,29.2,19.8,33.1,,0.1,,24.2,19.8,29.0,0.0,100.0,21.6,18.8,98.0,54.0,79.0,,,,10.7,Tokyo
2023-06-26,3.0,21.1,29.3,23.5,37.8,,0.0,,24.5,20.4,99.0,74.0,100.0,21.9,18.2,99.0,51.0,80.0,,,,13.0,Tokyo
