time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-01,3.0,12.8,25.7,10.7,17.6,,0.0,,19.4,10.5,27.0,0.0,100.0,16.1,8.4,75.0,39.0,58.0,,,,6.4,Vienna
2023-06-02,51.0,14.1,25.2,20.9,40.0,,0.2,,19.9,10.9,43.0,0.0,100.0,12.2,6.7,84.0,42.0,58.0,,,,13.4,Vienna
2023-06-03,3.0,12.9,20.7,15.0,29.2,,0.0,,16.7,6.3,30.0,0.0,100.0,11.4,4.6,67.0,38.0,52.0,,,,10.9,Vienna
2023-06-04,61.0,11.9,21.2,16.0,31.7,,3.9,,16.5,10.8,77.0,2.0,100.0,14.0,6.6,90.0,52.0,69.0,,,,9.2,Vienna
2023-06-05,63.0,13.7,21.5,18.2,41.0,,15.3,,16.6,14.2,100.0,96.0,100.0,15.5,12.0,97.0,66.0,86.0,,,,9.5,Vienna
2023-06-06,63.0,15.1,21.1,8.2,19.8,,10.8,,17.5,15.3,99.0,86.0,100.0,16.6,14.4,97.0,71.0,87.0,,,,5.0,Vienna
2023-06-07,63.0,15.6,21.3,12.5,25.9,,9.1,,17.8,15.7,96.0,39.0,100.0,16.3,15.0,97.0,72.0,87.0,,,,7.4,Vienna
2023-06-08,63.0,14.7,22.0,12.8,24.1,,6.4,,17.8,15.4,97.0,62.0,100.0,16.8,14.2,97.0,68.0,86.0,,,,6.6,Vienna
2023-06-09,61.0,14.4,22.3,15.7,34.9,,5.3,,18.0,15.2,86.0,31.0,100.0,16.3,13.7,95.0,66.0,84.0,,,,9.6,Vienna
2023-06-10,65.0,15.8,23.0,16.9,28.1,,16.5,,18.7,15.9,86.0,14.0,100.0,17.2,14.9,95.0,64.0,85.0,,,,12.0,Vienna
2023-06-11,63.0,15.6,22.0,18.2,33.8,,9.1,,18.6,14.5,58.0,13.0,100.0,16.3,11.7,92.0,66.0,78.0,,,,14.3,Vienna
2023-06-12,3.0,13.9,21.5,20.5,36.7,,0.0,,17.4,10.3,57.0,4.0,100.0,12.4,5.9,83.0,45.0,65.0,,,,12.5,Vienna
2023-06-13,3.0,10.7,21.3,10.2,23.0,,0.0,,16.2,7.4,15.0,0.0,100.0,9.8,5.5,79.0,36.0,58.0,,,,8.1,Vienna
2023-06-14,51.0,11.1,21.2,11.2,25.9,,0.4,,16.1,9.9,29.0,0.0,99.0,11.7,8.4,85.0,46.0,68.0,,,,7.6,Vienna
2023-06-15,2.0,11.2,22.4,10.2,23.4,,0.0,,17.2,10.2,12.0,0.0,55.0,13.2,8.9,86.0,43.0,66.0,,,,8.0,Vienna
2023-06-16,1.0,13.8,23.5,16.8,33.1,,0.0,,18.7,10.9,11.0,0.0,28.0,11.7,9.3,79.0,41.0,62.0,,,,13.3,Vienna
2023-06-17,51.0,13.8,23.1,21.0,45.4,,0.2,,18.5,11.3,19.0,0.0,80.0,12.4,9.5,82.0,43.0,64.0,,,,15.3,Vienna
2023-06-18,1.0,12.5,26.5,9.8,22.7,,0.0,,20.4,12.2,8.0,0.0,29.0,14.5,10.1,89.0,36.0,62.0,,,,5.4,Vienna
2023-06-19,3.0,16.2,28.6,10.6,22.3,,0.0,,22.7,13.9,20.0,0.0,96.0,16.0,12.0,91.0,37.0,60.0,,,,7.1,Vienna
2023-06-20,3.0,17.6,30.2,19.1,36.4,,0.0,,24.7,16.3,78.0,6.0,100.0,19.0,12.9,86.0,40.0,62.0,,,,12.8,Vienna
2023-06-21,3.0,20.3,32.1,14.0,24.1,,0.0,,26.4,18.6,80.0,4.0,100.0,21.1,16.7,93.0,41.0,65.0,,,,6.2,Vienna
2023-06-22,3.0,19.2,31.6,19.3,35.6,,0.0,,26.1,19.2,71.0,2.0,100.0,21.7,18.1,94.0,45.0,68.0,,,,12.2,Vienna
2023-06-23,51.0,21.1,28.2,34.3,61.6,,0.4,,24.3,16.3,90.0,0.0,100.0,21.8,11.6,85.0,45.0,62.0,,,,25.8,Vienna
2023-06-24,51.0,17.3,22.3,30.3,53.6,,0.6,,19.1,12.9,73.0,3.0,100.0,14.4,11.5,79.0,52.0,68.0,,,,22.7,Vienna
2023-06-25,3.0,15.7,26.5,15.7,31.3,,0.0,,21.2,12.8,26.0,0.0,100.0,14.3,10.9,86.0,38.0,61.0,,,,12.8,Vienna
