time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-01,0.0,11.9,29.0,9.5,21.6,,0.0,,21.0,12.5,1.0,0.0,16.0,17.4,8.4,94.0,28.0,64.0,,,,6.6,Washington
2023-06-02,2.0,16.0,34.0,9.9,24.8,,0.0,,25.1,14.2,13.0,0.0,58.0,17.3,10.7,97.0,24.0,58.0,,,,6.8,Washington
2023-06-03,51.0,16.2,29.0,19.1,37.8,,0.4,,23.2,14.7,63.0,0.0,100.0,16.3,12.6,79.0,41.0,60.0,,,,11.4,Washington
2023-06-04,51.0,14.6,25.8,15.9,37.1,,0.9,,19.1,9.4,74.0,0.0,100.0,12.3,4.4,80.0,28.0,57.0,,,,9.3,Washington
2023-06-05,3.0,12.3,27.7,14.8,30.6,,0.0,,19.9,9.2,17.0,0.0,87.0,13.0,4.5,99.0,23.0,57.0,,,,9.0,Washington
2023-06-06,3.0,13.9,29.5,21.7,45.4,,0.0,,22.1,6.8,60.0,0.0,100.0,10.3,3.5,60.0,19.0,40.0,,,,14.2,Washington
2023-06-07,3.0,13.9,27.6,16.1,33.5,,0.0,,21.3,6.8,52.0,0.0,100.0,11.1,2.2,69.0,19.0,43.0,,,,8.8,Washington
2023-06-08,51.0,13.6,26.3,18.5,39.2,,0.4,,19.7,5.7,34.0,0.0,100.0,12.1,-0.5,78.0,18.0,45.0,,,,8.7,Washington
2023-06-09,63.0,12.1,23.9,18.4,45.0,,4.5,,17.9,9.6,32.0,0.0,100.0,12.7,8.0,85.0,38.0,60.0,,,,9.2,Washington
2023-06-10,3.0,12.9,30.7,16.6,33.8,,0.0,,21.7,9.1,29.0,0.0,98.0,10.9,4.8,86.0,21.0,50.0,,,,9.3,Washington
2023-06-11,3.0,16.9,31.6,21.7,42.8,,0.0,,24.9,11.9,85.0,4.0,100.0,14.1,8.5,76.0,24.0,47.0,,,,11.4,Washington
2023-06-12,61.0,18.0,26.5,19.5,44.6,,5.3,,22.3,17.2,80.0,0.0,100.0,20.1,13.4,86.0,56.0,73.0,,,,14.4,Washington
2023-06-13,3.0,13.6,27.5,15.4,34.6,,0.0,,20.8,11.4,32.0,0.0,100.0,16.9,7.2,93.0,29.0,59.0,,,,9.6,Washington
2023-06-14,3.0,16.5,27.0,25.6,52.2,,0.0,,21.2,9.8,55.0,0.0,100.0,11.9,7.2,65.0,29.0,50.0,,,,15.0,Washington
2023-06-15,1.0,14.3,29.1,11.3,23.8,,0.0,,21.4,9.8,5.0,0.0,45.0,11.7,6.4,78.0,24.0,52.0,,,,7.3,Washington
2023-06-16,63.0,16.6,27.3,15.9,35.6,,8.4,,21.1,15.4,60.0,1.0,100.0,18.6,12.2,91.0,45.0,72.0,,,,7.5,Washington
2023-06-17,51.0,15.2,29.7,26.2,55.1,,0.1,,21.8,11.8,14.0,0.0,99.0,15.8,4.5,93.0,20.0,59.0,,,,15.7,Washington
