time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-10,61.0,12.9,24.2,7.8,31.7,,2.5,,19.1,12.9,30.0,0.0,91.0,14.8,10.8,96.0,46.0,70.0,,,,4.8,Ankara
2023-06-11,61.0,14.0,24.4,14.6,30.2,,2.4,,18.7,12.9,91.0,7.0,100.0,14.3,11.6,88.0,50.0,70.0,,,,4.8,Ankara
2023-06-12,51.0,13.0,23.4,11.9,26.6,,0.1,,18.5,12.2,78.0,8.0,100.0,14.0,9.1,100.0,41.0,70.0,,,,4.4,Ankara
2023-06-13,51.0,12.9,22.8,16.1,30.6,,0.3,,18.1,12.4,60.0,7.0,100.0,13.4,10.2,96.0,47.0,72.0,,,,6.1,Ankara
2023-06-14,51.0,12.9,24.2,12.3,23.0,,1.3,,18.6,11.8,74.0,6.0,100.0,13.6,9.3,94.0,39.0,68.0,,,,7.0,Ankara
2023-06-15,3.0,12.3,25.3,11.9,26.6,,0.0,,19.4,11.0,32.0,0.0,99.0,12.7,8.9,96.0,36.0,62.0,,,,4.8,Ankara
2023-06-16,3.0,13.6,28.0,10.5,23.4,,0.0,,21.3,10.2,59.0,0.0,100.0,11.5,8.5,81.0,30.0,53.0,,,,6.7,Ankara
2023-06-17,61.0,16.7,29.7,19.8,48.2,,2.1,,21.6,12.0,49.0,8.0,100.0,14.8,5.4,82.0,22.0,58.0,,,,10.9,Ankara
2023-06-18,51.0,13.8,24.7,14.5,28.4,,0.7,,19.3,12.0,45.0,1.0,100.0,13.8,9.1,96.0,37.0,66.0,,,,9.2,Ankara
2023-06-19,63.0,14.9,21.4,11.6,29.9,,14.8,,18.0,13.3,85.0,13.0,100.0,14.6,11.2,92.0,58.0,75.0,,,,6.8,Ankara
2023-06-20,53.0,12.9,23.1,20.7,40.3,,1.2,,17.7,11.9,48.0,0.0,100.0,13.5,10.9,96.0,46.0,71.0,,,,11.5,Ankara
2023-06-21,53.0,14.3,23.3,14.0,30.2,,0.6,,18.3,11.1,57.0,1.0,100.0,13.7,8.3,88.0,38.0,65.0,,,,7.2,Ankara
2023-06-22,1.0,11.8,24.2,16.3,33.8,,0.0,,18.3,9.2,6.0,0.0,33.0,11.9,6.6,92.0,32.0,60.0,,,,10.0,Ankara
2023-06-23,0.0,12.7,26.2,14.0,28.8,,0.0,,19.7,7.9,0.0,0.0,1.0,10.9,3.8,85.0,24.0,51.0,,,,9.0,Ankara
2023-06-24,0.0,12.5,28.3,8.8,22.3,,0.0,,20.7,7.5,0.0,0.0,0.0,9.7,4.9,77.0,24.0,46.0,,,,5.2,Ankara
2023-06-25,0.0,13.4,30.2,10.8,20.5,,0.0,,22.5,8.3,1.0,0.0,9.0,10.3,5.4,68.0,27.0,43.0,,,,5.8,Ankara
2023-06-26,51.0,15.4,30.2,19.4,40.0,,0.1,,23.1,11.6,15.0,0.0,99.0,14.4,7.1,91.0,24.0,53.0,,,,9.0,Ankara
2023-06-27,3.0,15.2,28.1,20.0,34.6,,0.0,,22.0,11.1,11.0,0.0,100.0,14.3,6.6,93.0,27.0,56.0,,,,7.6,Ankara
2023-06-28,51.0,15.7,29.7,15.4,29.5,,0.2,,22.9,12.9,18.0,0.0,95.0,13.7,10.0,87.0,31.0,57.0,,,,7.1,Ankara
2023-06-29,3.0,16.7,29.5,27.3,49.7,,0.0,,22.4,11.9,10.0,0.0,100.0,15.5,4.7,92.0,21.0,57.0,,,,10.8,Ankara
2023-06-30,51.0,15.1,26.5,15.1,33.1,,0.1,,20.6,8.7,23.0,0.0,100.0,13.5,1.7,90.0,20.0,53.0,,,,9.0,Ankara
2023-07-01,0.0,12.5,28.3,7.2,17.3,,0.0,,21.1,8.4,0.0,0.0,4.0,9.6,5.4,80.0,25.0,48.0,,,,4.1,Ankara
2023-07-02,0.0,14.4,31.8,16.1,33.1,,0.0,,24.1,6.1,1.0,0.0,9.0,10.2,3.2,60.0,17.0,35.0,,,,8.7,Ankara
2023-07-03,3.0,16.9,33.0,12.6,26.6,,0.0,,25.6,9.0,29.0,0.0,98.0,12.1,4.0,73.0,17.0,39.0,,,,6.4,Ankara
2023-07-04,2.0,17.5,32.4,17.1,31.7,,0.0,,25.6,11.3,9.0,0.0,50.0,13.6,7.9,75.0,22.0,45.0,,,,6.9,Ankara
2023-07-05,0.0,18.5,33.1,17.0,32.0,,0.0,,26.7,8.6,1.0,0.0,18.0,13.7,4.2,67.0,17.0,37.0,,,,9.6,Ankara
2023-07-06,3.0,18.3,34.5,25.9,44.6,,0.0,,26.8,10.1,9.0,0.0,97.0,13.7,4.5,74.0,15.0,40.0,,,,9.9,Ankara
2023-07-07,2.0,19.2,32.0,23.0,42.8,,0.0,,25.6,12.0,18.0,0.0,70.0,16.7,7.2,85.0,21.0,48.0,,,,10.8,Ankara
2023-07-08,3.0,17.3,29.6,26.4,46.1,,0.0,,22.6,11.8,21.0,0.0,99.0,14.8,7.2,85.0,25.0,54.0,,,,11.5,Ankara
2023-07-09,51.0,16.0,23.8,27.4,53.6,,1.1,,19.8,12.3,55.0,6.0,100.0,14.2,11.0,89.0,46.0,64.0,,,,18.0,Ankara
2023-07-10,53.0,16.1,26.4,24.6,46.4,,0.7,,20.5,9.7,42.0,0.0,100.0,14.6,4.0,89.0,24.0,55.0,,,,16.0,Ankara
2023-07-11,3.0,11.6,26.6,17.7,33.5,,0.0,,19.5,8.6,29.0,0.0,100.0,9.9,6.6,87.0,29.0,53.0,,,,7.9,Ankara
2023-07-12,3.0,13.2,30.5,15.5,32.4,,0.0,,22.3,9.7,8.0,0.0,90.0,12.0,7.0,84.0,23.0,49.0,,,,7.9,Ankara
