time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-10,3.0,30.5,41.5,21.7,38.2,,0.0,,35.9,9.2,49.0,0.0,100.0,11.4,4.9,29.0,13.0,20.0,,,,15.1,Baghdad
2023-06-11,1.0,29.0,42.0,16.5,32.8,,0.0,,36.1,9.9,6.0,0.0,28.0,11.3,8.3,33.0,14.0,21.0,,,,14.1,Baghdad
2023-06-12,1.0,29.3,43.7,19.9,37.8,,0.0,,37.0,9.2,7.0,0.0,46.0,13.4,6.1,36.0,10.0,20.0,,,,11.7,Baghdad
2023-06-13,1.0,29.4,43.3,22.5,42.5,,0.0,,36.2,6.6,2.0,0.0,20.0,9.1,2.6,28.0,10.0,17.0,,,,12.3,Baghdad
2023-06-14,0.0,26.2,41.2,23.4,44.3,,0.0,,34.5,8.3,0.0,0.0,1.0,11.7,5.9,40.0,12.0,22.0,,,,12.4,Baghdad
2023-06-15,0.0,28.3,42.6,23.7,40.7,,0.0,,35.6,6.9,0.0,0.0,0.0,9.8,4.1,31.0,11.0,18.0,,,,12.9,Baghdad
2023-06-16,0.0,28.5,38.6,28.1,51.8,,0.0,,34.1,10.9,0.0,0.0,0.0,15.2,8.0,40.0,16.0,26.0,,,,21.5,Baghdad
2023-06-17,0.0,29.4,41.1,25.5,48.6,,0.0,,35.3,8.8,0.0,0.0,0.0,13.2,4.5,32.0,11.0,21.0,,,,20.4,Baghdad
2023-06-18,0.0,27.5,40.1,24.4,46.8,,0.0,,34.7,9.2,0.0,0.0,0.0,13.7,3.6,43.0,13.0,23.0,,,,16.2,Baghdad
2023-06-19,0.0,27.1,40.0,23.9,45.4,,0.0,,33.8,6.8,0.0,0.0,0.0,10.9,3.4,34.0,11.0,20.0,,,,18.2,Baghdad
2023-06-20,0.0,26.7,40.0,23.0,41.0,,0.0,,33.7,7.5,0.0,0.0,0.0,9.8,4.3,34.0,12.0,21.0,,,,15.7,Baghdad
2023-06-21,0.0,26.5,39.9,26.0,47.5,,0.0,,33.8,10.0,0.0,0.0,0.0,14.2,6.7,46.0,14.0,25.0,,,,17.5,Baghdad
2023-06-22,0.0,27.8,41.9,25.7,47.5,,0.0,,35.5,6.6,0.0,0.0,0.0,10.5,2.0,32.0,9.0,19.0,,,,15.9,Baghdad
