time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-10,65.0,26.2,31.6,15.5,32.8,,28.6,,27.8,24.9,99.0,94.0,100.0,25.6,24.3,91.0,68.0,85.0,,,,9.6,Bangkok
2023-06-11,63.0,26.6,30.8,23.7,38.2,,8.6,,28.2,24.7,99.0,89.0,100.0,25.3,23.9,90.0,70.0,82.0,,,,12.3,Bangkok
2023-06-12,63.0,26.6,31.4,17.8,37.1,,7.7,,28.5,24.6,98.0,88.0,100.0,25.4,23.8,88.0,67.0,80.0,,,,12.3,Bangkok
2023-06-13,61.0,26.6,30.9,21.3,36.7,,5.3,,28.4,25.0,98.0,85.0,100.0,26.1,24.2,89.0,73.0,82.0,,,,14.4,Bangkok
2023-06-14,63.0,26.7,30.8,17.8,31.7,,5.7,,28.3,24.7,99.0,81.0,100.0,25.7,24.3,88.0,70.0,81.0,,,,11.2,Bangkok
2023-06-15,63.0,26.7,31.2,16.5,29.2,,12.3,,28.4,25.0,99.0,80.0,100.0,26.3,24.3,90.0,71.0,82.0,,,,9.0,Bangkok
2023-06-16,61.0,25.8,31.9,14.6,28.1,,3.7,,28.8,25.1,98.0,72.0,100.0,26.4,24.1,93.0,69.0,81.0,,,,10.1,Bangkok
2023-06-17,63.0,26.1,32.2,19.8,32.0,,12.1,,28.7,25.0,89.0,30.0,100.0,26.1,24.3,92.0,66.0,81.0,,,,9.9,Bangkok
2023-06-18,63.0,26.2,30.4,20.3,36.0,,24.2,,27.8,24.5,100.0,100.0,100.0,25.4,23.4,91.0,68.0,83.0,,,,9.7,Bangkok
2023-06-19,61.0,24.9,31.2,17.3,29.5,,4.3,,27.8,24.6,96.0,51.0,100.0,25.7,23.6,96.0,70.0,83.0,,,,7.4,Bangkok
