time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-10,51.0,15.4,28.9,20.5,42.5,,0.1,,22.3,10.7,28.0,2.0,100.0,13.6,4.0,87.0,29.0,52.0,,,,15.7,Berlin
2023-06-11,3.0,14.3,26.4,19.3,33.5,,0.0,,21.6,8.0,45.0,0.0,100.0,11.3,3.7,65.0,30.0,43.0,,,,13.6,Berlin
2023-06-12,3.0,14.5,25.5,20.2,39.2,,0.0,,21.2,6.2,15.0,0.0,100.0,8.2,4.4,54.0,27.0,39.0,,,,13.9,Berlin
2023-06-13,3.0,12.4,23.7,22.5,42.5,,0.0,,18.6,6.2,39.0,0.0,100.0,7.9,4.5,73.0,30.0,46.0,,,,15.9,Berlin
2023-06-14,3.0,11.4,23.7,19.7,40.0,,0.0,,18.4,8.2,49.0,1.0,100.0,10.4,6.0,88.0,33.0,55.0,,,,13.9,Berlin
2023-06-15,51.0,14.5,22.9,13.5,29.9,,0.2,,18.5,10.0,80.0,26.0,100.0,12.7,8.1,80.0,39.0,59.0,,,,10.0,Berlin
2023-06-16,65.0,13.5,19.9,21.9,40.7,,28.9,,15.6,13.3,83.0,17.0,100.0,14.3,12.6,96.0,64.0,87.0,,,,10.9,Berlin
2023-06-17,51.0,11.8,20.9,12.6,26.6,,1.6,,16.5,12.9,55.0,0.0,100.0,14.2,11.6,99.0,58.0,80.0,,,,8.6,Berlin
2023-06-18,51.0,11.8,24.7,10.5,20.5,,0.1,,19.2,12.8,27.0,0.0,100.0,16.1,11.0,99.0,42.0,70.0,,,,5.7,Berlin
2023-06-19,51.0,14.8,27.1,16.6,33.1,,0.6,,21.0,14.9,72.0,0.0,100.0,16.6,12.9,92.0,47.0,70.0,,,,11.0,Berlin
2023-06-20,53.0,16.2,25.5,14.8,28.1,,1.7,,21.1,17.5,84.0,6.0,100.0,19.8,14.4,92.0,69.0,81.0,,,,7.8,Berlin
2023-06-21,63.0,18.8,27.8,22.9,41.4,,3.3,,23.1,17.7,88.0,7.0,100.0,19.6,15.0,94.0,45.0,73.0,,,,12.8,Berlin
2023-06-22,61.0,17.7,27.3,20.2,32.0,,2.2,,22.9,14.7,74.0,6.0,100.0,16.3,13.3,84.0,44.0,62.0,,,,11.8,Berlin
2023-06-23,63.0,16.9,20.5,22.4,38.5,,28.0,,18.2,16.1,100.0,100.0,100.0,17.5,13.2,94.0,64.0,88.0,,,,16.5,Berlin
2023-06-24,3.0,14.9,24.6,15.0,29.5,,0.0,,19.3,13.7,42.0,3.0,97.0,14.9,12.0,97.0,45.0,73.0,,,,11.7,Berlin
2023-06-25,51.0,14.9,26.4,10.5,19.8,,0.5,,21.4,14.9,41.0,4.0,100.0,17.3,13.0,90.0,47.0,68.0,,,,5.4,Berlin
2023-06-26,61.0,17.9,29.3,24.0,43.6,,4.4,,22.4,16.4,54.0,0.0,100.0,18.3,12.3,92.0,41.0,70.0,,,,12.2,Berlin
2023-06-27,51.0,14.5,20.5,26.7,49.3,,1.0,,17.4,10.8,48.0,0.0,100.0,12.1,9.1,84.0,50.0,66.0,,,,19.9,Berlin
2023-06-28,3.0,13.0,22.1,24.9,46.1,,0.0,,17.7,10.5,67.0,0.0,100.0,12.0,9.3,85.0,45.0,64.0,,,,17.6,Berlin
2023-06-29,3.0,11.9,24.9,11.3,25.6,,0.0,,19.5,13.3,47.0,0.0,100.0,16.5,11.3,96.0,49.0,70.0,,,,7.3,Berlin
2023-06-30,63.0,16.8,21.6,14.8,30.2,,8.2,,19.5,15.9,95.0,58.0,100.0,17.5,13.9,92.0,70.0,80.0,,,,8.8,Berlin
2023-07-01,55.0,15.2,23.8,25.7,46.8,,2.2,,19.7,13.2,92.0,52.0,100.0,15.3,10.0,97.0,43.0,69.0,,,,13.5,Berlin
2023-07-02,61.0,15.9,21.8,33.1,59.0,,1.8,,18.5,11.6,55.0,15.0,100.0,15.4,7.8,91.0,42.0,66.0,,,,21.9,Berlin
2023-07-03,3.0,14.5,21.5,28.3,52.2,,0.0,,18.0,8.5,61.0,6.0,100.0,10.9,7.2,71.0,40.0,55.0,,,,18.1,Berlin
2023-07-04,51.0,14.4,22.3,28.9,51.8,,0.4,,18.5,9.3,33.0,2.0,85.0,10.5,7.8,73.0,42.0,56.0,,,,18.7,Berlin
2023-07-05,61.0,13.0,24.8,29.7,55.8,,3.7,,18.7,10.9,66.0,0.0,100.0,15.3,7.0,87.0,36.0,63.0,,,,18.4,Berlin
2023-07-06,51.0,13.7,22.3,16.6,35.3,,0.4,,18.2,9.1,15.0,0.0,49.0,11.3,7.1,80.0,38.0,57.0,,,,12.5,Berlin
2023-07-07,3.0,11.1,27.5,9.7,21.6,,0.0,,20.2,9.6,21.0,0.0,87.0,11.8,7.2,90.0,28.0,55.0,,,,6.5,Berlin
