time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-10,63.0,25.2,29.0,9.9,20.9,,20.7,,27.0,25.3,98.0,77.0,100.0,26.1,24.7,97.0,82.0,91.0,,,,5.1,Hong Kong
2023-06-11,65.0,25.3,28.7,13.7,29.5,,43.4,,26.7,25.3,100.0,97.0,100.0,26.3,24.0,96.0,85.0,92.0,,,,7.4,Hong Kong
2023-06-12,51.0,26.4,29.8,14.8,31.3,,0.7,,28.1,25.8,80.0,16.0,100.0,26.3,25.4,95.0,81.0,88.0,,,,10.3,Hong Kong
2023-06-13,63.0,25.8,29.5,9.2,23.8,,11.1,,27.4,25.8,99.0,81.0,100.0,26.5,24.8,97.0,83.0,91.0,,,,6.3,Hong Kong
2023-06-14,63.0,25.7,28.7,13.0,28.1,,15.9,,27.0,25.6,100.0,97.0,100.0,26.4,25.0,98.0,84.0,92.0,,,,5.8,Hong Kong
2023-06-15,63.0,25.2,27.8,16.3,32.8,,25.5,,26.4,25.2,100.0,92.0,100.0,25.9,24.6,98.0,87.0,93.0,,,,7.2,Hong Kong
2023-06-16,63.0,25.5,26.7,16.4,34.9,,32.4,,26.1,25.4,100.0,100.0,100.0,25.7,24.7,98.0,92.0,96.0,,,,9.4,Hong Kong
2023-06-17,63.0,24.6,27.1,17.7,37.4,,23.7,,26.2,24.9,100.0,100.0,100.0,25.7,23.9,98.0,87.0,93.0,,,,10.4,Hong Kong
2023-06-18,53.0,26.0,28.1,20.9,45.7,,5.5,,27.2,25.5,100.0,100.0,100.0,26.2,25.0,96.0,85.0,90.0,,,,15.8,Hong Kong
2023-06-19,63.0,25.7,29.5,22.2,44.3,,11.6,,27.7,25.7,89.0,52.0,100.0,26.3,25.0,97.0,81.0,89.0,,,,15.3,Hong Kong
2023-06-20,55.0,27.1,30.0,21.5,43.6,,6.2,,28.3,26.1,41.0,7.0,80.0,26.6,25.1,93.0,80.0,88.0,,,,15.6,Hong Kong
2023-06-21,53.0,27.2,30.4,22.7,45.7,,3.2,,28.9,26.1,67.0,14.0,99.0,26.7,25.5,91.0,77.0,85.0,,,,16.7,Hong Kong
2023-06-22,53.0,27.8,30.4,21.8,43.6,,3.2,,29.1,26.0,81.0,14.0,100.0,26.4,25.5,91.0,77.0,84.0,,,,17.4,Hong Kong
2023-06-23,63.0,25.8,28.8,19.7,41.8,,18.9,,27.4,25.6,100.0,99.0,100.0,26.4,24.5,97.0,83.0,90.0,,,,12.6,Hong Kong
2023-06-24,61.0,24.5,27.9,18.9,42.1,,11.3,,26.4,25.2,100.0,100.0,100.0,26.5,23.9,98.0,87.0,93.0,,,,12.0,Hong Kong
2023-06-25,63.0,25.2,29.5,12.8,32.4,,6.8,,27.6,25.4,99.0,85.0,100.0,26.5,24.6,96.0,78.0,88.0,,,,7.9,Hong Kong
2023-06-26,63.0,24.4,28.6,15.1,36.4,,8.0,,26.8,25.1,94.0,53.0,100.0,26.2,23.9,99.0,83.0,91.0,,,,11.3,Hong Kong
