time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-10,3.0,14.2,28.5,19.5,34.6,,0.0,,21.4,13.6,56.0,2.0,100.0,15.7,12.4,89.0,38.0,64.0,,,,14.5,London
2023-06-11,3.0,15.5,30.0,11.5,29.5,,0.0,,22.4,14.6,81.0,14.0,100.0,18.1,12.0,93.0,36.0,64.0,,,,6.4,London
2023-06-12,61.0,16.0,26.9,13.3,28.8,,5.7,,21.4,16.7,74.0,7.0,100.0,18.4,13.5,93.0,60.0,76.0,,,,6.4,London
2023-06-13,0.0,13.2,27.1,24.4,41.8,,0.0,,20.0,10.9,1.0,0.0,17.0,15.2,8.1,84.0,33.0,59.0,,,,14.6,London
2023-06-14,1.0,10.8,26.8,18.8,33.1,,0.0,,19.0,10.4,3.0,0.0,29.0,14.4,5.4,88.0,35.0,60.0,,,,12.5,London
2023-06-15,3.0,11.7,26.0,17.3,28.1,,0.0,,19.2,11.4,36.0,0.0,99.0,14.0,9.5,95.0,38.0,64.0,,,,10.3,London
2023-06-16,3.0,12.0,25.6,17.4,29.5,,0.0,,19.3,10.2,22.0,0.0,100.0,11.8,8.6,93.0,35.0,60.0,,,,8.7,London
2023-06-17,55.0,12.3,24.1,13.8,28.1,,2.1,,18.6,12.6,91.0,11.0,100.0,15.2,10.3,87.0,51.0,69.0,,,,9.7,London
2023-06-18,63.0,15.3,24.6,18.9,32.0,,16.9,,19.1,15.5,97.0,25.0,100.0,18.2,12.7,94.0,55.0,80.0,,,,9.8,London
2023-06-19,51.0,14.1,22.9,21.6,38.5,,0.9,,18.7,14.2,36.0,0.0,99.0,15.6,13.2,96.0,57.0,77.0,,,,14.9,London
2023-06-20,63.0,14.9,22.6,24.3,43.2,,5.9,,19.0,15.3,81.0,1.0,100.0,17.2,13.9,96.0,60.0,80.0,,,,14.9,London
2023-06-21,51.0,14.9,23.5,16.5,32.8,,1.0,,19.3,14.0,52.0,1.0,100.0,15.0,12.8,96.0,52.0,73.0,,,,13.7,London
2023-06-22,3.0,13.4,26.5,15.8,28.8,,0.0,,20.3,13.7,52.0,4.0,100.0,16.4,10.6,99.0,37.0,70.0,,,,6.4,London
2023-06-23,3.0,14.7,25.8,17.9,30.6,,0.0,,20.5,13.9,72.0,0.0,100.0,16.2,11.7,95.0,41.0,69.0,,,,10.7,London
2023-06-24,51.0,14.9,26.4,14.4,27.7,,0.2,,21.2,15.7,47.0,0.0,100.0,17.3,14.4,97.0,51.0,73.0,,,,10.3,London
2023-06-25,51.0,15.0,29.1,27.8,46.1,,0.1,,22.5,14.3,3.0,0.0,23.0,16.4,10.0,86.0,41.0,62.0,,,,17.7,London
2023-06-26,3.0,13.6,22.4,23.5,40.3,,0.0,,18.5,9.2,65.0,0.0,100.0,11.9,6.4,88.0,38.0,58.0,,,,17.9,London
2023-06-27,3.0,14.1,21.9,20.5,36.0,,0.0,,18.5,11.6,94.0,47.0,100.0,14.5,9.9,83.0,51.0,65.0,,,,13.9,London
2023-06-28,51.0,16.7,24.4,15.5,28.4,,0.1,,20.3,15.5,87.0,9.0,100.0,16.2,14.7,90.0,58.0,75.0,,,,13.5,London
2023-06-29,61.0,15.8,22.1,15.7,31.0,,5.9,,18.6,12.7,67.0,12.0,100.0,16.4,8.1,94.0,42.0,71.0,,,,11.7,London
2023-06-30,51.0,11.4,18.7,33.2,56.2,,0.6,,16.4,11.6,89.0,12.0,100.0,15.3,7.9,94.0,50.0,74.0,,,,17.9,London
2023-07-01,51.0,17.3,21.7,24.4,44.3,,0.2,,19.2,12.3,81.0,43.0,100.0,15.7,8.5,89.0,45.0,66.0,,,,19.9,London
2023-07-02,3.0,11.9,19.8,27.7,48.6,,0.0,,16.5,8.0,32.0,0.0,100.0,10.2,5.2,85.0,40.0,59.0,,,,19.3,London
2023-07-03,51.0,11.7,19.4,33.5,59.0,,0.7,,15.7,8.8,52.0,0.0,100.0,10.6,7.7,86.0,49.0,64.0,,,,23.9,London
2023-07-04,63.0,13.2,18.9,19.9,34.9,,13.1,,15.1,10.9,89.0,21.0,100.0,13.8,8.5,95.0,55.0,77.0,,,,15.0,London
2023-07-05,63.0,10.8,19.4,23.8,43.2,,6.1,,15.5,9.5,28.0,0.0,100.0,11.4,7.7,92.0,47.0,70.0,,,,19.1,London
