time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-10,3.0,14.4,21.4,16.6,32.4,,0.0,,17.4,12.7,100.0,100.0,100.0,13.0,12.3,91.0,58.0,75.0,,,,6.8,Los Angeles
2023-06-11,51.0,15.3,21.2,15.9,28.4,,1.2,,17.8,12.0,98.0,72.0,100.0,12.8,11.3,82.0,56.0,70.0,,,,10.5,Los Angeles
2023-06-12,51.0,14.6,21.1,15.1,29.9,,1.0,,17.7,12.4,82.0,9.0,100.0,13.2,11.5,83.0,58.0,72.0,,,,7.8,Los Angeles
2023-06-13,3.0,13.2,22.5,19.5,38.5,,0.0,,17.6,12.2,31.0,0.0,100.0,13.0,11.7,92.0,51.0,72.0,,,,8.5,Los Angeles
2023-06-14,3.0,13.6,23.0,17.1,34.6,,0.0,,17.3,12.6,75.0,3.0,100.0,13.1,12.4,95.0,52.0,76.0,,,,8.1,Los Angeles
2023-06-15,51.0,15.4,22.5,13.8,29.5,,0.4,,18.2,13.0,97.0,45.0,100.0,13.9,12.5,85.0,56.0,73.0,,,,8.0,Los Angeles
2023-06-16,3.0,15.7,25.4,19.2,39.6,,0.0,,19.1,13.9,62.0,0.0,100.0,14.2,13.7,91.0,49.0,73.0,,,,7.5,Los Angeles
2023-06-17,3.0,15.0,27.1,19.5,38.5,,0.0,,19.8,14.3,30.0,0.0,100.0,14.9,13.8,95.0,46.0,73.0,,,,9.2,Los Angeles
2023-06-18,3.0,16.0,25.3,17.8,36.4,,0.0,,19.1,13.7,62.0,0.0,100.0,14.6,13.0,91.0,47.0,73.0,,,,9.1,Los Angeles
2023-06-19,3.0,16.2,24.7,17.0,35.6,,0.0,,19.2,12.8,76.0,4.0,100.0,13.9,11.9,82.0,46.0,68.0,,,,10.0,Los Angeles
2023-06-20,3.0,13.5,25.9,20.5,39.6,,0.0,,19.6,11.9,20.0,0.0,100.0,14.2,10.0,97.0,37.0,65.0,,,,7.6,Los Angeles
2023-06-21,3.0,14.3,27.2,21.7,41.4,,0.0,,19.8,11.1,15.0,0.0,100.0,13.5,8.1,91.0,33.0,62.0,,,,9.2,Los Angeles
2023-06-22,3.0,13.6,23.6,21.3,41.0,,0.0,,17.7,11.5,34.0,0.0,100.0,13.6,9.1,100.0,43.0,70.0,,,,10.4,Los Angeles
2023-06-23,3.0,12.7,23.7,20.2,38.9,,0.0,,18.1,10.4,17.0,0.0,99.0,12.3,7.8,93.0,39.0,64.0,,,,10.3,Los Angeles
2023-06-24,3.0,12.0,25.4,17.2,35.6,,0.0,,18.5,11.2,30.0,0.0,100.0,13.3,10.1,96.0,39.0,66.0,,,,8.1,Los Angeles
2023-06-25,3.0,13.1,24.1,15.8,33.8,,0.0,,18.4,11.8,20.0,0.0,100.0,13.5,9.0,98.0,39.0,69.0,,,,8.8,Los Angeles
2023-06-26,3.0,12.6,25.8,17.9,37.1,,0.0,,18.7,11.6,11.0,0.0,100.0,13.3,8.7,100.0,34.0,68.0,,,,10.8,Los Angeles
2023-06-27,3.0,13.4,26.2,20.9,38.9,,0.0,,18.9,12.1,20.0,0.0,100.0,13.4,11.0,99.0,41.0,69.0,,,,9.5,Los Angeles
2023-06-28,3.0,13.6,24.8,18.1,34.9,,0.0,,18.5,12.6,24.0,0.0,100.0,13.3,11.7,97.0,46.0,71.0,,,,10.1,Los Angeles
2023-06-29,3.0,13.8,26.5,19.3,36.7,,0.0,,19.0,13.2,23.0,0.0,100.0,14.0,12.1,93.0,44.0,71.0,,,,9.4,Los Angeles
2023-06-30,3.0,14.4,28.6,20.0,37.1,,0.0,,19.7,14.1,23.0,0.0,100.0,14.5,13.6,98.0,41.0,73.0,,,,8.7,Los Angeles
2023-07-01,3.0,14.6,29.4,19.6,36.7,,0.0,,20.2,14.6,28.0,0.0,100.0,15.2,14.0,99.0,39.0,74.0,,,,8.7,Los Angeles
2023-07-02,3.0,14.5,30.1,22.0,40.7,,0.0,,20.3,14.7,39.0,0.0,100.0,15.2,14.1,100.0,40.0,74.0,,,,8.2,Los Angeles
2023-07-03,3.0,14.3,29.8,19.7,37.1,,0.0,,19.9,14.2,42.0,2.0,100.0,14.8,13.5,99.0,38.0,74.0,,,,8.8,Los Angeles
2023-07-04,3.0,14.2,26.6,17.1,33.1,,0.0,,19.2,12.6,17.0,0.0,100.0,13.9,10.5,96.0,37.0,69.0,,,,9.6,Los Angeles
2023-07-05,3.0,13.4,25.8,19.4,36.7,,0.0,,18.7,11.9,24.0,0.0,100.0,14.0,8.8,100.0,36.0,69.0,,,,9.9,Los Angeles
2023-07-06,3.0,13.4,25.6,16.8,31.0,,0.0,,18.7,12.7,25.0,0.0,100.0,13.7,11.3,99.0,43.0,71.0,,,,8.7,Los Angeles
2023-07-07,3.0,14.2,26.6,19.9,37.1,,0.0,,19.0,12.4,26.0,0.0,100.0,13.3,11.3,91.0,41.0,69.0,,,,10.2,Los Angeles
