time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-10,3.0,13.3,30.9,22.5,37.8,,0.0,,22.4,7.7,25.0,0.0,100.0,11.7,-1.4,82.0,12.0,46.0,,,,5.9,Mexico City
2023-06-11,61.0,15.7,31.5,20.4,42.1,,1.6,,22.5,8.9,39.0,0.0,100.0,13.9,2.9,71.0,16.0,46.0,,,,5.9,Mexico City
2023-06-12,3.0,14.2,31.7,29.6,44.6,,0.0,,23.0,6.7,24.0,0.0,100.0,12.6,-1.5,81.0,14.0,41.0,,,,10.2,Mexico City
2023-06-13,1.0,12.8,33.2,28.0,44.3,,0.0,,23.1,1.5,2.0,0.0,35.0,9.6,-12.0,55.0,5.0,30.0,,,,9.1,Mexico City
2023-06-14,3.0,16.1,33.5,29.5,44.3,,0.0,,24.3,5.4,10.0,0.0,88.0,10.0,-7.0,62.0,7.0,36.0,,,,7.4,Mexico City
2023-06-15,3.0,15.3,33.8,20.6,48.2,,0.0,,23.7,6.8,11.0,0.0,84.0,11.2,-4.3,72.0,8.0,40.0,,,,5.8,Mexico City
2023-06-16,3.0,15.4,32.5,27.6,52.2,,0.0,,23.9,6.3,59.0,2.0,100.0,11.8,-3.0,74.0,10.0,38.0,,,,6.1,Mexico City
2023-06-17,3.0,15.5,32.1,28.2,52.6,,0.0,,23.7,6.4,44.0,0.0,99.0,10.7,-1.9,64.0,12.0,38.0,,,,9.7,Mexico City
2023-06-18,2.0,14.8,32.9,29.7,45.4,,0.0,,23.9,2.4,6.0,0.0,50.0,12.8,-13.1,88.0,5.0,35.0,,,,7.4,Mexico City
2023-06-19,3.0,14.4,33.8,25.0,44.6,,0.0,,24.2,1.7,20.0,0.0,87.0,7.1,-9.5,55.0,6.0,29.0,,,,8.7,Mexico City
2023-06-20,3.0,16.4,33.9,21.2,42.1,,0.0,,24.3,3.5,24.0,0.0,100.0,10.1,-7.7,66.0,7.0,33.0,,,,8.2,Mexico City
2023-06-21,3.0,16.7,32.7,32.3,49.0,,0.0,,24.3,0.1,64.0,0.0,100.0,6.7,-8.0,42.0,7.0,24.0,,,,11.6,Mexico City
2023-06-22,3.0,14.6,31.6,30.1,51.8,,0.0,,23.3,1.5,18.0,0.0,99.0,6.5,-5.9,57.0,9.0,29.0,,,,15.3,Mexico City
2023-06-23,3.0,14.4,30.7,30.5,50.8,,0.0,,22.3,3.5,30.0,0.0,97.0,8.9,-2.5,61.0,12.0,34.0,,,,16.7,Mexico City
2023-06-24,61.0,12.7,29.5,28.1,49.0,,2.5,,21.1,6.2,53.0,0.0,100.0,11.5,1.0,73.0,16.0,43.0,,,,14.8,Mexico City
2023-06-25,61.0,14.9,28.0,27.4,42.8,,3.8,,20.8,9.5,77.0,7.0,100.0,12.5,4.6,86.0,23.0,53.0,,,,14.6,Mexico City
2023-06-26,63.0,14.3,24.9,23.9,43.9,,4.6,,18.4,11.9,79.0,27.0,100.0,14.2,10.5,89.0,42.0,67.0,,,,10.0,Mexico City
2023-06-27,61.0,12.2,25.6,13.5,31.0,,2.4,,18.4,10.5,57.0,3.0,100.0,13.4,5.8,97.0,28.0,65.0,,,,7.0,Mexico City
2023-06-28,61.0,13.8,27.8,20.1,32.8,,3.3,,19.4,10.5,68.0,1.0,100.0,13.1,4.5,96.0,23.0,62.0,,,,8.3,Mexico City
2023-06-29,55.0,14.4,23.3,14.8,29.9,,3.3,,18.4,12.7,89.0,41.0,100.0,14.2,11.4,90.0,49.0,70.0,,,,6.4,Mexico City
2023-06-30,61.0,13.4,25.2,21.7,37.1,,4.2,,18.4,12.4,82.0,19.0,100.0,13.7,10.8,95.0,41.0,71.0,,,,7.4,Mexico City
2023-07-01,63.0,13.6,24.9,17.9,27.0,,6.3,,19.0,12.2,45.0,2.0,96.0,13.7,10.2,95.0,41.0,67.0,,,,5.7,Mexico City
2023-07-02,63.0,13.9,24.0,15.0,29.2,,13.5,,18.4,12.4,40.0,0.0,100.0,13.2,9.6,93.0,43.0,71.0,,,,5.7,Mexico City
2023-07-03,53.0,13.8,24.7,15.0,22.3,,2.1,,18.4,12.4,46.0,12.0,100.0,13.7,10.6,93.0,43.0,70.0,,,,4.6,Mexico City
2023-07-04,65.0,14.1,24.0,8.2,17.6,,12.4,,18.0,13.2,74.0,12.0,100.0,14.4,11.4,90.0,50.0,75.0,,,,4.4,Mexico City
2023-07-05,63.0,14.0,25.0,17.7,31.3,,13.6,,18.3,13.5,93.0,68.0,100.0,15.0,12.7,95.0,48.0,75.0,,,,6.4,Mexico City
2023-07-06,65.0,13.4,23.3,15.4,28.8,,27.1,,17.6,13.8,93.0,17.0,100.0,15.1,12.9,97.0,57.0,80.0,,,,5.3,Mexico City
2023-07-07,53.0,15.5,25.8,20.8,33.8,,1.2,,19.3,11.8,72.0,1.0,100.0,13.8,8.5,89.0,34.0,65.0,,,,8.2,Mexico City
2023-07-08,63.0,14.7,25.3,14.8,25.2,,13.2,,18.8,12.4,47.0,10.0,90.0,14.4,9.2,90.0,37.0,70.0,,,,5.7,Mexico City
2023-07-09,61.0,13.3,25.1,18.0,30.2,,7.5,,18.1,13.2,69.0,24.0,100.0,14.9,11.2,97.0,42.0,75.0,,,,6.8,Mexico City
2023-07-10,63.0,13.3,24.3,18.1,28.4,,4.1,,17.7,13.2,74.0,6.0,100.0,13.9,11.7,99.0,51.0,77.0,,,,6.1,Mexico City
2023-07-11,65.0,12.5,23.1,18.9,33.1,,16.4,,17.6,13.1,44.0,1.0,100.0,14.2,11.7,95.0,54.0,76.0,,,,5.4,Mexico City
2023-07-12,61.0,12.0,24.7,16.3,27.7,,3.0,,17.8,11.8,30.0,0.0,100.0,13.3,9.6,98.0,40.0,72.0,,,,6.4,Mexico City
2023-07-13,51.0,12.1,25.2,17.7,24.1,,0.3,,18.3,11.4,45.0,1.0,100.0,13.2,8.2,98.0,34.0,69.0,,,,5.9,Mexico City
2023-07-14,63.0,11.4,25.7,17.1,28.4,,5.8,,18.3,11.2,33.0,0.0,95.0,13.4,8.6,95.0,36.0,67.0,,,,6.5,Mexico City
2023-07-15,51.0,13.2,26.2,18.5,27.4,,0.4,,19.2,10.9,41.0,0.0,100.0,13.1,7.2,91.0,30.0,63.0,,,,7.3,Mexico City
2023-07-16,53.0,12.2,27.0,21.7,36.7,,1.6,,18.3,10.7,32.0,0.0,98.0,12.8,6.7,94.0,28.0,66.0,,,,11.3,Mexico City
2023-07-17,63.0,12.6,24.7,16.9,28.8,,5.3,,17.6,11.7,63.0,11.0,100.0,12.8,10.3,94.0,41.0,71.0,,,,7.5,Mexico City
2023-07-18,51.0,11.9,26.2,14.3,26.3,,0.3,,18.0,11.4,47.0,0.0,91.0,12.7,7.2,99.0,32.0,70.0,,,,8.3,Mexico City
2023-07-19,51.0,12.8,27.1,18.5,32.8,,1.0,,18.4,11.8,55.0,12.0,100.0,13.3,7.4,96.0,29.0,70.0,,,,8.7,Mexico City
2023-07-20,51.0,12.3,27.4,26.1,40.7,,0.4,,19.1,10.5,47.0,9.0,99.0,12.4,4.5,94.0,23.0,63.0,,,,12.3,Mexico City
2023-07-21,53.0,12.9,26.1,16.1,29.2,,2.6,,18.5,11.9,47.0,19.0,100.0,13.7,7.5,98.0,31.0,70.0,,,,7.1,Mexico City
2023-07-22,63.0,13.3,24.6,19.8,30.6,,20.7,,17.7,12.2,70.0,15.0,100.0,13.3,9.9,95.0,43.0,73.0,,,,6.4,Mexico City
2023-07-23,53.0,13.9,24.0,12.9,26.3,,1.8,,18.0,12.5,80.0,30.0,100.0,14.2,9.8,95.0,42.0,73.0,,,,5.5,Mexico City
2023-07-24,63.0,13.7,22.8,13.8,26.6,,10.5,,17.0,12.6,99.0,81.0,100.0,13.4,11.4,93.0,49.0,77.0,,,,5.6,Mexico City
2023-07-25,63.0,13.7,22.4,15.0,29.2,,12.2,,16.9,13.2,86.0,34.0,100.0,14.1,11.2,95.0,51.0,80.0,,,,6.0,Mexico City
