time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-10,61.0,27.8,33.3,32.5,65.5,,3.6,,30.4,25.2,39.0,1.0,100.0,25.9,24.4,84.0,62.0,75.0,,,,24.3,Mumbai
2023-06-11,55.0,25.8,32.8,32.4,66.2,,3.8,,29.7,24.3,50.0,0.0,100.0,25.4,23.1,92.0,58.0,73.0,,,,25.3,Mumbai
2023-06-12,61.0,26.4,32.4,42.6,77.4,,5.3,,28.9,24.5,60.0,8.0,100.0,25.1,23.6,91.0,60.0,78.0,,,,30.0,Mumbai
2023-06-13,61.0,26.4,31.2,36.3,65.9,,5.6,,28.4,24.6,66.0,24.0,100.0,25.3,24.0,89.0,68.0,80.0,,,,29.1,Mumbai
2023-06-14,53.0,25.9,30.4,33.8,63.0,,2.8,,28.6,24.5,64.0,12.0,100.0,24.8,23.9,91.0,71.0,79.0,,,,27.0,Mumbai
2023-06-15,53.0,28.3,32.0,33.7,61.2,,2.8,,29.9,24.8,40.0,5.0,98.0,25.5,24.2,82.0,65.0,74.0,,,,29.5,Mumbai
2023-06-16,53.0,27.4,31.4,37.5,67.0,,4.6,,29.6,24.7,78.0,13.0,100.0,25.2,23.8,86.0,66.0,75.0,,,,30.2,Mumbai
2023-06-17,53.0,27.3,31.5,26.1,49.0,,6.6,,29.2,25.2,56.0,18.0,100.0,25.8,24.5,89.0,70.0,79.0,,,,21.9,Mumbai
2023-06-18,53.0,27.7,31.2,22.8,45.7,,4.6,,29.3,25.2,75.0,14.0,100.0,25.6,24.2,88.0,70.0,79.0,,,,17.7,Mumbai
2023-06-19,53.0,27.8,31.5,20.0,40.0,,2.4,,29.5,25.1,81.0,20.0,100.0,25.5,24.6,85.0,68.0,77.0,,,,16.0,Mumbai
2023-06-20,51.0,27.6,31.6,20.4,40.7,,1.1,,29.4,25.0,78.0,18.0,100.0,25.5,24.6,88.0,67.0,78.0,,,,14.0,Mumbai
2023-06-21,53.0,27.7,31.7,19.6,38.9,,2.9,,29.5,25.4,76.0,14.0,100.0,26.0,25.0,90.0,68.0,79.0,,,,13.0,Mumbai
2023-06-22,51.0,27.6,31.7,18.7,37.1,,1.9,,29.6,25.0,93.0,35.0,100.0,25.7,24.3,88.0,67.0,76.0,,,,13.6,Mumbai
2023-06-23,51.0,26.8,30.9,19.3,37.8,,2.9,,28.8,25.1,88.0,18.0,100.0,25.5,24.5,90.0,71.0,81.0,,,,13.1,Mumbai
2023-06-24,63.0,25.3,29.4,17.7,38.5,,20.7,,27.1,24.5,100.0,99.0,100.0,25.3,24.1,94.0,76.0,86.0,,,,11.0,Mumbai
