time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-10,51.0,12.2,26.2,18.1,34.9,,0.2,,19.0,10.9,36.0,0.0,99.0,14.3,8.4,93.0,36.0,63.0,,,,11.2,New York
2023-06-11,3.0,16.3,27.0,18.6,35.3,,0.0,,21.2,14.2,84.0,37.0,100.0,15.8,11.9,83.0,41.0,66.0,,,,10.9,New York
2023-06-12,63.0,19.1,23.9,27.0,47.2,,8.5,,20.9,17.0,99.0,92.0,100.0,18.7,14.3,94.0,67.0,79.0,,,,17.2,New York
2023-06-13,3.0,16.0,26.3,21.6,37.1,,0.0,,20.9,12.7,40.0,0.0,100.0,19.0,8.3,95.0,34.0,64.0,,,,15.3,New York
2023-06-14,63.0,14.7,24.6,24.1,43.6,,9.5,,18.4,13.2,56.0,0.0,100.0,15.2,10.7,89.0,50.0,73.0,,,,13.8,New York
2023-06-15,3.0,14.9,26.1,20.4,36.4,,0.0,,20.3,11.9,33.0,0.0,100.0,13.1,11.0,80.0,39.0,60.0,,,,15.6,New York
2023-06-16,63.0,15.0,25.7,18.8,35.3,,10.8,,19.1,14.2,64.0,0.0,100.0,16.4,11.5,92.0,41.0,75.0,,,,8.8,New York
2023-06-17,51.0,14.7,25.3,31.6,53.3,,0.1,,19.9,11.6,25.0,2.0,89.0,15.3,5.4,96.0,30.0,63.0,,,,16.8,New York
2023-06-18,3.0,15.6,26.4,19.2,35.3,,0.0,,21.3,11.6,46.0,0.0,100.0,15.4,8.9,70.0,39.0,55.0,,,,14.0,New York
2023-06-19,53.0,16.2,25.1,20.0,35.3,,1.4,,20.4,15.4,40.0,0.0,100.0,17.1,14.2,90.0,55.0,74.0,,,,11.5,New York
2023-06-20,3.0,16.3,23.4,21.3,39.2,,0.0,,19.4,14.0,99.0,83.0,100.0,15.7,12.0,89.0,56.0,72.0,,,,12.7,New York
2023-06-21,51.0,15.4,22.8,23.4,41.0,,0.3,,18.7,12.4,100.0,92.0,100.0,14.0,11.2,91.0,48.0,69.0,,,,18.0,New York
2023-06-22,51.0,15.3,20.9,25.0,43.6,,0.3,,18.1,13.0,100.0,96.0,100.0,15.9,11.6,82.0,63.0,72.0,,,,17.4,New York
2023-06-23,63.0,16.9,22.8,21.8,38.5,,12.4,,19.7,17.7,93.0,28.0,100.0,20.0,15.2,98.0,82.0,88.0,,,,12.8,New York
2023-06-24,63.0,19.1,25.6,16.9,36.4,,21.2,,21.5,19.9,95.0,61.0,100.0,21.1,18.8,99.0,74.0,91.0,,,,10.5,New York
2023-06-25,53.0,18.5,28.4,17.9,32.8,,1.9,,22.9,20.1,53.0,0.0,100.0,21.1,18.2,99.0,62.0,85.0,,,,8.1,New York
2023-06-26,61.0,19.0,25.4,20.3,37.4,,4.6,,21.7,19.9,100.0,96.0,100.0,21.2,18.9,100.0,77.0,90.0,,,,11.9,New York
2023-06-27,65.0,19.3,26.2,18.8,35.6,,18.7,,21.7,19.7,93.0,29.0,100.0,20.8,19.1,99.0,70.0,89.0,,,,9.4,New York
2023-06-28,53.0,18.8,28.5,13.8,27.7,,2.1,,22.8,18.7,76.0,16.0,100.0,20.0,16.6,100.0,51.0,80.0,,,,7.1,New York
2023-06-29,3.0,16.1,28.5,14.3,27.7,,0.0,,22.3,15.9,25.0,0.0,100.0,19.2,13.5,93.0,40.0,70.0,,,,9.8,New York
2023-06-30,3.0,17.0,29.1,21.1,37.4,,0.0,,22.9,17.3,53.0,0.0,100.0,19.2,15.1,100.0,43.0,74.0,,,,8.9,New York
2023-07-01,3.0,17.6,26.8,24.7,44.3,,0.0,,22.4,16.5,64.0,0.0,100.0,17.9,15.6,92.0,51.0,71.0,,,,12.9,New York
2023-07-02,63.0,20.2,31.1,20.6,38.2,,16.1,,24.4,21.0,90.0,22.0,100.0,23.4,17.7,98.0,54.0,83.0,,,,12.6,New York
2023-07-03,65.0,22.2,31.0,16.8,28.8,,17.8,,25.5,22.0,41.0,0.0,100.0,23.1,20.7,96.0,56.0,82.0,,,,10.3,New York
2023-07-04,61.0,21.2,29.3,13.2,28.1,,5.4,,24.6,21.5,55.0,0.0,100.0,22.6,20.5,96.0,65.0,84.0,,,,6.4,New York
2023-07-05,3.0,20.9,32.2,15.2,27.0,,0.0,,26.2,21.1,21.0,0.0,100.0,22.0,20.0,99.0,49.0,76.0,,,,5.3,New York
