time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-10,51.0,17.9,27.6,14.3,33.5,,0.5,,23.0,16.2,52.0,3.0,100.0,19.3,13.5,85.0,48.0,67.0,,,,8.4,Paris
2023-06-11,65.0,18.5,25.0,15.4,33.5,,25.5,,21.4,18.0,89.0,26.0,100.0,18.8,17.2,97.0,64.0,82.0,,,,6.6,Paris
2023-06-12,53.0,16.7,26.3,16.8,33.8,,1.0,,21.2,16.7,72.0,14.0,100.0,17.7,15.1,93.0,58.0,77.0,,,,9.4,Paris
2023-06-13,2.0,16.0,28.2,19.6,38.9,,0.0,,22.6,12.9,9.0,0.0,60.0,17.9,7.3,94.0,28.0,60.0,,,,11.0,Paris
2023-06-14,1.0,13.7,28.2,13.4,29.2,,0.0,,22.2,10.0,4.0,0.0,24.0,12.7,6.9,84.0,28.0,50.0,,,,8.1,Paris
2023-06-15,3.0,14.9,27.9,11.2,27.4,,0.0,,22.0,10.8,46.0,0.0,100.0,13.1,9.3,78.0,31.0,52.0,,,,7.8,Paris
2023-06-16,3.0,14.4,29.3,11.8,22.3,,0.0,,22.5,10.1,16.0,0.0,88.0,12.7,7.4,78.0,25.0,49.0,,,,6.1,Paris
2023-06-17,51.0,17.5,30.7,14.5,32.0,,0.6,,23.7,12.8,88.0,21.0,100.0,16.1,10.2,69.0,32.0,52.0,,,,8.7,Paris
2023-06-18,55.0,18.9,30.0,21.8,50.0,,2.8,,23.5,17.4,95.0,50.0,100.0,19.1,14.8,95.0,40.0,71.0,,,,11.5,Paris
2023-06-19,53.0,15.8,24.7,12.3,25.9,,1.0,,20.4,16.2,94.0,59.0,100.0,18.6,13.6,96.0,50.0,79.0,,,,7.4,Paris
2023-06-20,51.0,17.9,26.9,22.2,48.2,,1.7,,21.5,17.8,91.0,34.0,100.0,18.6,17.2,97.0,55.0,81.0,,,,14.0,Paris
2023-06-21,61.0,16.2,27.5,12.3,20.5,,3.8,,21.7,16.9,69.0,2.0,100.0,18.0,15.3,98.0,49.0,76.0,,,,5.9,Paris
2023-06-22,63.0,17.6,23.7,21.9,43.2,,19.4,,19.9,15.9,87.0,0.0,100.0,17.8,13.4,93.0,55.0,79.0,,,,15.1,Paris
2023-06-23,51.0,13.8,26.8,14.8,24.8,,0.2,,20.6,14.6,32.0,0.0,100.0,16.9,12.9,94.0,44.0,71.0,,,,7.4,Paris
2023-06-24,1.0,15.1,27.8,10.5,25.6,,0.0,,22.0,14.7,2.0,0.0,33.0,17.1,13.4,90.0,43.0,65.0,,,,7.1,Paris
2023-06-25,0.0,16.9,31.4,22.7,49.3,,0.0,,24.4,15.4,1.0,0.0,9.0,17.9,13.4,89.0,33.0,61.0,,,,9.9,Paris
2023-06-26,3.0,15.7,23.3,19.3,39.2,,0.0,,19.9,11.1,61.0,0.0,100.0,14.9,7.3,84.0,40.0,59.0,,,,15.6,Paris
2023-06-27,3.0,13.7,24.9,16.4,29.5,,0.0,,19.6,10.3,82.0,1.0,100.0,12.5,8.7,83.0,37.0,58.0,,,,9.3,Paris
2023-06-28,53.0,15.4,25.5,11.0,19.8,,0.8,,20.8,13.1,84.0,5.0,100.0,15.2,10.7,83.0,47.0,63.0,,,,5.6,Paris
2023-06-29,51.0,19.4,25.3,20.1,39.2,,0.8,,21.7,15.8,86.0,33.0,100.0,16.9,14.0,85.0,51.0,70.0,,,,9.6,Paris
2023-06-30,51.0,15.6,24.6,23.6,43.6,,0.4,,19.9,10.8,65.0,6.0,100.0,14.3,5.8,87.0,31.0,59.0,,,,14.5,Paris
2023-07-01,53.0,17.0,23.2,26.8,48.6,,2.6,,19.9,13.5,88.0,25.0,100.0,16.4,10.4,92.0,47.0,69.0,,,,20.0,Paris
2023-07-02,3.0,14.0,23.5,20.6,40.0,,0.0,,19.2,9.5,40.0,0.0,100.0,11.7,6.7,85.0,34.0,56.0,,,,16.5,Paris
