time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-10,3.0,25.9,42.2,24.0,37.4,,0.0,,35.2,1.0,8.0,0.0,97.0,1.5,-1.4,20.0,7.0,12.0,,,,11.1,Riyadh
2023-06-11,3.0,27.5,43.0,20.4,30.6,,0.0,,36.9,0.9,15.0,0.0,83.0,2.4,-0.7,19.0,7.0,11.0,,,,10.7,Riyadh
2023-06-12,3.0,31.3,43.3,24.5,37.8,,0.0,,37.5,2.4,17.0,0.0,90.0,4.0,1.1,16.0,8.0,12.0,,,,16.1,Riyadh
2023-06-13,2.0,30.6,42.4,26.4,38.2,,0.0,,36.9,1.4,3.0,0.0,62.0,4.1,-1.3,18.0,8.0,11.0,,,,17.4,Riyadh
2023-06-14,2.0,29.5,40.5,31.6,45.4,,0.0,,35.4,2.0,13.0,0.0,72.0,4.2,-0.2,20.0,8.0,13.0,,,,22.9,Riyadh
2023-06-15,1.0,27.4,43.0,36.7,58.7,,0.0,,36.3,1.0,4.0,0.0,27.0,2.9,-1.4,21.0,7.0,12.0,,,,19.0,Riyadh
2023-06-16,3.0,29.2,40.9,27.6,45.0,,0.0,,35.3,0.1,12.0,0.0,97.0,1.5,-2.1,15.0,8.0,11.0,,,,19.5,Riyadh
2023-06-17,2.0,26.4,40.1,26.0,39.6,,0.0,,33.9,0.1,3.0,0.0,63.0,2.4,-4.2,20.0,7.0,12.0,,,,16.7,Riyadh
2023-06-18,2.0,27.0,40.5,32.2,51.1,,0.0,,34.2,1.3,14.0,0.0,69.0,2.5,-0.0,20.0,8.0,13.0,,,,21.3,Riyadh
2023-06-19,3.0,27.3,41.7,28.5,43.9,,0.0,,35.1,1.4,9.0,0.0,90.0,3.4,-0.3,20.0,8.0,13.0,,,,17.0,Riyadh
2023-06-20,1.0,26.8,41.6,27.1,43.6,,0.0,,34.9,1.1,6.0,0.0,47.0,2.3,0.3,19.0,8.0,12.0,,,,14.8,Riyadh
2023-06-21,0.0,27.5,42.2,24.0,39.6,,0.0,,35.2,1.1,0.0,0.0,2.0,3.4,-1.6,20.0,7.0,13.0,,,,12.9,Riyadh
2023-06-22,0.0,28.1,41.2,18.9,28.8,,0.0,,35.2,1.4,0.0,0.0,0.0,2.7,-0.1,19.0,8.0,13.0,,,,8.8,Riyadh
2023-06-23,0.0,28.5,43.0,21.0,34.2,,0.0,,36.4,0.8,0.0,0.0,4.0,3.2,-1.4,20.0,7.0,11.0,,,,11.5,Riyadh
2023-06-24,3.0,29.5,44.5,27.7,45.4,,0.0,,37.5,-1.2,20.0,0.0,93.0,0.2,-3.2,15.0,5.0,9.0,,,,15.2,Riyadh
2023-06-25,0.0,29.7,43.6,27.9,43.6,,0.0,,37.2,-0.5,0.0,0.0,0.0,1.0,-1.9,16.0,6.0,10.0,,,,14.2,Riyadh
2023-06-26,0.0,28.2,42.3,32.4,48.2,,0.0,,36.0,-0.3,0.0,0.0,0.0,0.3,-1.7,16.0,7.0,11.0,,,,18.5,Riyadh
2023-06-27,1.0,27.6,42.9,27.0,42.5,,0.0,,36.0,-0.5,3.0,0.0,40.0,0.6,-1.2,16.0,7.0,10.0,,,,17.3,Riyadh
2023-06-28,3.0,26.7,42.6,16.8,29.9,,0.0,,35.6,-0.8,49.0,5.0,97.0,1.0,-2.1,19.0,6.0,11.0,,,,9.2,Riyadh
2023-06-29,3.0,27.6,43.0,24.6,37.4,,0.0,,35.7,-2.5,33.0,0.0,95.0,-1.0,-3.6,15.0,6.0,9.0,,,,13.0,Riyadh
2023-06-30,3.0,28.9,42.9,17.4,31.7,,0.0,,36.2,-3.1,34.0,0.0,93.0,0.4,-4.6,13.0,5.0,9.0,,,,9.4,Riyadh
2023-07-01,2.0,28.0,44.0,16.2,31.0,,0.0,,37.2,-0.6,11.0,0.0,61.0,0.8,-2.6,17.0,6.0,10.0,,,,7.9,Riyadh
2023-07-02,0.0,29.5,43.8,33.3,56.5,,0.0,,37.2,0.8,0.0,0.0,0.0,4.3,-2.1,17.0,6.0,11.0,,,,12.9,Riyadh
