time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-10,3.0,6.6,13.0,10.7,24.1,,0.0,,9.0,5.7,58.0,1.0,100.0,8.0,3.4,92.0,59.0,80.0,,,,6.5,Santiago
2023-06-11,0.0,3.4,12.1,7.9,20.2,,0.0,,7.5,3.8,1.0,0.0,3.0,6.1,-0.8,92.0,62.0,78.0,,,,3.8,Santiago
2023-06-12,0.0,2.9,14.2,5.5,12.6,,0.0,,8.5,-0.9,0.0,0.0,0.0,4.1,-8.7,89.0,36.0,53.0,,,,3.0,Santiago
2023-06-13,0.0,3.3,14.6,6.2,11.9,,0.0,,9.2,-5.7,1.0,0.0,15.0,2.6,-15.4,54.0,17.0,36.0,,,,2.6,Santiago
2023-06-14,3.0,7.0,16.4,9.0,11.9,,0.0,,12.2,-5.8,53.0,0.0,100.0,6.3,-17.2,69.0,12.0,31.0,,,,3.8,Santiago
2023-06-15,3.0,8.3,18.0,8.6,15.8,,0.0,,13.6,1.1,25.0,0.0,100.0,6.4,-5.4,69.0,29.0,44.0,,,,3.9,Santiago
2023-06-16,3.0,11.5,20.0,6.7,15.1,,0.0,,15.5,3.1,44.0,0.0,100.0,8.0,-3.2,58.0,29.0,44.0,,,,3.7,Santiago
2023-06-17,3.0,8.8,23.6,6.6,14.8,,0.0,,15.7,2.9,57.0,7.0,100.0,11.6,-5.6,67.0,29.0,43.0,,,,3.8,Santiago
2023-06-18,51.0,7.2,16.8,13.8,27.4,,0.1,,11.2,2.9,95.0,61.0,100.0,8.1,-8.3,98.0,19.0,66.0,,,,5.9,Santiago
2023-06-19,61.0,7.2,16.9,14.3,22.7,,5.6,,11.1,7.4,70.0,0.0,100.0,9.0,5.3,97.0,56.0,79.0,,,,5.2,Santiago
2023-06-20,3.0,9.1,14.8,8.9,21.2,,0.0,,11.3,7.9,98.0,79.0,100.0,9.6,5.9,95.0,71.0,80.0,,,,4.5,Santiago
2023-06-21,53.0,9.0,15.2,9.4,23.8,,1.8,,12.0,9.2,99.0,85.0,100.0,11.7,6.6,99.0,60.0,84.0,,,,4.4,Santiago
2023-06-22,65.0,11.1,14.3,12.9,25.2,,53.0,,12.6,11.0,100.0,100.0,100.0,12.4,9.1,95.0,85.0,90.0,,,,5.7,Santiago
2023-06-23,63.0,12.8,16.5,16.2,26.3,,29.4,,14.2,11.9,100.0,100.0,100.0,13.2,9.6,96.0,66.0,87.0,,,,7.2,Santiago
2023-06-24,55.0,13.4,18.3,14.3,32.0,,6.1,,15.3,11.9,92.0,43.0,100.0,13.7,9.3,92.0,61.0,80.0,,,,5.4,Santiago
