time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-10,65.0,18.4,27.7,16.2,31.7,,26.1,,21.3,17.4,82.0,37.0,100.0,18.7,15.3,93.0,53.0,79.0,,,,9.5,Seoul
2023-06-11,63.0,17.2,23.6,11.4,28.4,,15.5,,20.4,17.4,49.0,4.0,100.0,19.7,16.4,95.0,69.0,83.0,,,,5.3,Seoul
2023-06-12,51.0,17.5,25.6,13.7,29.2,,0.7,,21.2,17.8,64.0,5.0,100.0,18.4,17.2,99.0,60.0,82.0,,,,5.1,Seoul
2023-06-13,51.0,17.1,23.9,20.1,38.2,,0.5,,20.3,16.5,26.0,0.0,100.0,17.6,15.3,92.0,59.0,80.0,,,,8.7,Seoul
2023-06-14,63.0,14.6,25.0,9.9,22.3,,2.7,,20.2,16.4,29.0,0.0,100.0,18.1,14.5,99.0,59.0,80.0,,,,4.9,Seoul
2023-06-15,51.0,16.1,25.8,14.4,27.4,,0.9,,20.7,17.3,50.0,0.0,100.0,18.4,15.2,95.0,60.0,82.0,,,,6.7,Seoul
2023-06-16,3.0,16.8,26.0,14.8,29.5,,0.0,,21.2,17.1,18.0,0.0,100.0,18.3,15.9,100.0,54.0,80.0,,,,8.1,Seoul
2023-06-17,3.0,16.2,28.1,16.8,32.4,,0.0,,21.7,16.5,65.0,0.0,100.0,18.2,15.7,98.0,48.0,75.0,,,,7.7,Seoul
2023-06-18,3.0,18.6,29.6,15.6,30.6,,0.0,,23.4,18.3,55.0,0.0,100.0,19.8,16.5,95.0,52.0,75.0,,,,6.5,Seoul
2023-06-19,3.0,20.5,34.2,14.1,26.6,,0.0,,26.5,19.1,60.0,0.0,100.0,21.3,17.7,92.0,38.0,66.0,,,,8.1,Seoul
2023-06-20,61.0,20.6,26.1,12.9,23.0,,4.9,,23.3,17.8,95.0,33.0,100.0,20.5,15.7,85.0,56.0,72.0,,,,7.1,Seoul
2023-06-21,65.0,19.2,24.2,14.1,25.6,,35.7,,21.2,18.3,76.0,4.0,100.0,19.2,17.2,90.0,70.0,84.0,,,,9.0,Seoul
2023-06-22,53.0,15.3,24.6,18.6,36.7,,1.4,,20.3,17.1,24.0,0.0,100.0,19.8,14.1,98.0,64.0,83.0,,,,9.5,Seoul
2023-06-23,51.0,18.3,27.9,9.5,19.4,,0.1,,22.4,19.2,57.0,0.0,100.0,21.5,18.1,100.0,57.0,84.0,,,,5.3,Seoul
2023-06-24,51.0,20.7,28.6,10.6,20.9,,0.1,,24.4,20.2,28.0,0.0,100.0,21.1,18.9,93.0,63.0,78.0,,,,7.6,Seoul
2023-06-25,3.0,20.0,31.7,11.2,23.0,,0.0,,25.7,20.6,56.0,1.0,100.0,22.0,19.6,97.0,50.0,76.0,,,,7.5,Seoul
2023-06-26,63.0,21.4,26.4,24.7,44.6,,43.8,,23.4,21.3,98.0,58.0,100.0,23.0,18.2,95.0,71.0,88.0,,,,17.1,Seoul
2023-06-27,61.0,20.7,27.6,26.6,46.4,,3.2,,23.7,20.4,53.0,1.0,100.0,21.9,19.6,96.0,63.0,82.0,,,,16.1,Seoul
2023-06-28,51.0,21.2,28.4,16.9,34.6,,2.1,,24.3,21.6,91.0,40.0,100.0,22.7,19.9,96.0,68.0,86.0,,,,8.7,Seoul
2023-06-29,63.0,22.6,24.7,23.4,43.2,,45.8,,23.4,22.7,100.0,100.0,100.0,23.4,22.2,98.0,91.0,96.0,,,,12.5,Seoul
2023-06-30,61.0,22.1,27.1,10.3,21.6,,10.7,,24.2,22.7,69.0,1.0,100.0,23.8,21.9,99.0,80.0,92.0,,,,5.6,Seoul
2023-07-01,51.0,21.6,31.5,14.1,27.4,,0.2,,25.8,22.9,49.0,0.0,100.0,24.5,21.6,100.0,61.0,86.0,,,,5.8,Seoul
2023-07-02,51.0,21.3,29.2,10.5,18.4,,0.2,,24.5,22.2,90.0,8.0,100.0,23.6,21.2,100.0,69.0,88.0,,,,5.8,Seoul
2023-07-03,51.0,21.6,32.9,8.2,18.4,,0.1,,27.0,22.8,67.0,1.0,100.0,24.4,21.0,98.0,50.0,80.0,,,,5.4,Seoul
2023-07-04,65.0,22.8,28.3,18.8,42.1,,29.6,,25.2,23.4,100.0,100.0,100.0,24.1,22.4,98.0,77.0,90.0,,,,11.0,Seoul
2023-07-05,65.0,21.3,26.5,28.8,51.5,,19.6,,23.7,21.0,55.0,0.0,100.0,23.5,19.6,97.0,69.0,86.0,,,,20.2,Seoul
2023-07-06,3.0,20.9,30.3,19.9,37.8,,0.0,,25.4,21.5,74.0,1.0,100.0,23.6,19.4,95.0,65.0,80.0,,,,12.7,Seoul
