time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-10,51.0,21.3,32.1,19.5,35.6,,0.2,,26.3,21.4,60.0,0.0,100.0,22.3,20.4,98.0,52.0,77.0,,,,15.0,Shanghai
2023-06-11,51.0,21.2,28.8,17.9,33.1,,0.3,,24.5,21.0,93.0,42.0,100.0,21.9,20.3,100.0,64.0,82.0,,,,12.1,Shanghai
2023-06-12,51.0,21.1,27.3,17.4,32.8,,0.4,,23.9,19.8,98.0,75.0,100.0,20.9,19.0,98.0,62.0,79.0,,,,11.8,Shanghai
2023-06-13,53.0,20.3,25.7,16.3,28.8,,3.1,,22.7,20.0,97.0,60.0,100.0,20.4,19.6,98.0,72.0,85.0,,,,10.1,Shanghai
2023-06-14,65.0,19.5,30.7,17.1,35.6,,9.9,,24.1,19.5,86.0,29.0,100.0,20.2,18.7,100.0,49.0,77.0,,,,5.5,Shanghai
2023-06-15,3.0,19.5,31.7,16.6,30.6,,0.0,,25.3,18.3,63.0,0.0,100.0,20.3,13.6,97.0,34.0,69.0,,,,9.3,Shanghai
2023-06-16,51.0,20.1,29.5,16.4,29.2,,1.0,,24.4,20.3,100.0,100.0,100.0,22.0,18.0,100.0,50.0,80.0,,,,11.5,Shanghai
2023-06-17,61.0,20.5,24.3,20.0,32.8,,5.1,,22.3,19.8,100.0,100.0,100.0,21.1,17.7,93.0,78.0,86.0,,,,14.6,Shanghai
2023-06-18,63.0,22.1,26.4,13.5,22.0,,27.4,,23.6,22.7,99.0,92.0,100.0,24.1,21.2,100.0,84.0,95.0,,,,8.2,Shanghai
2023-06-19,65.0,22.3,26.3,19.7,31.0,,64.5,,24.1,23.1,100.0,98.0,100.0,24.1,22.0,100.0,88.0,95.0,,,,11.8,Shanghai
2023-06-20,51.0,23.5,30.4,17.5,29.2,,2.1,,26.8,23.5,100.0,94.0,100.0,24.6,22.5,99.0,64.0,84.0,,,,9.8,Shanghai
2023-06-21,51.0,22.5,31.1,12.0,21.6,,0.1,,26.8,21.9,58.0,0.0,100.0,23.5,19.5,100.0,51.0,77.0,,,,7.6,Shanghai
2023-06-22,3.0,22.1,31.4,8.7,13.3,,0.0,,26.3,20.7,95.0,38.0,100.0,23.4,15.6,96.0,39.0,75.0,,,,4.3,Shanghai
2023-06-23,55.0,20.2,27.3,22.0,35.6,,2.7,,23.5,19.5,100.0,100.0,100.0,23.4,15.8,96.0,51.0,80.0,,,,12.6,Shanghai
2023-06-24,65.0,20.1,25.2,25.3,43.2,,116.6,,22.6,21.4,100.0,100.0,100.0,23.5,18.7,96.0,89.0,93.0,,,,16.1,Shanghai
2023-06-25,61.0,23.6,28.7,25.0,40.7,,7.6,,25.6,23.6,99.0,91.0,100.0,25.5,22.3,96.0,78.0,89.0,,,,12.7,Shanghai
2023-06-26,63.0,23.9,29.7,24.5,48.2,,8.6,,26.4,24.0,96.0,51.0,100.0,24.8,23.0,96.0,72.0,87.0,,,,12.9,Shanghai
2023-06-27,63.0,23.6,30.6,19.5,30.6,,5.6,,26.9,23.9,69.0,0.0,100.0,25.3,22.3,94.0,69.0,84.0,,,,12.8,Shanghai
2023-06-28,51.0,25.2,33.6,17.1,28.8,,0.2,,29.1,25.0,78.0,0.0,100.0,26.2,24.1,94.0,61.0,79.0,,,,13.9,Shanghai
2023-06-29,55.0,27.0,34.9,20.3,34.9,,1.4,,30.1,25.3,96.0,61.0,100.0,26.2,24.4,90.0,57.0,76.0,,,,14.7,Shanghai
2023-06-30,63.0,24.7,28.7,17.0,34.2,,20.0,,27.1,24.6,100.0,100.0,100.0,25.4,23.8,97.0,79.0,87.0,,,,10.1,Shanghai
2023-07-01,61.0,23.8,32.2,17.7,30.2,,6.2,,27.6,24.3,76.0,21.0,100.0,25.9,23.4,98.0,60.0,83.0,,,,8.4,Shanghai
2023-07-02,63.0,25.0,33.5,11.6,21.2,,8.0,,28.7,25.6,92.0,39.0,100.0,27.0,24.3,96.0,65.0,84.0,,,,7.2,Shanghai
2023-07-03,63.0,26.0,30.4,13.3,26.3,,9.4,,27.9,26.1,100.0,100.0,100.0,27.3,25.2,97.0,79.0,91.0,,,,6.8,Shanghai
2023-07-04,55.0,26.9,34.2,20.2,34.9,,1.2,,29.9,26.0,98.0,76.0,100.0,27.5,25.2,95.0,61.0,81.0,,,,11.0,Shanghai
2023-07-05,53.0,25.0,30.5,16.7,29.2,,0.6,,27.2,23.5,83.0,6.0,100.0,25.8,21.6,93.0,66.0,81.0,,,,11.9,Shanghai
2023-07-06,63.0,24.5,33.5,15.5,31.0,,5.4,,29.1,25.9,67.0,0.0,100.0,27.3,24.4,99.0,64.0,84.0,,,,10.3,Shanghai
2023-07-07,55.0,27.2,35.0,17.7,37.4,,3.2,,30.6,25.7,99.0,85.0,100.0,28.3,23.6,95.0,58.0,76.0,,,,11.7,Shanghai
2023-07-08,63.0,26.3,28.6,15.0,25.9,,35.1,,27.6,26.0,100.0,95.0,100.0,27.1,25.3,97.0,84.0,91.0,,,,7.3,Shanghai
2023-07-09,63.0,25.0,31.3,21.9,35.6,,16.8,,28.2,25.5,100.0,100.0,100.0,26.8,23.3,97.0,74.0,85.0,,,,9.8,Shanghai
2023-07-10,53.0,25.5,32.7,16.8,29.9,,1.2,,28.7,25.6,77.0,2.0,100.0,27.2,23.9,94.0,71.0,84.0,,,,11.6,Shanghai
2023-07-11,3.0,26.8,36.2,15.7,27.0,,0.0,,30.7,26.5,62.0,0.0,100.0,27.8,24.4,96.0,51.0,80.0,,,,12.3,Shanghai
2023-07-12,3.0,27.2,36.9,15.3,27.0,,0.0,,31.6,26.2,58.0,0.0,100.0,27.8,23.2,92.0,47.0,75.0,,,,11.8,Shanghai
2023-07-13,3.0,27.6,35.9,16.4,27.7,,0.0,,31.0,26.1,100.0,94.0,100.0,27.4,24.1,87.0,52.0,76.0,,,,13.3,Shanghai
2023-07-14,51.0,27.8,35.6,17.9,30.6,,0.1,,31.2,25.7,99.0,79.0,100.0,27.4,24.1,87.0,52.0,74.0,,,,13.8,Shanghai
2023-07-15,55.0,26.5,33.8,14.0,26.6,,2.7,,29.6,25.7,71.0,6.0,100.0,26.3,24.8,95.0,64.0,80.0,,,,8.8,Shanghai
2023-07-16,65.0,25.4,31.9,16.8,31.3,,18.2,,27.9,25.5,84.0,33.0,100.0,26.4,23.9,95.0,73.0,87.0,,,,10.6,Shanghai
2023-07-17,63.0,25.3,30.3,20.6,34.6,,15.5,,27.3,24.8,66.0,13.0,100.0,25.5,23.9,97.0,71.0,87.0,,,,11.5,Shanghai
2023-07-18,51.0,24.5,31.9,13.1,21.6,,2.0,,27.9,24.7,56.0,15.0,100.0,25.2,24.1,100.0,66.0,84.0,,,,8.3,Shanghai
2023-07-19,51.0,25.5,30.4,13.7,24.1,,3.3,,27.2,24.5,99.0,91.0,100.0,25.2,23.8,94.0,74.0,86.0,,,,7.8,Shanghai
2023-07-20,65.0,25.0,29.4,13.3,26.6,,46.3,,26.5,24.9,100.0,100.0,100.0,25.7,24.2,100.0,79.0,91.0,,,,7.8,Shanghai
2023-07-21,63.0,24.9,31.8,13.0,24.8,,11.8,,28.0,25.8,100.0,99.0,100.0,26.8,24.8,100.0,73.0,89.0,,,,8.0,Shanghai
2023-07-22,61.0,26.2,31.0,19.3,30.2,,15.8,,27.8,25.7,100.0,98.0,100.0,26.7,25.0,97.0,77.0,88.0,,,,11.2,Shanghai
2023-07-23,61.0,25.8,32.3,17.9,29.9,,9.0,,28.2,25.6,93.0,25.0,100.0,26.4,24.8,98.0,70.0,86.0,,,,10.6,Shanghai
2023-07-24,65.0,24.9,31.4,20.8,36.0,,14.3,,27.7,25.1,64.0,5.0,100.0,26.1,23.8,98.0,70.0,86.0,,,,10.7,Shanghai
2023-07-25,51.0,26.7,31.5,22.1,35.3,,0.5,,28.9,25.1,63.0,0.0,100.0,25.9,24.7,90.0,69.0,81.0,,,,17.6,Shanghai
2023-07-26,53.0,26.3,31.3,22.4,36.0,,1.3,,28.6,24.9,82.0,21.0,100.0,25.4,23.9,92.0,66.0,81.0,,,,16.5,Shanghai
2023-07-27,63.0,25.2,29.4,22.6,36.7,,9.5,,26.9,24.4,86.0,3.0,100.0,24.9,23.9,93.0,73.0,86.0,,,,14.3,Shanghai
2023-07-28,63.0,25.4,28.8,31.1,51.8,,14.1,,27.0,24.6,100.0,100.0,100.0,25.4,23.7,93.0,80.0,87.0,,,,22.3,Shanghai
2023-07-29,61.0,26.5,28.3,28.5,49.3,,13.9,,27.3,25.0,98.0,50.0,100.0,25.7,24.6,90.0,85.0,87.0,,,,24.2,Shanghai
2023-07-30,53.0,26.8,30.5,27.1,42.5,,1.2,,28.2,25.1,86.0,14.0,100.0,25.7,24.7,91.0,73.0,84.0,,,,20.8,Shanghai
2023-07-31,53.0,25.3,31.3,22.6,36.7,,1.3,,28.1,24.9,46.0,5.0,100.0,25.6,24.4,98.0,68.0,84.0,,,,14.2,Shanghai
2023-08-01,51.0,25.5,30.9,23.7,37.8,,1.0,,27.7,24.7,62.0,0.0,100.0,25.5,24.0,92.0,70.0,84.0,,,,15.2,Shanghai
2023-08-02,53.0,26.6,31.4,21.8,36.4,,0.7,,28.6,25.3,28.0,0.0,99.0,26.0,24.7,92.0,70.0,83.0,,,,15.9,Shanghai
2023-08-03,51.0,26.7,31.2,25.6,41.4,,0.4,,28.6,24.9,27.0,2.0,99.0,25.7,24.4,88.0,69.0,81.0,,,,19.9,Shanghai
2023-08-04,51.0,26.5,31.6,22.8,36.4,,0.1,,28.6,25.0,20.0,0.0,95.0,25.8,23.7,92.0,63.0,82.0,,,,17.2,Shanghai
2023-08-05,51.0,26.4,31.9,18.8,32.4,,0.5,,28.8,25.8,26.0,0.0,100.0,26.7,25.4,97.0,69.0,85.0,,,,12.1,Shanghai
2023-08-06,51.0,25.2,33.3,12.9,24.8,,0.1,,29.0,25.6,44.0,1.0,100.0,26.5,24.7,100.0,62.0,83.0,,,,7.1,Shanghai
2023-08-07,51.0,26.5,32.7,18.3,29.9,,0.3,,29.0,25.4,39.0,6.0,100.0,26.4,24.0,98.0,61.0,82.0,,,,9.1,Shanghai
2023-08-08,51.0,25.9,32.7,20.5,32.0,,1.2,,28.4,24.3,17.0,0.0,71.0,25.7,23.0,96.0,58.0,79.0,,,,12.1,Shanghai
2023-08-09,53.0,25.1,32.5,21.6,34.9,,3.3,,28.2,24.5,26.0,0.0,98.0,25.4,23.5,93.0,59.0,81.0,,,,12.4,Shanghai
2023-08-10,51.0,25.9,33.0,18.6,31.3,,0.3,,29.2,24.6,14.0,0.0,48.0,25.8,22.2,97.0,54.0,78.0,,,,12.2,Shanghai
2023-08-11,51.0,25.1,34.1,11.0,19.1,,0.1,,29.5,24.3,15.0,0.0,95.0,26.2,21.9,100.0,51.0,76.0,,,,6.4,Shanghai
2023-08-12,3.0,26.2,34.5,14.9,27.4,,0.0,,29.9,25.3,9.0,0.0,89.0,26.3,23.5,97.0,54.0,78.0,,,,11.1,Shanghai
2023-08-13,3.0,26.2,34.8,17.5,30.2,,0.0,,29.7,25.7,32.0,0.0,100.0,26.3,24.8,97.0,56.0,81.0,,,,11.1,Shanghai
2023-08-14,53.0,26.3,32.5,15.0,27.4,,2.7,,29.1,25.1,48.0,18.0,98.0,26.0,24.1,97.0,63.0,80.0,,,,10.3,Shanghai
