time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-10,63.0,25.4,30.0,16.4,32.8,,7.4,,27.6,24.4,68.0,11.0,100.0,25.3,23.7,93.0,71.0,83.0,,,,10.6,Singapore
2023-06-11,51.0,25.6,31.0,15.3,30.6,,0.3,,28.2,24.3,57.0,8.0,97.0,25.3,23.1,94.0,66.0,80.0,,,,9.7,Singapore
2023-06-12,65.0,24.5,30.3,21.1,40.3,,10.9,,27.6,24.5,81.0,13.0,100.0,25.4,23.2,93.0,72.0,83.0,,,,10.0,Singapore
2023-06-13,55.0,25.0,29.9,14.5,30.6,,3.6,,27.2,24.5,88.0,27.0,100.0,24.9,23.9,96.0,74.0,86.0,,,,9.4,Singapore
2023-06-14,65.0,23.9,29.7,9.3,22.3,,16.2,,26.7,24.3,88.0,27.0,100.0,25.4,22.7,97.0,76.0,87.0,,,,5.9,Singapore
2023-06-15,51.0,24.3,29.0,9.0,25.2,,0.8,,27.0,24.9,83.0,42.0,100.0,25.8,24.0,100.0,77.0,88.0,,,,5.3,Singapore
2023-06-16,51.0,25.3,31.0,14.9,30.6,,0.2,,27.9,24.6,96.0,57.0,100.0,25.2,23.8,95.0,65.0,83.0,,,,8.8,Singapore
2023-06-17,51.0,26.1,31.2,13.6,28.4,,0.5,,28.4,24.3,90.0,46.0,100.0,25.6,22.5,91.0,63.0,80.0,,,,9.1,Singapore
2023-06-18,65.0,24.4,29.0,17.1,32.4,,21.6,,26.6,24.3,96.0,69.0,100.0,25.1,22.6,96.0,76.0,87.0,,,,5.7,Singapore
2023-06-19,51.0,24.6,31.7,10.8,24.5,,0.2,,27.8,24.1,75.0,26.0,100.0,25.2,22.7,96.0,59.0,81.0,,,,5.7,Singapore
2023-06-20,61.0,25.4,30.6,10.1,24.1,,5.7,,27.9,24.7,68.0,27.0,100.0,25.5,24.2,94.0,72.0,84.0,,,,7.2,Singapore
2023-06-21,53.0,25.6,30.0,17.7,36.4,,1.4,,28.2,24.6,39.0,7.0,100.0,25.4,24.1,93.0,72.0,81.0,,,,10.0,Singapore
2023-06-22,51.0,25.7,31.5,12.5,28.1,,0.8,,28.6,24.1,45.0,7.0,95.0,24.8,23.2,91.0,64.0,77.0,,,,8.4,Singapore
2023-06-23,61.0,25.8,30.2,11.2,25.9,,5.6,,27.5,24.4,84.0,13.0,100.0,24.7,23.8,92.0,72.0,83.0,,,,7.1,Singapore
2023-06-24,61.0,25.0,28.7,11.9,25.6,,2.9,,26.7,24.3,96.0,39.0,100.0,24.9,23.3,96.0,77.0,87.0,,,,6.9,Singapore
2023-06-25,51.0,24.2,30.7,9.9,23.8,,0.4,,27.5,24.0,100.0,99.0,100.0,25.3,22.5,98.0,63.0,82.0,,,,5.5,Singapore
2023-06-26,63.0,25.0,29.5,11.9,26.3,,4.9,,27.1,24.4,92.0,32.0,100.0,25.5,23.5,94.0,75.0,85.0,,,,7.8,Singapore
2023-06-27,53.0,24.8,29.5,14.5,32.0,,2.4,,27.0,24.0,62.0,2.0,100.0,24.5,23.2,94.0,73.0,84.0,,,,8.5,Singapore
2023-06-28,63.0,23.1,29.0,13.7,27.7,,12.4,,26.6,24.1,94.0,60.0,100.0,25.0,22.8,98.0,75.0,87.0,,,,8.3,Singapore
2023-06-29,63.0,23.7,29.7,15.9,32.4,,7.9,,26.9,24.1,82.0,41.0,100.0,25.0,22.9,98.0,72.0,85.0,,,,8.3,Singapore
2023-06-30,65.0,24.0,29.3,11.3,28.8,,13.8,,26.5,24.3,95.0,43.0,100.0,24.8,23.2,99.0,75.0,89.0,,,,6.9,Singapore
2023-07-01,63.0,24.0,29.5,14.4,33.1,,5.7,,26.6,24.1,98.0,68.0,100.0,24.7,23.5,100.0,73.0,87.0,,,,8.8,Singapore
2023-07-02,53.0,24.7,29.8,15.8,31.7,,1.7,,27.3,24.1,98.0,77.0,100.0,25.1,23.2,100.0,68.0,83.0,,,,8.4,Singapore
2023-07-03,63.0,23.8,29.8,10.5,21.2,,18.6,,26.5,24.4,96.0,56.0,100.0,26.2,22.9,100.0,74.0,88.0,,,,5.8,Singapore
2023-07-04,53.0,23.6,31.2,10.5,23.4,,2.6,,26.8,24.3,73.0,13.0,100.0,25.0,23.3,100.0,67.0,87.0,,,,5.8,Singapore
