time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-10,3.0,19.4,31.4,13.5,22.3,,0.0,,25.7,6.9,35.0,3.0,100.0,12.9,-2.3,61.0,12.0,34.0,,,,6.9,Tehran
2023-06-11,61.0,21.8,34.1,28.2,60.8,,1.8,,27.4,6.0,38.0,0.0,96.0,11.6,3.2,35.0,18.0,26.0,,,,9.4,Tehran
2023-06-12,3.0,19.8,35.0,15.3,31.0,,0.0,,29.1,3.4,16.0,0.0,84.0,7.3,0.9,36.0,12.0,21.0,,,,10.4,Tehran
2023-06-13,2.0,24.4,37.1,25.4,42.1,,0.0,,31.2,4.0,23.0,0.0,65.0,7.0,0.9,31.0,10.0,19.0,,,,13.2,Tehran
2023-06-14,2.0,24.8,37.6,21.6,34.6,,0.0,,32.0,2.4,16.0,0.0,57.0,6.7,-1.8,28.0,9.0,17.0,,,,11.1,Tehran
2023-06-15,0.0,23.9,36.7,14.0,30.2,,0.0,,31.7,2.0,3.0,0.0,19.0,4.4,0.5,25.0,11.0,16.0,,,,7.3,Tehran
2023-06-16,2.0,24.8,35.3,21.6,37.1,,0.0,,30.3,1.5,10.0,0.0,52.0,5.2,-3.9,24.0,8.0,16.0,,,,8.2,Tehran
2023-06-17,0.0,20.5,35.0,20.8,38.2,,0.0,,29.1,3.4,1.0,0.0,4.0,11.1,-2.8,52.0,9.0,23.0,,,,8.9,Tehran
2023-06-18,0.0,22.3,36.6,17.4,34.9,,0.0,,30.4,-1.2,0.0,0.0,0.0,4.0,-5.4,26.0,7.0,15.0,,,,9.8,Tehran
2023-06-19,0.0,22.4,37.1,19.7,37.8,,0.0,,31.0,-5.1,0.0,0.0,0.0,-2.1,-9.7,19.0,5.0,10.0,,,,11.2,Tehran
2023-06-20,0.0,21.5,36.7,10.7,25.2,,0.0,,31.1,-2.9,0.0,0.0,0.0,8.1,-10.1,24.0,5.0,12.0,,,,6.1,Tehran
2023-06-21,0.0,21.8,35.4,21.5,38.2,,0.0,,30.0,-6.7,0.0,0.0,0.0,2.6,-12.4,19.0,4.0,10.0,,,,10.4,Tehran
2023-06-22,0.0,20.5,35.8,10.7,22.3,,0.0,,30.0,1.3,0.0,0.0,0.0,4.7,-3.6,31.0,9.0,17.0,,,,5.1,Tehran
2023-06-23,0.0,24.0,34.8,15.5,28.8,,0.0,,29.7,4.4,0.0,0.0,0.0,9.0,-0.0,29.0,16.0,20.0,,,,8.0,Tehran
2023-06-24,0.0,21.7,35.3,19.1,34.6,,0.0,,29.6,7.4,1.0,0.0,19.0,10.2,5.0,48.0,16.0,26.0,,,,7.9,Tehran
