time,weather_code,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,precipitation_sum,precipitation_probability_max,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,cloud_cover_min,cloud_cover_max,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,visibility_mean,visibility_min,visibility_max,wind_speed_10m_mean,city
2023-06-10,3.0,11.5,25.7,15.9,32.8,,0.0,,19.7,9.6,66.0,0.0,100.0,15.9,6.2,74.0,32.0,54.0,,,,9.4,Toronto
2023-06-11,61.0,15.4,21.6,14.1,29.2,,7.2,,18.3,12.6,100.0,91.0,100.0,15.2,8.8,91.0,54.0,70.0,,,,8.7,Toronto
2023-06-12,63.0,14.5,19.1,28.4,51.5,,39.5,,16.4,14.5,100.0,100.0,100.0,17.2,10.3,97.0,73.0,88.0,,,,18.3,Toronto
2023-06-13,51.0,11.7,18.8,22.7,43.9,,0.8,,15.2,10.0,72.0,13.0,100.0,12.3,8.2,91.0,50.0,72.0,,,,13.2,Toronto
2023-06-14,51.0,11.7,20.6,17.4,36.0,,1.4,,15.9,11.9,70.0,0.0,100.0,13.2,10.7,95.0,53.0,78.0,,,,10.2,Toronto
2023-06-15,51.0,11.2,20.5,17.1,43.6,,0.8,,16.2,12.7,68.0,0.0,100.0,17.2,8.2,92.0,64.0,80.0,,,,9.5,Toronto
2023-06-16,53.0,13.1,22.4,20.9,42.1,,1.7,,17.7,13.3,67.0,1.0,100.0,15.1,10.7,93.0,57.0,77.0,,,,13.4,Toronto
2023-06-17,3.0,13.1,24.6,23.1,42.1,,0.0,,18.9,7.6,12.0,0.0,97.0,13.1,3.1,74.0,27.0,51.0,,,,17.0,Toronto
2023-06-18,3.0,13.3,23.5,17.0,34.2,,0.0,,18.3,10.3,14.0,0.0,100.0,13.5,5.6,85.0,47.0,60.0,,,,11.3,Toronto
2023-06-19,3.0,13.1,22.4,22.0,41.4,,0.0,,18.4,13.7,49.0,0.0,100.0,15.8,11.8,94.0,55.0,75.0,,,,13.6,Toronto
2023-06-20,3.0,16.5,23.6,23.8,45.4,,0.0,,19.5,13.5,30.0,0.0,100.0,14.6,11.3,84.0,52.0,69.0,,,,16.8,Toronto
2023-06-21,0.0,15.4,24.0,18.6,36.0,,0.0,,20.0,14.2,0.0,0.0,4.0,17.7,10.9,81.0,63.0,70.0,,,,12.6,Toronto
2023-06-22,55.0,15.9,23.8,21.0,40.3,,1.1,,19.9,13.4,56.0,0.0,100.0,15.7,11.1,89.0,49.0,68.0,,,,11.1,Toronto
2023-06-23,63.0,17.4,22.5,13.2,27.4,,14.5,,19.7,17.1,99.0,91.0,100.0,19.1,14.6,96.0,77.0,85.0,,,,8.0,Toronto
2023-06-24,63.0,18.8,24.8,10.9,23.0,,13.3,,21.2,19.3,91.0,14.0,100.0,21.1,17.7,97.0,77.0,89.0,,,,5.9,Toronto
2023-06-25,51.0,17.5,25.4,16.6,32.8,,0.2,,21.3,18.2,76.0,0.0,100.0,20.5,15.6,95.0,67.0,83.0,,,,10.2,Toronto
2023-06-26,65.0,18.2,24.1,21.7,45.4,,22.6,,20.7,18.5,96.0,53.0,100.0,19.3,17.8,98.0,69.0,88.0,,,,14.0,Toronto
2023-06-27,61.0,18.2,24.0,22.8,41.8,,5.5,,20.5,17.4,88.0,30.0,100.0,18.9,13.7,97.0,65.0,83.0,,,,11.0,Toronto
2023-06-28,3.0,16.0,25.6,25.0,44.6,,0.0,,19.8,11.5,52.0,0.0,100.0,14.0,5.8,78.0,37.0,61.0,,,,19.9,Toronto
2023-06-29,3.0,13.0,24.4,13.7,27.0,,0.0,,19.3,10.6,35.0,0.0,100.0,15.4,5.7,76.0,42.0,58.0,,,,9.1,Toronto
2023-06-30,53.0,18.3,24.5,17.3,34.6,,0.8,,21.3,17.4,70.0,3.0,100.0,19.8,16.2,91.0,66.0,79.0,,,,10.2,Toronto
2023-07-01,53.0,19.5,27.0,15.6,34.6,,1.0,,23.1,20.2,85.0,10.0,100.0,21.8,18.6,95.0,71.0,84.0,,,,8.2,Toronto
2023-07-02,63.0,19.8,23.8,11.9,24.5,,6.9,,21.7,20.4,100.0,96.0,100.0,21.1,18.7,99.0,83.0,93.0,,,,6.5,Toronto
2023-07-03,55.0,19.9,24.8,13.9,31.3,,5.5,,22.2,19.0,69.0,0.0,100.0,19.8,15.6,99.0,63.0,83.0,,,,8.0,Toronto
2023-07-04,53.0,18.3,29.2,12.3,23.8,,0.8,,24.2,19.1,27.0,0.0,100.0,22.4,16.1,94.0,55.0,74.0,,,,7.1,Toronto
2023-07-05,53.0,19.2,29.9,16.4,34.2,,0.6,,25.4,19.4,27.0,0.0,100.0,21.8,17.0,87.0,49.0,70.0,,,,8.4,Toronto
2023-07-06,63.0,20.4,29.5,19.8,37.1,,9.1,,24.3,20.2,78.0,4.0,100.0,21.5,18.4,93.0,56.0,79.0,,,,8.5,Toronto
2023-07-07,3.0,18.7,27.3,15.2,31.7,,0.0,,22.7,14.9,33.0,0.0,100.0,20.1,9.0,95.0,34.0,66.0,,,,12.0,Toronto
2023-07-08,53.0,14.9,24.4,17.5,36.4,,1.5,,19.8,14.0,88.0,15.0,100.0,17.1,12.2,91.0,47.0,71.0,,,,8.5,Toronto
2023-07-09,55.0,16.0,25.0,12.1,22.3,,1.2,,20.8,16.3,79.0,28.0,100.0,17.7,14.2,95.0,59.0,77.0,,,,6.4,Toronto
2023-07-10,51.0,15.8,27.1,14.7,30.6,,0.3,,22.3,15.6,31.0,0.0,100.0,19.5,12.2,85.0,51.0,67.0,,,,9.8,Toronto
2023-07-11,53.0,19.6,30.2,22.2,44.3,,1.1,,24.0,16.3,30.0,0.0,100.0,18.8,14.2,87.0,38.0,64.0,,,,13.4,Toronto
2023-07-12,55.0,14.0,24.2,16.3,33.1,,1.1,,20.1,13.3,65.0,1.0,100.0,18.6,9.0,89.0,51.0,66.0,,,,8.7,Toronto
2023-07-13,63.0,18.1,25.9,28.9,52.9,,8.5,,22.2,16.3,49.0,0.0,100.0,20.0,12.7,95.0,45.0,72.0,,,,17.6,Toronto
2023-07-14,51.0,14.4,24.6,13.4,29.5,,0.2,,20.4,16.2,38.0,0.0,100.0,19.8,13.1,93.0,62.0,78.0,,,,8.7,Toronto
2023-07-15,63.0,18.0,27.3,15.5,31.0,,6.5,,22.4,19.5,94.0,7.0,100.0,21.3,16.9,94.0,64.0,84.0,,,,7.8,Toronto
2023-07-16,65.0,18.8,26.6,18.9,36.4,,24.6,,22.3,19.5,52.0,1.0,100.0,21.7,17.9,98.0,61.0,85.0,,,,9.5,Toronto
2023-07-17,51.0,18.1,26.6,18.4,39.6,,0.5,,22.5,16.4,61.0,0.0,100.0,18.4,13.9,85.0,54.0,70.0,,,,13.2,Toronto
2023-07-18,51.0,15.9,25.3,12.2,33.1,,1.3,,21.0,15.4,43.0,0.0,100.0,18.5,13.2,92.0,50.0,72.0,,,,5.5,Toronto
