ville_id,ville,pays_id
1,Prague,13
2,Abidjan,5
3,Philadelphie,35
4,Petersburg,35
5,Fianarantsoa,8
6,Alger,14
7,Rio de Janeiro,39
8,Rome,35
9,Casablanca,33
10,Atlanta,35
11,Boston,35
12,São Paulo,39
13,New York,35
14,Houston,35
15,Toamasina,8
16,Marseille,22
17,Shanghai,6
18,Montréal,37
19,Bangkok,30
20,Berlin,23
21,San Francisco,35
22,Kaboul,2
23,Barcelone,17
24,Beyrouth,20
25,Riyad,1
26,Melbourne,35
27,Mexico,9
28,Téhéran,27
29,Sydney,12
30,Antsirabe,8
31,Préfecture de Tokyo,15
32,Helsinki,4
33,Union des Comores,26
34,Hong Kong,29
35,Algérie,14
36,Nairobi,36
37,Miami,35
38,Washington,35
39,Toronto,37
40,Comté de Dallas,35
41,Lisbonne,18
42,Santiago du Chili,21
43,Osaka,15
44,Addis-Abeba,38
45,Tuléar,8
46,Dubaï,25
47,Bagdad,10
48,Singapour,24
49,Amsterdam,31
50,Chicago,35
51,Moscou,28
52,Londres,11
53,Paris,22
54,Bruxelles,3
55,Bombay,16
56,Los Angeles,35
57,Pékin,6
58,Stockholm,32
59,Madrid,17
60,Antananarivo,8
61,Mahajanga,8
62,Séoul,19
63,Sambava,8
64,Vienne,34
65,Ankara,7
