date_extraction,temperature,temperature_min,temperature_max,ressentie,humidite,pression_mer,pression_sol,visibilite,vent_vitesse,vent_direction,nuages,condition,description,heure_lever_soleil,heure_coucher_soleil,timezone,ville_id
2025-06-29 00:01:57,20.18,19.36,20.5,20.42,83,1023,1023,10000,4.02,231,0,Clear,ciel dégagé,1751167279,1751227576,7200,49
2025-06-29 00:02:27,20.0,20.0,20.0,20.67,100,1020,1019,10000,3.6,240,75,Clouds,nuageux,1751166860,1751206635,10800,15
2025-06-29 00:00:39,23.81,22.24,25.55,24.57,89,1018,1017,3306,5.36,196,65,Rain,pluie modérée,1751106503,1751156573,-14400,26
2025-06-29 00:01:26,15.15,14.24,15.19,14.37,63,1006,988,10000,1.66,80,97,Clouds,couvert,1751158091,1751221053,10800,51
2025-06-29 00:01:12,24.76,24.76,25.78,25.9,100,1008,999,10000,2.06,180,75,Clouds,nuageux,1751141603,1751194642,32400,62
2025-06-29 00:00:09,17.28,17.28,17.96,17.2,82,1012,763,10000,6.17,130,100,Thunderstorm,orage et pluie fine,1751112058,1751159909,-21600,27
2025-06-29 00:00:20,21.15,21.15,21.15,21.41,80,1018,1017,10000,4.77,206,43,Clouds,partiellement nuageux,1751166238,1751206881,10800,63
2025-06-29 00:01:29,29.0,28.29,30.26,35.64,84,1015,1010,10000,0.0,0,40,Clouds,partiellement nuageux,1751104304,1751157233,-14400,4
2025-06-29 00:01:13,28.85,27.16,30.01,33.92,78,1015,1010,10000,1.34,281,17,Clouds,peu nuageux,1751103261,1751157201,-14400,3
2025-06-29 00:02:08,14.98,14.98,14.98,15.14,100,1022,882,10000,3.09,180,75,Drizzle,bruine légère,1751167389,1751206993,10800,60
2025-06-29 00:00:43,26.94,26.94,28.84,29.43,78,1007,1006,10000,4.15,209,100,Clouds,couvert,1751151202,1751197746,25200,19
2025-06-29 00:01:17,33.6,32.53,35.12,38.52,53,1013,995,10000,5.66,180,40,Clouds,partiellement nuageux,1751109697,1751161144,-18000,40
2025-06-29 00:03:06,22.41,20.57,23.01,22.85,82,1021,1016,10000,3.09,280,0,Clear,ciel dégagé,1751165180,1751225584,7200,20
2025-06-29 00:00:41,21.37,20.01,22.06,21.63,79,1025,1021,10000,3.09,250,0,Clear,ciel dégagé,1751168778,1751228485,3600,52
