ville_id,ville,pays_id
1,Union des Comores,9
2,Abidjan,33
3,Berlin,25
4,Pékin,29
5,Toamasina,8
6,Nairobi,37
7,Préfecture de Tokyo,26
8,Bagdad,19
9,Sambava,8
10,Philadelphie,18
11,Téhéran,20
12,Paris,32
13,Hong Kong,11
14,Helsinki,38
15,Sydney,24
16,Vienne,39
17,Chicago,18
18,Barcelone,3
19,Ankara,5
20,Rome,18
21,Alger,31
22,Prague,1
23,Beyrouth,16
24,Houston,18
25,San Francisco,18
26,Lisbonne,2
27,Mahajanga,8
28,Amsterdam,28
29,São Paulo,10
30,Washington,18
31,Riyad,17
32,Addis-Abeba,4
33,Petersburg,18
34,Bruxelles,21
35,Séoul,14
36,Miami,18
37,Montréal,7
38,Rio de Janeiro,10
39,Algérie,31
40,Fianarantsoa,8
41,Casablanca,36
42,Melbourne,18
43,Toronto,7
44,Madrid,3
45,Bombay,27
46,Kaboul,30
47,Tuléar,8
48,Atlanta,18
49,Stockholm,12
50,New York,18
51,Londres,35
52,Singapour,15
53,Antananarivo,8
54,Dubaï,13
55,Osaka,26
56,Shanghai,29
57,Los Angeles,18
58,Antsirabe,8
59,Marseille,32
60,Comté de Dallas,18
61,Moscou,22
62,Bangkok,23
63,Boston,18
64,Santiago du Chili,6
65,Mexico,34
